accession,length,ZC
IPI00031052,346,-0.2489
IPI00032902,655,-0.0761
IPI00060310,506,-0.1339
IPI00065530,314,-0.1623
IPI00151444,271,-0.2173
IPI00153050,323,-0.1676
IPI00166272,427,-0.1737
IPI00166835,309,-0.1865
IPI00174190,201,-0.1815
IPI00179839,407,-0.2319
IPI00184311,925,-0.1121
IPI00185803,264,-0.2095
IPI00186145,360,-0.1635
IPI00215913,551,-0.2084
IPI00219695,415,-0.1117
IPI00220019,369,-0.1598
IPI00233062,562,-0.154
IPI00290773,325,-0.2014
IPI00291205,1141,-0.1003
IPI00292438,346,-0.1852
IPI00296461,629,-0.1412
IPI00297261,435,-0.1162
IPI00300621,1496,-0.1284
IPI00303210,915,-0.1053
IPI00307433,583,-0.1547
IPI00328243,490,-0.1334
IPI00329230,350,-0.1646
IPI00334058,309,-0.1548
IPI00337643,763,-0.0831
IPI00383879,399,-0.196
IPI00418438,522,-0.2104
IPI00419160,148,-0.2264
IPI00419668,531,-0.1213
IPI00454619,1459,-0.1751
IPI00455146,517,-0.1064
IPI00455731,315,-0.2174
IPI00514257,327,-0.1541
IPI00555597,180,-0.2066
IPI00640762,407,-0.2296
IPI00647930,295,-0.1858
IPI00744452,390,-0.1819
IPI00784076,782,-0.1683
IPI00787853,359,-0.1653
IPI00789040,565,-0.1178
IPI00789672,1358,-0.096
IPI00807332,640,-0.1225
IPI00828125,873,-0.1867
IPI00847348,1366,-0.1315
IPI00871258,380,-0.1849
IPI00872795,378,-0.1534
IPI00878403,90,-0.3569
IPI00003802,1144,-0.146
IPI00006071,300,-0.1201
IPI00008207,699,-0.1443
IPI00009145,641,-0.1532
IPI00017648,1927,-0.107
IPI00027703,1139,-0.1242
IPI00029817,415,-0.1016
IPI00032288,431,-0.1469
IPI00099438,481,-0.1592
IPI00219717,509,-0.2071
IPI00220143,1857,-0.1169
IPI00221101,1827,-0.1119
IPI00293088,952,-0.1328
IPI00295265,1012,-0.1554
IPI00328170,837,-0.1276
IPI00439446,676,-0.1527
IPI00456649,714,-0.1396
IPI00552044,482,-0.1411
IPI00745251,630,-0.1345
IPI00747078,313,-0.1672
IPI00000779,906,-0.067
IPI00000848,581,-0.0556
IPI00001663,458,-0.1336
IPI00001729,645,-0.1226
IPI00001922,855,-0.0614
IPI00001954,518,-0.1903
IPI00002478,770,-0.117
IPI00003365,739,-0.1006
IPI00003542,418,-0.0969
IPI00004372,746,-0.0823
IPI00005794,540,-0.1909
IPI00006212,492,-0.0922
IPI00006735,775,-0.1229
IPI00007127,486,-0.1436
IPI00007515,790,-0.1116
IPI00007596,722,-0.0974
IPI00007709,775,-0.0977
IPI00007798,1024,-0.1507
IPI00011901,956,-0.0511
IPI00013897,748,-0.0501
IPI00014375,957,-0.1345
IPI00018387,794,-0.0495
IPI00019158,856,-0.0557
IPI00019173,735,-0.1124
IPI00019242,669,-0.0974
IPI00019243,607,-0.1466
IPI00020366,749,-0.1496
IPI00021569,1052,-0.1386
IPI00021903,832,-0.0536
IPI00022577,438,-0.1734
IPI00023151,740,-0.1777
IPI00023788,1019,-0.0992
IPI00026270,443,-0.1627
IPI00027078,1380,-0.0958
IPI00027180,475,-0.2625
IPI00027977,538,-0.1474
IPI00028514,750,-0.1478
IPI00044461,779,-0.122
IPI00059476,411,-0.1077
IPI00060545,379,-0.1887
IPI00079482,813,-0.0367
IPI00178015,701,-0.0677
IPI00216432,457,-0.0786
IPI00218398,582,-0.1251
IPI00218597,883,-0.1043
IPI00220459,732,-0.1278
IPI00221224,967,-0.1299
IPI00247063,750,-0.1296
IPI00288894,824,-0.0812
IPI00289829,820,-0.1033
IPI00295138,1042,-0.0264
IPI00297030,423,-0.1296
IPI00299652,769,-0.0382
IPI00306205,776,-0.1056
IPI00307276,837,-0.0836
IPI00328263,519,-0.2162
IPI00328460,416,-0.1485
IPI00411324,437,-0.162
IPI00415037,909,-0.079
IPI00418563,421,-0.151
IPI00420070,863,-0.0859
IPI00437751,1306,-0.1238
IPI00440932,819,-0.0762
IPI00465353,370,-0.217
IPI00473036,423,-0.1306
IPI00478635,824,-0.1163
IPI00479027,356,-0.0392
IPI00479841,331,-0.029
IPI00646164,610,-0.0288
IPI00657822,776,-0.1147
IPI00746272,105,-0.246
IPI00748886,787,-0.0993
IPI00784319,532,-0.1169
IPI00789769,1093,-0.1267
IPI00844198,416,-0.1313
IPI00871379,785,-0.0744
IPI00871815,1092,-0.1717
IPI00872109,438,-0.1627
IPI00874065,531,-0.0966
IPI00876848,319,-0.1679
IPI00152570,264,-0.2483
IPI00419967,780,-0.1192
IPI00479560,275,-0.2682
IPI00001586,495,-0.1448
IPI00006476,604,-0.1562
IPI00025295,484,-0.1693
IPI00025297,529,-0.147
IPI00031718,616,-0.1438
IPI00103175,401,-0.1253
IPI00220852,517,-0.1873
IPI00329410,238,-0.2439
IPI00550288,495,-0.1695
IPI00099463,568,-0.2031
IPI00152656,336,-0.1968
IPI00003966,459,-0.1052
IPI00008504,337,-0.1333
IPI00012895,354,-0.1452
IPI00027466,312,-0.1607
IPI00004509,150,-0.2963
IPI00011938,1168,-0.1595
IPI00020920,1080,-0.1843
IPI00027356,1251,-0.1622
IPI00028513,1144,-0.1754
IPI00030099,1353,-0.1448
IPI00328273,1091,-0.2051
IPI00339214,1261,-0.1348
IPI00465156,1077,-0.2025
