"accession","SGDID","associations"
"YBR111C","S000000315","C,N,M"
"YBR112C","S000000316","N"
"YBR114W","S000000318","N"
"YBR115C","S000000319","C"
"YBR117C","S000000321","C,N"
"YBR118W","S000000322","C"
"YBR119W","S000000323","N"
"YBR120C","S000000324","M"
"YBR121C","S000000325","C,M"
"YBR122C","S000000326","M"
"YBR123C","S000000327","N"
"YBR125C","S000000329","C"
"YBR126C","S000000330","C"
"YBR127C","S000000331","C"
"YBR128C","S000000332","V"
"YBR129C","S000000333","C,M"
"YBR130C","S000000334","C,E,B"
"YBR131W","S000000335","V"
"YBR132C","S000000336","D"
"YBR133C","S000000337","C,K"
"YBR135W","S000000339","C,N"
"YBR136W","S000000340","N,M"
"YBR137W","S000000341","C"
"YBR138C","S000000342","C"
"YBR140C","S000000344","C,M"
"YBR141C","S000000345","N,U"
"YBR142W","S000000346","N,U"
"YBR143C","S000000347","C"
"YBR145W","S000000349","C,N"
"YBR146W","S000000350","M"
"YBR147W","S000000351","M"
"YBR149W","S000000353","C"
"YBR150C","S000000354","C,N,M,L"
"YBR151W","S000000355","C,N"
"YBR152W","S000000356","N"
"YBR154C","S000000358","N"
"YBR155W","S000000359","C"
"YBR156C","S000000360","C,N"
"YBR158W","S000000362","C,N"
"YBR159W","S000000363","E,D"
"YBR160W","S000000364","C,N,E,K"
"YBR161W","S000000365","V,O"
"YBR162C","S000000366","X"
"YBR163W","S000000367","M"
"YBR164C","S000000368","G"
"YBR165W","S000000369","N"
"YBR166C","S000000370","C"
"YBR167C","S000000371","N"
"YBR169C","S000000373","C"
"YBR170C","S000000374","C,N,E,D,L"
"YBR171W","S000000375","E,D"
"YBR172C","S000000376","C"
"YBR173C","S000000377","C,N"
"YBR175W","S000000379","N"
"YBR176W","S000000380","M"
"YBR177C","S000000381","M"
"YBR179C","S000000383","M,R,T"
"YBR181C","S000000385","C,N,U"
"YBR182C","S000000386","C,N"
"YBR183W","S000000387","E,G,D,A"
"YBR185C","S000000389","M"
"YBR186W","S000000390","N,U"
"YBR187W","S000000391","G,V,O,A"
"YBR188C","S000000392","N"
"YBR189W","S000000393","C,N,U"
"YBR191W","S000000395","C"
"YBR192W","S000000396","M,R"
"YBR193C","S000000397","N"
"YBR194W","S000000398","C"
"YBR195C","S000000399","C,N"
"YBR196C","S000000400","C,M"
"YBR197C","S000000401","C,N"
"YBR198C","S000000402","N"
"YBR199W","S000000403","G"
"YBR200W","S000000404","C,K,B"
"YBR201W","S000000405","E,D"
"YBR202W","S000000406","C,N"
"YBR203W","S000000407","M"
"YBR205W","S000000409","C,N"
"YBR207W","S000000411","V,O"
"YBR208C","S000000412","C"
"YBR211C","S000000415","C,N"
"YBR212W","S000000416","C"
"YBR214W","S000000418","C"
"YBR215W","S000000419","N"
"YBR216C","S000000420","C"
"YBR217W","S000000421","C"
"YBR218C","S000000422","C"
"YBR221C","S000000425","M"
"YBR222C","S000000426","C"
"YBR223C","S000000427","N"
"YBR227C","S000000431","M"
"YBR228W","S000000432","N"
"YBR229C","S000000433","M,E"
"YBR230C","S000000434","M,T"
"YBR231C","S000000435","N"
"YBR233W","S000000437","C,N"
"YBR234C","S000000438","C"
"YBR236C","S000000440","N"
"YBR237W","S000000441","N"
"YBR238C","S000000442","C,M"
"YBR239C","S000000443","C,N"
"YBR240C","S000000444","N"
"YBR241C","S000000445","V,O"
"YBR242W","S000000446","C,N"
"YBR243C","S000000447","E,D"
"YBR244W","S000000448","C,N"
"YBR245C","S000000449","N"
"YBR246W","S000000450","C"
"YBR247C","S000000451","C,N,U"
"YBR248C","S000000452","C"
"YBR249C","S000000453","C,N"
"YBR251W","S000000455","M"
"YBR252W","S000000456","C,N"
"YBR253W","S000000457","N"
"YBR254C","S000000458","E,G"
"YBR255W","S000000459","C"
"YBR257W","S000000461","N"
"YBR258C","S000000462","N"
"YBR260C","S000000464","C"
"YBR261C","S000000465","C"
"YBR262C","S000000466","M,R"
"YBR263W","S000000467","M"
"YBR264C","S000000468","C"
"YBR265W","S000000469","C,E,D,T"
"YBR267W","S000000471","C"
"YBR268W","S000000472","M"
"YBR269C","S000000473","M"
"YBR271W","S000000475","C"
"YBR272C","S000000476","C,N"
"YBR273C","S000000477","E"
"YBR274W","S000000478","N"
"YBR275C","S000000479","N"
"YBR276C","S000000480","N"
"YBR278W","S000000482","N"
"YBR279W","S000000483","N"
"YBR281C","S000000485","C,N"
"YBR282W","S000000486","M"
"YBR283C","S000000487","E,D"
"YBR286W","S000000490","V"
"YBR287W","S000000491","E"
"YBR288C","S000000492","G"
"YBR289W","S000000493","N"
"YBR290W","S000000494","E,V"
"YBR291C","S000000495","M,R"
"YBR293W","S000000497","V,O"
"YBR294W","S000000498","P"
"YBR295W","S000000499","P"
"YBR296C","S000000500","P"
"YBR297W","S000000501","N"
"YBR301W","S000000505","X"
"YCL001W","S000000507","G,A"
"YCL004W","S000000510","M"
"YCL005W","S000000511","M"
"YCL008C","S000000514","C"
"YCL009C","S000000515","M"
"YCL010C","S000000516","N"
"YCL011C","S000000517","N"
"YCL014W","S000000520","K"
"YCL017C","S000000522","N,M"
"YCL018W","S000000523","C"
"YCL019W","S000000524","C,N"
"YCL020W","S000000525","C"
"YCL024W","S000000529","K"
"YCL025C","S000000530","P"
"YCL028W","S000000533","C,N"
"YCL029C","S000000534","C"
"YCL030C","S000000535","C"
"YCL031C","S000000536","N,U"
"YCL032W","S000000537","C"
"YCL033C","S000000538","M"
"YCL034W","S000000539","C"
"YCL035C","S000000540","C,N"
"YCL037C","S000000542","C"
"YCL038C","S000000543","V,O"
"YCL039W","S000000544","C,N"
"YCL042W","S000000547","C"
"YCL043C","S000000548","E"
"YCL044C","S000000549","M,R"
"YCL045C","S000000550","E,D"
"YCL050C","S000000555","C,N"
"YCL052C","S000000557","E,D"
"YCL054W","S000000559","N,U"
"YCL055W","S000000560","C,N"
"YCL056C","S000000561","C"
"YCL057W","S000000562","C,M"
"YCL058C","S000000563","P,X"
"YCL059C","S000000564","N,U"
"YCL061C","S000000566","N"
"YCL063W","S000000568","V"
"YCL064C","S000000569","M"
"YCL066W","S000000571","N"
"YCL067C","S000000572","N"
"YCL069W","S000000574","V,O"
"YCL073C","S000000575","V,P,O"
"YCL026C-A","S000000589","C,N"
"YCR002C","S000000595","K"
"YCR003W","S000000596","M"
"YCR004C","S000000597","C,M"
"YCR005C","S000000598","M"
"YCR009C","S000000602","C"
"YCR010C","S000000603","M,V,P,O"
"YCR011C","S000000604","C,E,D"
"YCR012W","S000000605","C,M"
"YCR014C","S000000607","N"
"YCR016W","S000000609","N,U"
"YCR017C","S000000610","E,K,B,P,D"
"YCR018C","S000000611","C,N"
"YCR021C","S000000615","P"
"YCR024C","S000000618","C,M"
"YCR024C-A","S000000619","P"
"YCR028C","S000000623","P"
"YCR030C","S000000626","K,B"
"YCR031C","S000000627","C,N,U"
"YCR032W","S000000628","C,M"
"YCR033W","S000000629","N"
"YCR034W","S000000630","E"
"YCR035C","S000000631","C,N,U"
"YCR036W","S000000632","C,N"
"YCR037C","S000000633","P"
"YCR038C","S000000634","C,K"
"YCR039C","S000000635","N"
"YCR040W","S000000636","N"
"YCR042C","S000000638","N"
"YCR043C","S000000639","G"
"YCR044C","S000000640","E,D"
"YCR046C","S000000642","M"
"YCR047C","S000000643","C,N,U"
"YCR048W","S000000644","E,D"
"YCR051W","S000000647","C,N"
"YCR052W","S000000648","N"
"YCR053W","S000000649","C,N"
"YCR054C","S000000650","C,N"
"YCR057C","S000000653","C,N,U"
"YCR059C","S000000655","C,N"
"YCR060W","S000000656","C,N"
"YCR061W","S000000657","C"
"YCR063W","S000000659","N"
"YCR065W","S000000661","C,N"
"YCR066W","S000000662","N"
"YCR067C","S000000663","E,G,D,A"
"YCR068W","S000000664","E,G,D,A"
"YCR071C","S000000667","M"
"YCR072C","S000000668","N,U"
"YCR075C","S000000671","V,O"
"YCR077C","S000000673","C,N"
"YCR081W","S000000677","N"
"YCR082W","S000000678","C,N"
"YCR083W","S000000679","M"
"YCR084C","S000000680","N"
"YCR086W","S000000682","N,U"
"YCR088W","S000000684","C"
"YCR089W","S000000685","X"
"YCR090C","S000000686","C,N"
"YCR092C","S000000688","C,N"
"YCR093W","S000000689","C,N"
"YCR095C","S000000691","C"
"YCR096C","S000000692","N"
"YCR097W","S000000694","N"
"YCR098C","S000000695","P"
"YCR106W","S000000703","N"
"YCR073W-A","S000000718","C"
"YEL001C","S000000727","E,D"
"YEL002C","S000000728","E,D"
"YEL003W","S000000729","C"
"YEL004W","S000000730","E,D"
"YEL005C","S000000731","C,V"
"YEL006W","S000000732","M,R"
"YEL007W","S000000733","C,N"
"YEL009C","S000000735","N"
"YEL011W","S000000737","C"
"YEL012W","S000000738","C"
"YEL013W","S000000739","V"
"YEL015W","S000000741","C"
"YEL017W","S000000743","N,L"
"YEL018W","S000000744","N"
"YEL019C","S000000745","C,N"
"YEL020C","S000000746","C"
"YEL022W","S000000748","C"
"YEL024W","S000000750","M,R"
"YEL025C","S000000751","C,N"
"YEL026W","S000000752","N,U"
"YEL027W","S000000753","V,O"
"YEL029C","S000000755","C,N"
"YEL030W","S000000756","M"
"YEL031W","S000000757","M,D"
"YEL032W","S000000758","C,N"
"YEL034W","S000000760","C,M"
"YEL036C","S000000762","E,G,D,A"
"YEL037C","S000000763","C,N,M"
"YEL038W","S000000764","C,N"
"YEL039C","S000000765","M"
"YEL040W","S000000766","X"
"YEL042W","S000000768","G,A"
"YEL043W","S000000769","E"
"YEL044W","S000000770","N"
"YEL047C","S000000773","C,M"
