"accession","SGDID","associations"
"YHR147C","S000001190","M"
"YHR148W","S000001191","N,U"
"YHR149C","S000001192","K,B"
"YHR152W","S000001195","N,U"
"YHR154W","S000001197","N"
"YHR155W","S000001198","M"
"YHR156C","S000001199","N"
"YHR158C","S000001201","C,K,B"
"YHR159W","S000001202","C"
"YHR160C","S000001203","C"
"YHR161C","S000001204","C,K"
"YHR162W","S000001205","M,R"
"YHR163W","S000001206","C,N"
"YHR164C","S000001207","C,N"
"YHR165C","S000001208","N"
"YHR166C","S000001209","N"
"YHR167W","S000001210","N"
"YHR168W","S000001211","M"
"YHR169W","S000001212","N,U"
"YHR170W","S000001213","C,N"
"YHR171W","S000001214","C,M"
"YHR172W","S000001215","C,N"
"YHR174W","S000001217","C,M"
"YHR175W","S000001218","V,O"
"YHR178W","S000001221","N"
"YHR179W","S000001222","C,N,M"
"YHR181W","S000001224","E,G"
"YHR182W","S000001225","C,B"
"YHR183W","S000001226","C,M"
"YHR185C","S000001228","C,N"
"YHR186C","S000001229","M,V"
"YHR187W","S000001230","C,N"
"YHR188C","S000001231","E,D"
"YHR189W","S000001232","M"
"YHR190W","S000001233","E,D,T"
"YHR191C","S000001234","N"
"YHR192W","S000001235","C"
"YHR193C","S000001236","C,N"
"YHR194W","S000001237","N,M,R"
"YHR195W","S000001238","N"
"YHR196W","S000001239","N,U"
"YHR197W","S000001240","N"
"YHR198C","S000001241","M"
"YHR199C","S000001242","M"
"YHR201C","S000001244","C"
"YHR202W","S000001245","V"
"YHR203C","S000001246","C"
"YHR204W","S000001247","E"
"YHR205W","S000001248","C,N"
"YHR206W","S000001249","N"
"YHR207C","S000001250","C,N"
"YHR208W","S000001251","M"
"YHR209W","S000001252","C"
"YHR211W","S000001254","X"
"YHR216W","S000001259","C"
"YIL001W","S000001263","C"
"YIL002C","S000001264","C"
"YIL003W","S000001265","C"
"YIL004C","S000001266","E,G,D,A"
"YIL005W","S000001267","E,D"
"YIL006W","S000001268","M,R"
"YIL007C","S000001269","C,N"
"YIL008W","S000001270","C,N"
"YIL010W","S000001272","N"
"YIL011W","S000001273","X"
"YIL014W","S000001276","G,A"
"YIL015W","S000001277","X"
"YIL016W","S000001278","N,M,E,D,L"
"YIL017C","S000001279","C,N"
"YIL018W","S000001280","C"
"YIL019W","S000001281","C,N,U"
"YIL020C","S000001282","C,N"
"YIL021W","S000001283","N"
"YIL022W","S000001284","M,R"
"YIL023C","S000001285","E,D"
"YIL026C","S000001288","N"
"YIL027C","S000001289","E,D"
"YIL030C","S000001292","N,E,D"
"YIL031W","S000001293","N"
"YIL033C","S000001295","C,N"
"YIL034C","S000001296","C,B"
"YIL036W","S000001298","N"
"YIL038C","S000001300","C,N"
"YIL039W","S000001301","E,D"
"YIL040W","S000001302","N,E,D,L"
"YIL041W","S000001303","C,G"
"YIL042C","S000001304","M"
"YIL043C","S000001305","M,E,D,T"
"YIL044C","S000001306","C,G"
"YIL045W","S000001307","C"
"YIL046W","S000001308","C,N"
"YIL047C","S000001309","M,P"
"YIL048W","S000001310","G,A"
"YIL049W","S000001311","C,E,D"
"YIL050W","S000001312","C,N"
"YIL051C","S000001313","M"
"YIL052C","S000001314","C"
"YIL053W","S000001315","C,N"
"YIL056W","S000001318","C,N"
"YIL057C","S000001319","C"
"YIL061C","S000001323","N"
"YIL062C","S000001324","C"
"YIL063C","S000001325","N"
"YIL064W","S000001326","C"
"YIL065C","S000001327","M,T"
"YIL066C","S000001328","C,M"
"YIL067C","S000001329","V,O"
"YIL068C","S000001330","C,K,B"
"YIL069C","S000001331","C,U"
"YIL070C","S000001332","M"
"YIL071C","S000001333","C,N"
"YIL072W","S000001334","N"
"YIL074C","S000001336","C"
"YIL075C","S000001337","N"
"YIL076W","S000001338","C,G"
"YIL077C","S000001339","M"
"YIL078W","S000001340","C,M"
"YIL079C","S000001341","C,N,U"
"YIL083C","S000001345","C,N"
"YIL084C","S000001346","N"
"YIL085C","S000001347","G"
"YIL087C","S000001349","M"
"YIL088C","S000001350","V,P,O"
"YIL089W","S000001351","E"
"YIL090W","S000001352","E,D"
"YIL091C","S000001353","N,U"
"YIL092W","S000001354","C,N"
"YIL093C","S000001355","M"
"YIL094C","S000001356","M"
"YIL095W","S000001357","C"
"YIL096C","S000001358","N,U"
"YIL097W","S000001359","C,N"
"YIL098C","S000001360","M"
"YIL101C","S000001363","C,N"
"YIL103W","S000001365","C"
"YIL104C","S000001366","N"
"YIL105C","S000001367","C,M"
"YIL106W","S000001368","C,N,K"
"YIL107C","S000001369","C"
"YIL108W","S000001370","C"
"YIL109C","S000001371","C,E,G"
"YIL110W","S000001372","C,N"
"YIL111W","S000001373","M,R"
"YIL113W","S000001375","C,N"
"YIL114C","S000001376","M,T"
"YIL115C","S000001377","N,L"
"YIL116W","S000001378","C"
"YIL119C","S000001381","N"
"YIL120W","S000001382","P"
"YIL121W","S000001383","P"
"YIL122W","S000001384","N"
"YIL123W","S000001385","X"
"YIL124W","S000001386","C,M,E,T"
"YIL125W","S000001387","M"
"YIL126W","S000001388","N"
"YIL127C","S000001389","N,U"
"YIL128W","S000001390","C,N"
"YIL129C","S000001391","M"
"YIL130W","S000001392","N"
"YIL131C","S000001393","N"
"YIL132C","S000001394","C,N"
"YIL133C","S000001395","C"
"YIL134W","S000001396","M,R"
"YIL135C","S000001397","C"
"YIL136W","S000001398","M,T"
"YIL137C","S000001399","C"
"YIL138C","S000001400","C"
"YIL139C","S000001401","M"
"YIL140W","S000001402","K,P"
"YIL142W","S000001404","C"
"YIL143C","S000001405","N"
"YIL144W","S000001406","N"
"YIL145C","S000001407","C,N"
"YIL146C","S000001408","M,V,O,T"
"YIL147C","S000001409","P"
"YIL148W","S000001410","C,N"
"YIL149C","S000001411","C,N,M"
"YIL150C","S000001412","N"
"YIL153W","S000001415","C,N"
"YIL154C","S000001416","C"
"YIL155C","S000001417","M"
"YIL156W","S000001418","C"
"YIL157C","S000001419","M,R"
"YIL158W","S000001420","C,N,V,O"
"YIL159W","S000001421","K"
"YIL161W","S000001423","C"
"YIL162W","S000001424","C,M,X"
"YIL167W","S000001429","C"
"YIL171W","S000001433","P"
"YIL172C","S000001434","C"
"YIL173W","S000001435","G"
"YIR001C","S000001440","C"
"YIR002C","S000001441","N"
"YIR003W","S000001442","C"
"YIR004W","S000001443","C"
"YIR005W","S000001444","C,N"
"YIR006C","S000001445","C,N"
"YIR007W","S000001446","C"
"YIR009W","S000001448","N"
"YIR010W","S000001449","N"
"YIR011C","S000001450","C,N"
"YIR012W","S000001451","C"
"YIR013C","S000001452","N"
"YIR015W","S000001454","N"
"YIR017C","S000001456","C,N"
"YIR018W","S000001457","C,N"
"YIR019C","S000001458","K,X"
"YIR021W","S000001460","M"
"YIR022W","S000001461","E,D"
"YIR023W","S000001462","N"
"YIR024C","S000001463","M"
"YIR025W","S000001464","N"
"YIR026C","S000001465","C,N"
"YIR033W","S000001472","N"
"YIR034C","S000001473","C"
"YIR035C","S000001474","C"
"YIR036C","S000001475","C"
"YIR037W","S000001476","C"
"YIR038C","S000001477","M,E"
"YKL001C","S000001484","C"
"YKL002W","S000001485","C"
"YKL003C","S000001486","M"
"YKL004W","S000001487","G"
"YKL005C","S000001488","N"
"YKL006W","S000001489","C"
"YKL007W","S000001490","K,B"
"YKL008C","S000001491","E,D"
"YKL009W","S000001492","N,U"
"YKL010C","S000001493","C,N,M"
"YKL011C","S000001494","M"
"YKL012W","S000001495","N"
"YKL013C","S000001496","C"
"YKL014C","S000001497","N,U"
"YKL015W","S000001498","N"
"YKL016C","S000001499","M,R"
"YKL017C","S000001500","C,N"
"YKL018W","S000001501","N"
"YKL020C","S000001503","N"
"YKL021C","S000001504","N,U"
"YKL022C","S000001505","N"
"YKL023W","S000001506","C"
"YKL024C","S000001507","C,N"
"YKL025C","S000001508","C"
"YKL027W","S000001510","M,T"
"YKL028W","S000001511","N,M"
"YKL029C","S000001512","M"
"YKL032C","S000001515","N"
"YKL033W","S000001516","C,N,M"
"YKL034W","S000001517","G,A"
"YKL035W","S000001518","C"
"YKL037W","S000001520","M"
"YKL038W","S000001521","C,N"
"YKL039W","S000001522","G,A"
"YKL040C","S000001523","C,M"
"YKL041W","S000001524","C"
"YKL042W","S000001525","C,N"
"YKL043W","S000001526","N"
"YKL045W","S000001528","N"
"YKL046C","S000001529","E"
"YKL047W","S000001530","C"
"YKL049C","S000001532","N"
"YKL051W","S000001534","P"
"YKL052C","S000001535","C,N"
"YKL054C","S000001537","N"
"YKL055C","S000001538","M"
"YKL056C","S000001539","C,M"
"YKL057C","S000001540","N,L"
"YKL058W","S000001541","C,N"
"YKL059C","S000001542","N"
"YKL060C","S000001543","C,M"
"YKL062W","S000001545","C,N"
"YKL063C","S000001546","G"
"YKL065C","S000001548","E,D"
"YKL067W","S000001550","C,M"
"YKL068W","S000001551","N,L"
"YKL069W","S000001552","C,N"
"YKL070W","S000001553","M"
"YKL071W","S000001554","C"
"YKL073W","S000001556","E"
"YKL075C","S000001558","C"
"YKL078W","S000001561","N,U"
"YKL079W","S000001562","C,K,B"
"YKL080W","S000001563","V,O"
"YKL081W","S000001564","C,M"
"YKL082C","S000001565","N,U"
"YKL084W","S000001567","M"
"YKL085W","S000001568","M"
"YKL086W","S000001569","C,N"
"YKL087C","S000001570","M"
"YKL088W","S000001571","C"
"YKL089W","S000001572","N"
"YKL091C","S000001574","N"
"YKL092C","S000001575","C,K"
"YKL093W","S000001576","M"
"YKL094W","S000001577","C,M,E"
"YKL095W","S000001578","N"
"YKL096W","S000001579","X"
"YKL099C","S000001582","N,U"
"YKL100C","S000001583","E,D"
"YKL101W","S000001584","K"
"YKL103C","S000001586","C,V"
"YKL106W","S000001589","M"
"YKL108W","S000001591","C,N"
"YKL109W","S000001592","N"
"YKL110C","S000001593","C,N"
"YKL112W","S000001595","N"
"YKL113C","S000001596","N,M,U"
"YKL114C","S000001597","N,M"
"YKL116C","S000001599","C"
"YKL117W","S000001600","C,N"
"YKL119C","S000001602","E,D"
"YKL120W","S000001603","M,R"
"YKL122C","S000001605","C,N"
"YKL124W","S000001607","V,O"
"YKL125W","S000001608","N,U"
"YKL126W","S000001609","C,K"
"YKL127W","S000001610","C"
"YKL128C","S000001611","C,N"
"YKL129C","S000001612","C"
"YKL130C","S000001613","C,N,U,B"
"YKL132C","S000001615","M"
"YKL134C","S000001617","M"
"YKL137W","S000001620","M"
"YKL138C","S000001621","M"
"YKL139W","S000001622","C,N,U"
"YKL141W","S000001624","M,R"
"YKL142W","S000001625","C"
"YKL143W","S000001626","C,N"
"YKL144C","S000001627","N"
"YKL145W","S000001628","C,N"
"YKL146W","S000001629","V,O"
"YKL148C","S000001631","M"
"YKL149C","S000001632","C,N"
"YKL150W","S000001633","M,T"
"YKL151C","S000001634","C"
"YKL152C","S000001635","M"
"YKL154W","S000001637","E,D"
"YKL155C","S000001638","M"
"YKL156W","S000001639","C"
"YKL157W","S000001640","C,M,X"
"YKL159C","S000001642","C"
"YKL160W","S000001643","N"
"YKL162C","S000001645","M"
"YKL163W","S000001646","X"
"YKL164C","S000001647","X"
"YKL165C","S000001648","E,G,V,D,O,A"
"YKL166C","S000001649","C,N"
"YKL167C","S000001650","M"
"YKL168C","S000001651","C"
"YKL170W","S000001653","M"
"YKL171W","S000001654","C"
"YKL172W","S000001655","N,U"
"YKL173W","S000001656","N"
"YKL174C","S000001657","G,A"
"YKL175W","S000001658","V,O"
"YKL179C","S000001662","G,A"
"YKL180W","S000001663","C"
"YKL181W","S000001664","C"
"YKL182W","S000001665","C,M"
"YKL183W","S000001666","C,N"
"YKL184W","S000001667","C"
"YKL185W","S000001668","N"
"YKL186C","S000001669","N"
"YKL187C","S000001670","M"
"YKL191W","S000001674","C"
"YKL192C","S000001675","M"
"YKL193C","S000001676","C,N"
"YKL194C","S000001677","C,M"
"YKL195W","S000001678","M,R"
"YKL196C","S000001679","M,G,P"
"YKL197C","S000001680","C"
"YKL203C","S000001686","C,M,V"
"YKL204W","S000001687","C"
"YKL205W","S000001688","C,N,M"
"YKL206C","S000001689","C"
"YKL207W","S000001690","E,D"
"YKL208W","S000001691","M"
"YKL209C","S000001692","G,P"
"YKL210W","S000001693","C,N"
"YKL211C","S000001694","C"
"YKL212W","S000001695","M,E,D,T"
"YKL213C","S000001696","C,N"
"YKL214C","S000001697","N"
"YKL215C","S000001698","C"
"YKL216W","S000001699","C"
"YKL217W","S000001700","M,P"
"YKL220C","S000001703","P"
"YKL222C","S000001705","N"
"YKR001C","S000001709","C"
"YKR002W","S000001710","N"
"YKR003W","S000001711","C"
"YKR006C","S000001714","M"
"YKR007W","S000001715","V"
"YKR008W","S000001716","N"
"YKR010C","S000001718","N,M,U"
"YKR011C","S000001719","N"
"YKR013W","S000001721","X"
"YKR014C","S000001722","E"
"YKR016W","S000001724","M,R"
"YKR018C","S000001726","C,N,M,T"
"YKR019C","S000001727","M"
"YKR020W","S000001728","G"
"YKR021W","S000001729","C"
"YKR022C","S000001730","C,N,E"
"YKR023W","S000001731","C,N,M"
"YKR024C","S000001732","N,U"
"YKR025W","S000001733","N"
"YKR027W","S000001735","M,G"
"YKR028W","S000001736","C"
"YKR030W","S000001738","E,G,D,A"
"YKR031C","S000001739","N"
"YKR034W","S000001742","N"
"YKR036C","S000001744","M"
"YKR037C","S000001745","C,N"
"YKR038C","S000001746","C,N"
"YKR039W","S000001747","P"
"YKR041W","S000001749","C,N"
"YKR042W","S000001750","M,X"
"YKR043C","S000001751","C,N"
"YKR044W","S000001752","N,L"
"YKR045C","S000001753","C"
"YKR048C","S000001756","C,N,K"
"YKR049C","S000001757","M"
"YKR050W","S000001758","P"
"YKR052C","S000001760","M,R"
"YKR053C","S000001761","E,D"
"YKR054C","S000001762","C"
"YKR055W","S000001763","K"
"YKR057W","S000001765","C"
"YKR059W","S000001767","C"
"YKR060W","S000001768","N,U"
"YKR061W","S000001769","G,A"
"YKR062W","S000001770","N"
"YKR063C","S000001771","C,N,M,U"
"YKR064W","S000001772","C,N,M"
"YKR065C","S000001773","M,R"
"YKR066C","S000001774","M"
"YKR067W","S000001775","C,E"
"YKR068C","S000001776","E,G"
"YKR070W","S000001778","M"
"YKR071C","S000001779","C,N,M"
"YKR072C","S000001780","C,N"
"YKR074W","S000001782","C"
"YKR075C","S000001783","C,N"
"YKR076W","S000001784","C"
"YKR077W","S000001785","C,N"
"YKR078W","S000001786","C"
"YKR079C","S000001787","C,N,M"
"YKR080W","S000001788","C,N"
"YKR081C","S000001789","N,U"
"YKR082W","S000001790","N,L"
"YKR083C","S000001791","C,N"
"YKR084C","S000001792","C"
"YKR085C","S000001793","M"
"YKR086W","S000001794","N"
"YKR087C","S000001795","M,R"
"YKR088C","S000001796","C,G,A"
"YKR090W","S000001798","C,K,B"
"YKR091W","S000001799","C"
"YKR092C","S000001800","U"
"YKR093W","S000001801","P"
"YKR094C","S000001802","C,N,M"
"YKR095W","S000001803","N"
"YKR096W","S000001804","C,N"
"YKR099W","S000001807","N"
"YKR100C","S000001808","B,P"
"YKR101W","S000001809","N"
"YKR102W","S000001810","X"
"YKR105C","S000001813","V,P,O"
"YKR106W","S000001814","V,P,O"
"YFL062W","S000001832","C,N"
"YFL055W","S000001839","P"
"YFL052W","S000001842","N"
"YFL051C","S000001843","P"
"YFL050C","S000001844","P"
"YFL049W","S000001845","N"
"YFL048C","S000001846","E,G,D,A"
"YFL047W","S000001847","C,K,B"
"YFL046W","S000001848","M"
"YFL045C","S000001849","C"
"YFL044C","S000001850","C,N"
"YFL041W","S000001853","P"
"YFL039C","S000001855","C"
"YFL038C","S000001856","C,M,E,G"
"YFL037W","S000001857","C"
"YFL036W","S000001858","C,M"
"YFL034C-B","S000001859","C,N,K,B"
"YFL033C","S000001861","C,N"
"YFL031W","S000001863","N"
"YFL030W","S000001864","M"
"YFL029C","S000001865","C"
"YFL028C","S000001866","C,N"
"YFL025C","S000001869","E,D"
"YFL024C","S000001870","N"
"YFL023W","S000001871","C"
"YFL022C","S000001872","C"
"YFL021W","S000001873","N"
"YFL020C","S000001874","C"
"YFL018C","S000001876","M"
"YFL017C","S000001877","C,N"
"YFL016C","S000001878","M"
"YFL014W","S000001880","C,N"
"YFL013C","S000001881","N"
"YFL011W","S000001883","M,P"
"YFL010C","S000001884","C,N,M"
"YFL009W","S000001885","N"
"YFL008W","S000001886","N"
"YFL007W","S000001887","C,N"
"YFL005W","S000001889","C,M"
"YFL004W","S000001890","E,V,O"
"YFL002C","S000001894","N,U"
"YFL001W","S000001895","C,N"
"YFR001W","S000001897","C,N,U"
"YFR002W","S000001898","N,L"
"YFR003C","S000001899","N"
"YFR004W","S000001900","N,M"
"YFR005C","S000001901","N"
"YFR006W","S000001902","C"
"YFR008W","S000001904","E"
"YFR011C","S000001907","C,M"
"YFR013W","S000001909","N"
"YFR014C","S000001910","C"
"YFR015C","S000001911","C,M"
"YFR016C","S000001912","C"
"YFR017C","S000001913","C"
"YFR019W","S000001915","M,V"
"YFR021W","S000001917","V"
"YFR023W","S000001919","N"
"YFR025C","S000001921","C"
"YFR027W","S000001923","C,N"
"YFR028C","S000001924","C,N,U"
"YFR031C","S000001927","C,N,M"
"YFR033C","S000001929","M,R"
"YFR034C","S000001930","C,N"
"YFR036W","S000001932","N"
"YFR037C","S000001933","N"
"YFR038W","S000001934","N"
"YFR040W","S000001936","C"
"YFR041C","S000001937","E,D"
"YFR042W","S000001938","E,D"
"YFR044C","S000001940","C,M"
"YFR045W","S000001941","M,R"
"YFR046C","S000001942","N"
"YFR047C","S000001943","C,N"
"YFR048W","S000001944","C"
"YFR049W","S000001945","M"
"YFR050C","S000001946","C,N"
"YFR051C","S000001947","C,G"
"YFR053C","S000001949","C,M"
"YFR055W","S000001952","C"
"YER044C-A","S000001954","N"
"YKL096W-A","S000001956","X"
"YHR079C-A","S000001957","N"
"YKL006C-A","S000002101","G,A"
"YEL017C-A","S000002103","P"
"YFR031C-A","S000002104","C"
"YER019C-A","S000002127","E,D"
"YER087C-B","S000002128","E,D"
"YAR002C-A","S000002129","M,E,D"
"YCR079W","S000002133","M"
"YER056C-A","S000002135","C"
"YBL005W-A","S000002146","C"
"YBL005W-B","S000002147","C,N"
"YBL100W-A","S000002148","C"
"YBL100W-B","S000002149","C,N"
"YBL111C","S000002151","M"
"YBR012W-A","S000002154","C"
"YBR012W-B","S000002155","C,N"
"YBR084C-A","S000002156","C"
"YBR089C-A","S000002157","N"
"YBR162W-A","S000002158","E,D"
"YDL001W","S000002159","C"
"YDL002C","S000002160","N"
"YDL003W","S000002161","N,M"
"YDL004W","S000002162","M,R"
"YDL005C","S000002163","N"
"YDL006W","S000002164","C,N"
"YDL007W","S000002165","C,N"
"YDL010W","S000002168","G,V,D"
"YDL013W","S000002171","N,U"
"YDL014W","S000002172","N,U"
"YDL015C","S000002173","C,M,E,D"
"YDL017W","S000002175","N"
"YDL018C","S000002176","E,D"
"YDL019C","S000002177","E,K"
"YDL020C","S000002178","C,N"
"YDL021W","S000002179","C"
"YDL022W","S000002180","C,N"
"YDL027C","S000002185","M"
"YDL029W","S000002187","C,M"
"YDL030W","S000002188","N"
"YDL031W","S000002189","N,U"
"YDL033C","S000002191","C,M"
"YDL035C","S000002193","P"
"YDL036C","S000002194","C,N,M"
"YDL040C","S000002198","C,M"
"YDL042C","S000002200","N,U"
"YDL043C","S000002201","N"
"YDL044C","S000002202","M"
"YDL045C","S000002203","C"
"YDL046W","S000002204","V"
"YDL047W","S000002205","C,N"
"YDL048C","S000002206","C,N,M"
"YDL049C","S000002207","X"
"YDL051W","S000002209","N,U"
"YDL053C","S000002211","C,N"
"YDL054C","S000002212","V,O"
"YDL055C","S000002213","C"
"YDL056W","S000002214","N"
"YDL058W","S000002216","C,E,G,D,A"
"YDL059C","S000002217","C,N"
"YDL060W","S000002218","C,N,U"
"YDL061C","S000002219","C"
"YDL063C","S000002221","C,N"
"YDL064W","S000002222","N"
"YDL065C","S000002223","C,E"
"YDL066W","S000002224","M"
"YDL067C","S000002225","M,R"
"YDL069C","S000002227","M"
"YDL070W","S000002228","C,N"
"YDL072C","S000002230","E,D"
"YDL074C","S000002232","N"
"YDL075W","S000002233","C"
"YDL076C","S000002234","N"
"YDL077C","S000002235","V"
"YDL080C","S000002238","N"
"YDL081C","S000002239","C"
"YDL082W","S000002240","C"
"YDL083C","S000002241","C"
"YDL084W","S000002242","C,N"
"YDL085W","S000002243","M"
"YDL086W","S000002244","C,M"
"YDL087C","S000002245","N"
"YDL088C","S000002246","N,L"
"YDL089W","S000002247","N,L"
"YDL091C","S000002249","C"
"YDL092W","S000002250","C,N"
"YDL093W","S000002251","E,D"
"YDL095W","S000002253","E,D"
"YDL098C","S000002256","N"
"YDL099W","S000002257","C"
"YDL100C","S000002258","C,E,G"
"YDL101C","S000002259","N"
"YDL102W","S000002260","N"
"YDL103C","S000002261","C,N"
"YDL104C","S000002262","M"
"YDL105W","S000002263","N"
"YDL106C","S000002264","N"
"YDL107W","S000002265","M"
"YDL108W","S000002266","N"
"YDL110C","S000002268","C,N"
"YDL111C","S000002269","C,N,U"
"YDL112W","S000002270","C"
"YDL115C","S000002273","C,N"
"YDL116W","S000002274","N,L"
"YDL117W","S000002275","C,N,K"
"YDL119C","S000002277","M,R"
"YDL120W","S000002278","M"
"YDL121C","S000002279","E,D"
"YDL122W","S000002280","C,E"
"YDL123W","S000002281","V,O"
"YDL124W","S000002282","C,N"
"YDL125C","S000002283","C,N"
"YDL126C","S000002284","N,M,E"
"YDL127W","S000002285","C,N,K,B"
"YDL128W","S000002286","V,O"
"YDL129W","S000002287","C,N"
"YDL130W","S000002288","C"
"YDL131W","S000002289","N,M"
"YDL132W","S000002290","C,N"
"YDL134C","S000002292","C,N"
"YDL133C-A","S000002293","C"
"YDL135C","S000002294","C,K,B"
"YDL136W","S000002295","C"
"YDL137W","S000002296","G"
"YDL138W","S000002297","P"
"YDL139C","S000002298","C,N"
"YDL140C","S000002299","N,M"
"YDL141W","S000002300","C,N"
"YDL142C","S000002301","M,R"
"YDL143W","S000002302","C"
"YDL144C","S000002303","C,N"
"YDL145C","S000002304","C,G"
"YDL146W","S000002305","C,K"
"YDL148C","S000002307","N,M,U"
"YDL149W","S000002308","M,E,G,D,A"
"YDL150W","S000002309","N"
"YDL153C","S000002312","N,U"
"YDL154W","S000002313","N"
"YDL155W","S000002314","C,N"
"YDL156W","S000002315","C,N"
"YDL157C","S000002316","M"
"YDL159W","S000002318","C"
"YDL160C","S000002319","C"
"YDL161W","S000002320","C,K,B"
"YDL164C","S000002323","N,M"
"YDL165W","S000002324","C,N"
"YDL166C","S000002325","C,N"
"YDL167C","S000002326","C"
"YDL168W","S000002327","C,M"
"YDL170W","S000002329","N"
"YDL171C","S000002330","M"
"YDL173W","S000002332","C"
"YDL174C","S000002333","M"
"YDL175C","S000002334","N,U"
"YDL178W","S000002337","M"
"YDL179W","S000002338","K"
"YDL180W","S000002339","V,O"
"YDL181W","S000002340","M"
"YDL182W","S000002341","C,N,M"
"YDL184C","S000002343","C"
"YDL185W","S000002344","V"
"YDL189W","S000002348","C"
"YDL190C","S000002349","C,N"
"YDL191W","S000002350","C"
"YDL192W","S000002351","G"
"YDL193W","S000002352","N,E,D,L"
"YDL194W","S000002353","P"
"YDL195W","S000002354","E"
"YDL197C","S000002356","N"
"YDL198C","S000002357","M,R"
"YDL200C","S000002359","N"
"YDL201W","S000002360","N"
"YDL202W","S000002361","M"
"YDL203C","S000002362","M"
"YDL204W","S000002363","C,N,E,D"
"YDL205C","S000002364","C,N"
"YDL207W","S000002366","C,N,M,L"
"YDL208W","S000002367","N,U"
"YDL209C","S000002368","N"
"YDL210W","S000002369","V,O"
"YDL211C","S000002370","V,O"
"YDL212W","S000002371","E,D"
"YDL213C","S000002372","N,U"
"YDL214C","S000002373","N"
"YDL215C","S000002374","M"
"YDL216C","S000002375","C,N"
"YDL217C","S000002376","M,R"
"YDL218W","S000002377","C"
"YDL219W","S000002378","C"
"YDL222C","S000002381","M,P"
"YDL223C","S000002382","C"
"YDL224C","S000002383","C"
"YDL225W","S000002384","K"
"YDL226C","S000002385","C,M,G"
"YDL227C","S000002386","N"
"YDL229W","S000002388","C"
"YDL230W","S000002389","C,M"
"YDL232W","S000002391","E,D"
"YDL233W","S000002392","C,N"
"YDL234C","S000002393","C"
"YDL235C","S000002394","C,N"
"YDL236W","S000002395","C,N"
"YDL238C","S000002397","C"
"YDL239C","S000002398","C"
"YDL240W","S000002399","C,M,K"
"YDL245C","S000002404","P"
"YDL247W","S000002406","P"
"YDL248W","S000002407","M"
"YDR001C","S000002408","C"
"YDR002W","S000002409","C,N"
"YDR003W","S000002410","C"
"YDR004W","S000002411","N"
"YDR005C","S000002412","C,N,U"
"YDR006C","S000002413","N"
"YDR007W","S000002414","C"
"YDR009W","S000002416","C,N"
"YDR011W","S000002418","M,P"
"YDR012W","S000002419","C"
"YDR013W","S000002420","N"
"YDR014W","S000002421","N"
"YDR016C","S000002423","C,N"
"YDR017C","S000002424","C"
"YDR019C","S000002426","C,M"
"YDR020C","S000002427","C,N"
"YDR021W","S000002428","N,U"
"YDR022C","S000002429","C"
"YDR023W","S000002430","C"
"YDR025W","S000002432","C"
"YDR026C","S000002433","N,U"
"YDR027C","S000002434","M,G"
"YDR028C","S000002435","C,N"
"YDR030C","S000002437","N"
"YDR031W","S000002438","C,N,M"
"YDR032C","S000002439","C,M,X"
"YDR033W","S000002440","M,P"
"YDR034C","S000002441","N"
"YDR035W","S000002442","C,N,M"
"YDR036C","S000002443","M"
"YDR037W","S000002444","C"
"YDR038C","S000002445","P"
"YDR039C","S000002446","M,P"
"YDR040C","S000002447","P"
"YDR041W","S000002448","M"
"YDR043C","S000002450","N"
"YDR044W","S000002451","C"
"YDR045C","S000002452","N"
"YDR046C","S000002453","M,P"
"YDR047W","S000002454","C,N"
"YDR049W","S000002456","C,M,E"
"YDR050C","S000002457","C,M"
"YDR051C","S000002458","C,N"
"YDR052C","S000002459","C,N"
"YDR054C","S000002461","C,N"
"YDR055W","S000002462","X"
"YDR056C","S000002463","E"
"YDR057W","S000002464","E"
"YDR058C","S000002465","M"
"YDR060W","S000002467","N,U"
"YDR061W","S000002468","M"
"YDR062W","S000002469","C,E"
"YDR063W","S000002470","C,N"
"YDR064W","S000002471","C"
"YDR065W","S000002472","M"
"YDR066C","S000002473","C,N"
"YDR067C","S000002474","C"
"YDR068W","S000002475","C"
"YDR069C","S000002476","C,M"
"YDR070C","S000002477","M"
"YDR071C","S000002478","C"
"YDR073W","S000002480","N"
"YDR074W","S000002481","C,M"
"YDR075W","S000002482","C,N"
"YDR076W","S000002483","N"
"YDR077W","S000002484","M,X"
"YDR078C","S000002485","N"
"YDR079W","S000002486","M,R"
"YDR080W","S000002487","V"
"YDR081C","S000002488","N"
"YDR083W","S000002490","N,U"
"YDR084C","S000002491","C,G,A"
"YDR086C","S000002493","E,D"
"YDR087C","S000002494","N,U"
"YDR088C","S000002495","N"
"YDR090C","S000002497","P"
"YDR091C","S000002498","C,N"
"YDR092W","S000002499","C,N"
"YDR093W","S000002500","P"
"YDR096W","S000002503","N,M"
"YDR097C","S000002504","C,N"
"YDR098C","S000002505","N"
"YDR099W","S000002506","C,N"
"YDR100W","S000002507","G,A"
"YDR101C","S000002508","C,N"
"YDR103W","S000002510","C,N"
"YDR106W","S000002513","C"
"YDR110W","S000002517","U"
"YDR111C","S000002518","C,N"
"YDR113C","S000002520","C,N"
"YDR115W","S000002522","C,N,M"
"YDR116C","S000002523","M"
"YDR118W","S000002525","C,N"
"YDR119W","S000002526","V,O"
"YDR120C","S000002527","N,M"
"YDR121W","S000002528","N"
"YDR122W","S000002529","C"
"YDR123C","S000002530","N"
"YDR125C","S000002532","M"
