study,name,Run,BioSample,sample,type,cohort
XDZ+17,"Qarhan Salt Lake Soils",SRR5626210,SAMN07174777,ND1,normal,deep
XDZ+17,"Qarhan Salt Lake Soils",SRR5626212,SAMN07174779,ND2,normal,deep
XDZ+17,"Qarhan Salt Lake Soils",SRR5626390,SAMN07174781,ND3,normal,deep
XDZ+17,"Qarhan Salt Lake Soils",SRR5626209,SAMN07174776,NS1,normal,surface
XDZ+17,"Qarhan Salt Lake Soils",SRR5626211,SAMN07174778,NS2,normal,surface
XDZ+17,"Qarhan Salt Lake Soils",SRR5626389,SAMN07174780,NS3,normal,surface
XDZ+17,"Qarhan Salt Lake Soils",SRR5626054,SAMN07174754,SD1,saline,deep
XDZ+17,"Qarhan Salt Lake Soils",SRR5626059,SAMN07174756,SD2,saline,deep
XDZ+17,"Qarhan Salt Lake Soils",SRR5626168,SAMN07174758,SD3,saline,deep
XDZ+17,"Qarhan Salt Lake Soils",SRR5626170,SAMN07174760,SD4,saline,deep
XDZ+17,"Qarhan Salt Lake Soils",SRR5626195,SAMN07174762,SD5,saline,deep
XDZ+17,"Qarhan Salt Lake Soils",SRR5626197,SAMN07174764,SD6,saline,deep
XDZ+17,"Qarhan Salt Lake Soils",SRR5626199,SAMN07174766,SD7,saline,deep
XDZ+17,"Qarhan Salt Lake Soils",SRR5626201,SAMN07174768,SD8,saline,deep
XDZ+17,"Qarhan Salt Lake Soils",SRR5626062,SAMN07174753,SS1,saline,surface
XDZ+17,"Qarhan Salt Lake Soils",SRR5626057,SAMN07174755,SS2,saline,surface
XDZ+17,"Qarhan Salt Lake Soils",SRR5626060,SAMN07174757,SS3,saline,surface
XDZ+17,"Qarhan Salt Lake Soils",SRR5626169,SAMN07174759,SS4,saline,surface
XDZ+17,"Qarhan Salt Lake Soils",SRR5626194,SAMN07174761,SS5,saline,surface
XDZ+17,"Qarhan Salt Lake Soils",SRR5626196,SAMN07174763,SS6,saline,surface
XDZ+17,"Qarhan Salt Lake Soils",SRR5626198,SAMN07174765,SS7,saline,surface
XDZ+17,"Qarhan Salt Lake Soils",SRR5626200,SAMN07174767,SS8,saline,surface
XDZ+17,"Qarhan Salt Lake Soils",SRR5626205,SAMN07174772,UD1,saline,deep
XDZ+17,"Qarhan Salt Lake Soils",SRR5626206,SAMN07174773,UD2,saline,deep
XDZ+17,"Qarhan Salt Lake Soils",SRR5626207,SAMN07174774,UD3,saline,deep
XDZ+17,"Qarhan Salt Lake Soils",SRR5626208,SAMN07174775,UD4,saline,deep
XDZ+17,"Qarhan Salt Lake Soils",SRR5626202,SAMN07174769,US1,saline,surface
XDZ+17,"Qarhan Salt Lake Soils",SRR5626203,SAMN07174770,US2,saline,surface
XDZ+17,"Qarhan Salt Lake Soils",SRR5626204,SAMN07174771,US3,saline,surface
