"Ensemble gene ID",Entry,"Up/down regulated in cancer","Times of up-regulation observed","Times of down-regulation observed"
ENSG00000160752,P14324,Up-regulated,13,0
ENSG00000163156,Q9BWG6,Up-regulated,13,0
ENSG00000164054,Q8N114,Up-regulated,13,0
ENSG00000165244,Q7RTV3,Up-regulated,13,0
ENSG00000175792,Q9Y265,Up-regulated,13,0
ENSG00000188486,P16104,Up-regulated,13,0
ENSG00000196230,P07437,Up-regulated,13,0
ENSG00000197299,P54132,Up-regulated,13,0
ENSG00000198056,P49642,Up-regulated,13,0
ENSG00000214078,Q99829,Up-regulated,13,0
ENSG00000214160,Q92685,Up-regulated,13,0
ENSG00000221829,O15287,Up-regulated,13,0
ENSG00000067225,P14618,Up-regulated,13,0
ENSG00000100162,Q9NSP4,Up-regulated,13,0
ENSG00000101146,P78406,Up-regulated,13,0
ENSG00000115233,O00487,Up-regulated,13,0
ENSG00000123395,Q9BSB4,Up-regulated,13,0
ENSG00000128944,Q9Y448,Up-regulated,13,0
ENSG00000130305,Q96P11,Up-regulated,13,0
ENSG00000143401,Q9BTT0,Up-regulated,13,0
ENSG00000153044,Q9H3R5,Up-regulated,13,0
ENSG00000156787,Q96DN5,Up-regulated,13,0
ENSG00000157778,Q9BT73,Up-regulated,13,0
ENSG00000163781,Q92547,Up-regulated,13,0
ENSG00000168476,Q9H6H4,Up-regulated,13,0
ENSG00000171940,O75362,Up-regulated,13,0
ENSG00000175130,P49006,Up-regulated,13,0
ENSG00000177192,Q9Y606,Up-regulated,13,0
ENSG00000204262,P05997,Up-regulated,13,0
ENSG00000154473,O43684,Up-regulated,13,0
ENSG00000164465,Q8N8Z6,Up-regulated,13,0
ENSG00000165949,P40305,Up-regulated,13,0
ENSG00000175305,O96020,Up-regulated,13,0
ENSG00000108381,P45381,Down-regulated,0,19
ENSG00000141338,O94911,Down-regulated,0,19
ENSG00000164128,P25929,Down-regulated,0,19
ENSG00000138356,Q06278,Down-regulated,0,19
ENSG00000144619,Q8IWV2,Down-regulated,0,18
ENSG00000151623,P08235,Down-regulated,0,18
ENSG00000076555,O00763,Down-regulated,0,18
ENSG00000113805,Q9P232,Down-regulated,0,17
ENSG00000165092,P00352,Down-regulated,0,17
ENSG00000170271,Q96IV6,Down-regulated,0,16
ENSG00000171714,Q75V66,Down-regulated,0,16
ENSG00000176595,O94819,Down-regulated,0,16
ENSG00000120915,P34913,Down-regulated,0,16
ENSG00000131018,Q8NF91,Down-regulated,0,16
ENSG00000150625,P51674,Down-regulated,0,16
ENSG00000178075,Q8IYS0,Down-regulated,0,16
ENSG00000187824,Q6QAJ8,Down-regulated,0,16
ENSG00000189221,P21397,Down-regulated,0,16
ENSG00000100307,O95931,Down-regulated,0,15
ENSG00000171408,Q9NP56,Down-regulated,0,15
ENSG00000184905,Q9H3H9,Down-regulated,0,15
ENSG00000196177,P45954,Down-regulated,0,15
ENSG00000248890,NA,Down-regulated,0,15
ENSG00000112964,P10912,Down-regulated,0,15
ENSG00000183172,Q9H4I9,Down-regulated,0,15
ENSG00000006740,Q17R89,Down-regulated,0,14
ENSG00000105784,Q96NL0,Down-regulated,0,14
ENSG00000107242,O14986,Down-regulated,0,14
ENSG00000148541,Q8NE31,Down-regulated,0,14
ENSG00000152642,Q8N335,Down-regulated,0,14
