Name,Run,BioSample,SampleName,Disease
IBD,SRR6505723,SAMN08388908,C235IN_16S,CD
IBD,SRR6505724,SAMN08388909,C235RN_16S,CD
IBD,SRR6505725,SAMN08388910,C236F_16S,CD
IBD,SRR6505726,SAMN08388911,C236IN_16S,CD
IBD,SRR6505727,SAMN08388912,C236IP_16S,CD
IBD,SRR6505728,SAMN08388913,C237AP_16S,CD
IBD,SRR6505717,SAMN08389012,N20F_16S,HC
IBD,SRR6505716,SAMN08389013,N21F_16S,HC
IBD,SRR6505718,SAMN08389082,U121F_16S,UC
IBD,SRR6505730,SAMN08389084,U121RP_16S,UC
IBD,SRR6505729,SAMN08389085,U122F_16S,UC
IBD,SRR6505734,SAMN08389088,U123F_16S,UC
IBD,SRR6505733,SAMN08389089,U123IN_16S,UC
IBD,SRR6505732,SAMN08389090,U123RP_16S,UC
IBD,SRR6505731,SAMN08389091,U124F_16S,UC
