T,loN_lopH,loN_hipH,hiN_lopH,hiN_hipH
0,-14.859274,-13.218763,-13.492181,-11.85167
5,-14.599353,-12.958841,-13.23226,-11.591748
10,-14.346739,-12.706227,-12.979646,-11.339134
15,-14.101681,-12.461169,-12.734588,-11.094076
20,-13.863889,-12.223377,-12.496796,-10.856284
25,-13.633072,-11.99256,-12.265979,-10.625467
30,-13.408945,-11.768433,-12.041852,-10.40134
35,-13.191229,-11.550718,-11.824136,-10.183625
40,-12.979657,-11.339145,-11.612563,-9.972052
45,-12.773969,-11.133457,-11.406876,-9.766364
50,-12.57392,-10.933408,-11.206827,-9.566315
55,-12.379275,-10.738763,-11.012182,-9.37167
60,-12.189809,-10.549298,-10.822716,-9.182204
65,-12.00531,-10.364799,-10.638217,-8.997706
70,-11.825576,-10.185064,-10.458483,-8.817971
75,-11.650413,-10.009902,-10.28332,-8.642809
80,-11.47964,-9.839128,-10.112547,-8.472035
85,-11.313082,-9.67257,-9.945989,-8.305477
90,-11.150574,-9.510063,-9.783481,-8.14297
95,-10.99196,-9.351449,-9.624867,-7.984356
100,-10.837093,-9.196581,-9.47,-7.829488
105,-10.685862,-9.045351,-9.318769,-7.678258
110,-10.538103,-8.897592,-9.17101,-7.530499
115,-10.393688,-8.753176,-9.026595,-7.386083
120,-10.252493,-8.611981,-8.8854,-7.244888
125,-10.114403,-8.473891,-8.74731,-7.106798
130,-9.979305,-8.338793,-8.612212,-6.9717
135,-9.847094,-8.206582,-8.480001,-6.839489
140,-9.717667,-8.077156,-8.350574,-6.710063
145,-9.590928,-7.950417,-8.223835,-6.583324
150,-9.466784,-7.826272,-8.099691,-6.459179
155,-9.345145,-7.704634,-7.978052,-6.33754
160,-9.225927,-7.585415,-7.858834,-6.218322
165,-9.109046,-7.468535,-7.741953,-6.101442
170,-8.994426,-7.353914,-7.627333,-5.986821
175,-8.881989,-7.241478,-7.514896,-5.874384
180,-8.771664,-7.131152,-7.404571,-5.764059
185,-8.66338,-7.022869,-7.296287,-5.655775
190,-8.55707,-6.916558,-7.189977,-5.549465
195,-8.452667,-6.812156,-7.085574,-5.445063
200,-8.350109,-6.709598,-6.983016,-5.342505
205,-8.249335,-6.608823,-6.882241,-5.24173
210,-8.150283,-6.509771,-6.78319,-5.142678
215,-8.052896,-6.412384,-6.685803,-5.045291
220,-7.957117,-6.316605,-6.590024,-4.949512
225,-7.86289,-6.222378,-6.495797,-4.855285
230,-7.770161,-6.129649,-6.403068,-4.762556
235,-7.678876,-6.038364,-6.311783,-4.671271
240,-7.588981,-5.948469,-6.221888,-4.581376
245,-7.500424,-5.859913,-6.133331,-4.49282
250,-7.413153,-5.772642,-6.04606,-4.405549
255,-7.327115,-5.686604,-5.960022,-4.319511
260,-7.242258,-5.601746,-5.875164,-4.234653
265,-7.158526,-5.518015,-5.791433,-4.150922
270,-7.075867,-5.435356,-5.708774,-4.068263
275,-6.994224,-5.353712,-5.627131,-3.986619
280,-6.913538,-5.273026,-5.546445,-3.905933
285,-6.833748,-5.193236,-5.466655,-3.826143
290,-6.754788,-5.114276,-5.387695,-3.747183
295,-6.676587,-5.036075,-5.309494,-3.668982
300,-6.599067,-4.958555,-5.231974,-3.591462
