T,loN_lopH,loN_hipH,hiN_lopH,hiN_hipH
0,-24.257396,-19.47631,-20.273158,-15.492072
5,-23.910883,-19.129797,-19.926645,-15.145559
10,-23.572888,-18.791803,-19.58865,-14.807564
15,-23.243952,-18.462866,-19.259714,-14.478628
20,-22.923846,-18.142761,-18.939608,-14.158522
25,-22.612309,-17.831223,-18.62807,-13.846985
30,-22.309056,-17.527971,-18.324818,-13.543732
35,-22.0138,-17.232714,-18.029561,-13.248476
40,-21.726247,-16.945162,-17.742009,-12.960923
45,-21.446112,-16.665026,-17.461874,-12.680788
50,-21.173112,-16.392026,-17.188874,-12.407788
55,-20.906974,-16.125889,-16.922736,-12.14165
60,-20.647435,-15.866349,-16.663197,-11.882111
65,-20.39424,-15.613154,-16.410002,-11.628916
70,-20.147145,-15.366059,-16.162906,-11.381821
75,-19.905915,-15.124829,-15.921677,-11.140591
80,-19.670326,-14.88924,-15.686088,-10.905002
85,-19.440164,-14.659078,-15.455925,-10.67484
90,-19.215222,-14.434136,-15.230984,-10.449898
95,-18.995305,-14.214219,-15.011067,-10.229981
100,-18.780229,-13.999143,-14.795991,-10.014905
105,-18.569865,-13.788779,-14.585626,-9.804541
110,-18.363994,-13.582908,-14.379756,-9.59867
115,-18.162453,-13.381367,-14.178215,-9.397129
120,-17.965085,-13.183999,-13.980847,-9.199761
125,-17.771741,-12.990656,-13.787503,-9.006417
130,-17.582278,-12.801192,-13.59804,-8.816954
135,-17.396557,-12.615471,-13.412319,-8.631233
140,-17.214447,-12.433362,-13.230209,-8.449123
145,-17.035823,-12.254737,-13.051584,-8.270499
150,-16.860561,-12.079476,-12.876323,-8.095237
155,-16.688547,-11.907461,-12.704309,-7.923223
160,-16.519668,-11.738582,-12.53543,-7.754344
165,-16.353815,-11.57273,-12.369577,-7.588492
170,-16.190886,-11.4098,-12.206648,-7.425562
175,-16.03078,-11.249694,-12.046541,-7.265456
180,-15.873398,-11.092312,-11.88916,-7.108074
185,-15.718648,-10.937562,-11.73441,-6.953324
190,-15.566437,-10.785351,-11.582199,-6.801113
195,-15.416676,-10.63559,-11.432438,-6.651352
200,-15.269278,-10.488193,-11.28504,-6.503954
205,-15.124158,-10.343073,-11.13992,-6.358834
210,-14.981233,-10.200147,-10.996995,-6.215909
215,-14.84042,-10.059334,-10.856181,-6.075096
220,-14.701638,-9.920552,-10.7174,-5.936314
225,-14.564807,-9.783721,-10.580569,-5.799483
230,-14.429848,-9.648763,-10.44561,-5.664524
235,-14.296682,-9.515597,-10.312444,-5.531358
240,-14.16523,-9.384144,-10.180992,-5.399906
245,-14.035413,-9.254327,-10.051174,-5.270089
250,-13.90715,-9.126064,-9.922911,-5.141826
255,-13.78036,-8.999274,-9.796122,-5.015036
260,-13.65496,-8.873875,-9.670722,-4.889636
265,-13.530867,-8.749781,-9.546628,-4.765543
270,-13.40799,-8.626904,-9.423752,-4.642666
275,-13.286239,-8.505153,-9.302001,-4.520915
280,-13.165516,-8.38443,-9.181277,-4.400192
285,-13.045716,-8.26463,-9.061478,-4.280392
290,-12.926727,-8.145641,-8.942489,-4.161403
295,-12.808425,-8.027339,-8.824187,-4.043101
300,-12.690669,-7.909583,-8.706431,-3.925345
