Protein_ID,"Phylostratum (ps)",Tax_ID,"Phylostratum name"
AQZ89116.1,4,1239,"Firmicute/Actinobacteri/Chloroflex/Cyanobacteri/Armatimonadete/Melainabacter : Firmicutes"
AQZ89117.1,1,131567,"root : Cellular_organisms"
AQZ89118.1,7,4000016,"Bacillales : Bacillaceae/Planococcaceae"
AQZ89119.1,7,4000016,"Bacillales : Bacillaceae/Planococcaceae"
AQZ89120.1,2,2,"Cellular_organisms : Bacteria"
AQZ89121.1,1,131567,"root : Cellular_organisms"
AQZ89122.1,6,1385,"Bacillales/Lactobacillales : Bacillales"
AQZ89123.1,1,131567,"root : Cellular_organisms"
AQZ89124.1,1,131567,"root : Cellular_organisms"
AQZ89125.1,10,4000021,"Bacillus_subtilis_group : Bacillus_subtilis_node"
AQZ89126.1,4,4000013,"Firmicutes : Bacilli/Erysioperotrichia/Tenericutes"
AQZ89127.1,1,131567,"root : Cellular_organisms"
AQZ89128.1,8,55087,"Anoxybacillus/Parageobacillus/Geobacillus : Bacillus"
AQZ89129.1,9,653685,"Bacillus : Bacillus_subtilis_group"
AQZ89130.1,2,2,"Cellular_organisms : Bacteria"
AQZ89131.1,1,131567,"root : Cellular_organisms"
AQZ89132.1,2,2,"Cellular_organisms : Bacteria"
AQZ89133.1,1,131567,"root : Cellular_organisms"
AQZ89134.1,1,131567,"root : Cellular_organisms"
AQZ89135.1,8,55087,"Anoxybacillus/Parageobacillus/Geobacillus : Bacillus"
AQZ89136.1,1,131567,"root : Cellular_organisms"
AQZ89137.1,1,131567,"root : Cellular_organisms"
AQZ89138.1,1,131567,"root : Cellular_organisms"
AQZ89139.1,1,131567,"root : Cellular_organisms"
AQZ89140.1,7,4000016,"Bacillales : Bacillaceae/Planococcaceae"
AQZ89141.1,1,131567,"root : Cellular_organisms"
AQZ89142.1,2,2,"Cellular_organisms : Bacteria"
AQZ89143.1,1,131567,"root : Cellular_organisms"
AQZ89144.1,1,131567,"root : Cellular_organisms"
AQZ89145.1,2,2,"Cellular_organisms : Bacteria"
AQZ89146.1,1,131567,"root : Cellular_organisms"
AQZ89147.1,2,2,"Cellular_organisms : Bacteria"
AQZ89148.1,4,1239,"Firmicute/Actinobacteri/Chloroflex/Cyanobacteri/Armatimonadete/Melainabacter : Firmicutes"
AQZ89149.1,1,131567,"root : Cellular_organisms"
AQZ89150.1,1,131567,"root : Cellular_organisms"
AQZ89151.1,1,131567,"root : Cellular_organisms"
AQZ89152.1,11,4000023,"Bacillus_subtilis_node : Bacillus_subtilis_subsp_subtilis"
AQZ89153.1,1,131567,"root : Cellular_organisms"
AQZ89154.1,1,131567,"root : Cellular_organisms"
AQZ89155.1,1,131567,"root : Cellular_organisms"
AQZ89156.1,8,55087,"Anoxybacillus/Parageobacillus/Geobacillus : Bacillus"
AQZ89157.1,1,131567,"root : Cellular_organisms"
