Protein_ID,"Phylostratum (ps)",Tax_ID,"Phylostratum name"
AQZ89350.1,1,131567,"root : Cellular_organisms"
AQZ89351.1,1,131567,"root : Cellular_organisms"
AQZ89352.1,1,131567,"root : Cellular_organisms"
AQZ89353.1,1,131567,"root : Cellular_organisms"
AQZ89354.2,4,1239,"Firmicute/Actinobacteri/Chloroflex/Cyanobacteri/Armatimonadete/Melainabacter : Firmicutes"
AQZ89355.1,8,55087,"Anoxybacillus/Parageobacillus/Geobacillus : Bacillus"
AQZ89356.1,1,131567,"root : Cellular_organisms"
AQZ89357.1,9,653685,"Bacillus : Bacillus_subtilis_group"
AQZ89358.1,9,653685,"Bacillus : Bacillus_subtilis_group"
AQZ89359.1,1,131567,"root : Cellular_organisms"
AQZ89360.1,1,131567,"root : Cellular_organisms"
AQZ89361.2,1,131567,"root : Cellular_organisms"
AQZ89362.1,1,131567,"root : Cellular_organisms"
AQZ89363.1,1,131567,"root : Cellular_organisms"
AQZ89364.1,1,131567,"root : Cellular_organisms"
AQZ89365.1,1,131567,"root : Cellular_organisms"
AQZ89366.1,1,131567,"root : Cellular_organisms"
AQZ89367.1,1,131567,"root : Cellular_organisms"
AQZ89368.1,3,4000010,"Bacteria : Firmicute/Actinobacteri/Chloroflex/Cyanobacteri/Armatimonadete/Melainabacter"
AQZ89369.1,1,131567,"root : Cellular_organisms"
AQZ89370.1,1,131567,"root : Cellular_organisms"
AQZ89371.1,1,131567,"root : Cellular_organisms"
AQZ89372.1,2,2,"Cellular_organisms : Bacteria"
AQZ89373.1,1,131567,"root : Cellular_organisms"
AQZ89374.1,1,131567,"root : Cellular_organisms"
AQZ89375.1,1,131567,"root : Cellular_organisms"
AQZ89376.1,1,131567,"root : Cellular_organisms"
AQZ89377.1,2,2,"Cellular_organisms : Bacteria"
AQZ89378.1,1,131567,"root : Cellular_organisms"
AQZ89379.1,1,131567,"root : Cellular_organisms"
AQZ89380.1,1,131567,"root : Cellular_organisms"
AQZ89381.1,4,1239,"Firmicute/Actinobacteri/Chloroflex/Cyanobacteri/Armatimonadete/Melainabacter : Firmicutes"
AQZ89382.1,1,131567,"root : Cellular_organisms"
AQZ89383.1,2,2,"Cellular_organisms : Bacteria"
AQZ89384.1,1,131567,"root : Cellular_organisms"
AQZ89385.1,2,2,"Cellular_organisms : Bacteria"
AQZ89386.1,6,1385,"Bacillales/Lactobacillales : Bacillales"
AQZ89387.1,9,653685,"Bacillus : Bacillus_subtilis_group"
AQZ89388.1,4,1239,"Firmicute/Actinobacteri/Chloroflex/Cyanobacteri/Armatimonadete/Melainabacter : Firmicutes"
AQZ89389.1,2,2,"Cellular_organisms : Bacteria"
AQZ89390.1,2,2,"Cellular_organisms : Bacteria"
AQZ89391.1,8,55087,"Anoxybacillus/Parageobacillus/Geobacillus : Bacillus"
AQZ89392.1,8,55087,"Anoxybacillus/Parageobacillus/Geobacillus : Bacillus"
AQZ89393.1,6,1385,"Bacillales/Lactobacillales : Bacillales"
AQZ89394.1,5,4000015,"Bacillales/Lactobacillales/Erysipelotrichaceae/Tenericutes : Bacillales/Lactobacillales"
AQZ89395.1,7,4000016,"Bacillales : Bacillaceae/Planococcaceae"
AQZ89396.1,5,4000015,"Bacillales/Lactobacillales/Erysipelotrichaceae/Tenericutes : Bacillales/Lactobacillales"
AQZ89397.1,3,4000010,"Bacteria : Firmicute/Actinobacteri/Chloroflex/Cyanobacteri/Armatimonadete/Melainabacter"
AQZ89398.1,2,2,"Cellular_organisms : Bacteria"
AQZ89399.1,4,1239,"Firmicute/Actinobacteri/Chloroflex/Cyanobacteri/Armatimonadete/Melainabacter : Firmicutes"
AQZ89400.1,1,131567,"root : Cellular_organisms"
AQZ89401.1,6,1385,"Bacillales/Lactobacillales : Bacillales"
AQZ89402.1,3,4000010,"Bacteria : Firmicute/Actinobacteri/Chloroflex/Cyanobacteri/Armatimonadete/Melainabacter"
AQZ89403.1,2,2,"Cellular_organisms : Bacteria"
AQZ89404.1,9,653685,"Bacillus : Bacillus_subtilis_group"
AQZ89405.1,8,55087,"Anoxybacillus/Parageobacillus/Geobacillus : Bacillus"
AQZ89406.1,1,131567,"root : Cellular_organisms"
AQZ89407.1,1,131567,"root : Cellular_organisms"
AQZ89408.1,1,131567,"root : Cellular_organisms"
AQZ89409.1,1,131567,"root : Cellular_organisms"
AQZ89410.1,1,131567,"root : Cellular_organisms"
AQZ89411.1,2,2,"Cellular_organisms : Bacteria"
AQZ89412.1,9,653685,"Bacillus : Bacillus_subtilis_group"
AQZ89413.1,4,4000013,"Firmicutes : Bacilli/Erysioperotrichia/Tenericutes"
AQZ89414.1,9,653685,"Bacillus : Bacillus_subtilis_group"
AQZ89415.1,1,131567,"root : Cellular_organisms"
AQZ89416.1,1,131567,"root : Cellular_organisms"
AQZ89417.2,1,131567,"root : Cellular_organisms"
AQZ89418.1,1,131567,"root : Cellular_organisms"
AQZ89419.1,1,131567,"root : Cellular_organisms"
AQZ89420.1,2,2,"Cellular_organisms : Bacteria"
AQZ89421.1,1,131567,"root : Cellular_organisms"
AQZ89422.1,6,1385,"Bacillales/Lactobacillales : Bacillales"
AQZ89423.1,2,2,"Cellular_organisms : Bacteria"
AQZ89424.1,5,4000015,"Bacillales/Lactobacillales/Erysipelotrichaceae/Tenericutes : Bacillales/Lactobacillales"
AQZ89425.1,2,2,"Cellular_organisms : Bacteria"
AQZ89426.1,1,131567,"root : Cellular_organisms"
AQZ89427.1,1,131567,"root : Cellular_organisms"
AQZ89428.1,1,131567,"root : Cellular_organisms"
AQZ89429.1,1,131567,"root : Cellular_organisms"
AQZ89430.1,2,2,"Cellular_organisms : Bacteria"
AQZ89431.1,1,131567,"root : Cellular_organisms"
AQZ89432.1,1,131567,"root : Cellular_organisms"
AQZ89433.1,1,131567,"root : Cellular_organisms"
AQZ89434.1,1,131567,"root : Cellular_organisms"
AQZ89435.1,3,4000010,"Bacteria : Firmicute/Actinobacteri/Chloroflex/Cyanobacteri/Armatimonadete/Melainabacter"
AQZ89436.1,1,131567,"root : Cellular_organisms"
AQZ89437.1,1,131567,"root : Cellular_organisms"
AQZ89438.1,1,131567,"root : Cellular_organisms"
AQZ89439.1,1,131567,"root : Cellular_organisms"
AQZ89440.1,1,131567,"root : Cellular_organisms"
AQZ89441.1,1,131567,"root : Cellular_organisms"
AQZ89442.1,1,131567,"root : Cellular_organisms"
AQZ89443.1,9,653685,"Bacillus : Bacillus_subtilis_group"
AQZ89444.1,9,653685,"Bacillus : Bacillus_subtilis_group"
AQZ89445.1,1,131567,"root : Cellular_organisms"
AQZ89446.1,1,131567,"root : Cellular_organisms"
AQZ89447.1,1,131567,"root : Cellular_organisms"
AQZ89448.1,1,131567,"root : Cellular_organisms"
AQZ89449.1,1,131567,"root : Cellular_organisms"
AQZ89450.1,1,131567,"root : Cellular_organisms"
AQZ89451.1,1,131567,"root : Cellular_organisms"
AQZ89452.1,1,131567,"root : Cellular_organisms"
AQZ89453.1,1,131567,"root : Cellular_organisms"
AQZ89454.1,1,131567,"root : Cellular_organisms"
AQZ89455.1,1,131567,"root : Cellular_organisms"
AQZ89456.1,4,4000013,"Firmicutes : Bacilli/Erysioperotrichia/Tenericutes"
AQZ89457.1,7,4000018,"Bacillaceae/Planococcaceae : Anoxybacillus/Parageobacillus/Geobacillus"
AQZ89458.1,2,2,"Cellular_organisms : Bacteria"
AQZ89459.1,2,2,"Cellular_organisms : Bacteria"
AQZ89460.1,4,4000013,"Firmicutes : Bacilli/Erysioperotrichia/Tenericutes"
AQZ89461.1,4,4000013,"Firmicutes : Bacilli/Erysioperotrichia/Tenericutes"
AQZ89462.1,4,4000013,"Firmicutes : Bacilli/Erysioperotrichia/Tenericutes"
AQZ89463.1,1,131567,"root : Cellular_organisms"
AQZ89464.1,3,4000010,"Bacteria : Firmicute/Actinobacteri/Chloroflex/Cyanobacteri/Armatimonadete/Melainabacter"
AQZ89465.1,1,131567,"root : Cellular_organisms"
AQZ89466.1,1,131567,"root : Cellular_organisms"
AQZ89467.1,1,131567,"root : Cellular_organisms"
AQZ89468.1,1,131567,"root : Cellular_organisms"
AQZ89469.1,1,131567,"root : Cellular_organisms"
AQZ89470.1,1,131567,"root : Cellular_organisms"
AQZ89471.1,1,131567,"root : Cellular_organisms"
AQZ89472.1,1,131567,"root : Cellular_organisms"
AQZ89473.1,1,131567,"root : Cellular_organisms"
AQZ89474.1,1,131567,"root : Cellular_organisms"
AQZ89475.1,1,131567,"root : Cellular_organisms"
AQZ89476.1,1,131567,"root : Cellular_organisms"
AQZ89477.1,1,131567,"root : Cellular_organisms"
AQZ89478.1,6,1385,"Bacillales/Lactobacillales : Bacillales"
AQZ89479.1,1,131567,"root : Cellular_organisms"
AQZ89480.1,3,4000010,"Bacteria : Firmicute/Actinobacteri/Chloroflex/Cyanobacteri/Armatimonadete/Melainabacter"
AQZ89481.1,8,55087,"Anoxybacillus/Parageobacillus/Geobacillus : Bacillus"
AQZ89482.1,1,131567,"root : Cellular_organisms"
AQZ89483.1,1,131567,"root : Cellular_organisms"
AQZ89484.1,1,131567,"root : Cellular_organisms"
AQZ89485.1,2,2,"Cellular_organisms : Bacteria"
AQZ89486.1,2,2,"Cellular_organisms : Bacteria"
AQZ89487.1,2,2,"Cellular_organisms : Bacteria"
AQZ89488.1,1,131567,"root : Cellular_organisms"
AQZ89489.1,2,2,"Cellular_organisms : Bacteria"
AQZ89490.1,1,131567,"root : Cellular_organisms"
AQZ89491.1,1,131567,"root : Cellular_organisms"
AQZ89492.1,1,131567,"root : Cellular_organisms"
AQZ89493.1,1,131567,"root : Cellular_organisms"
AQZ89494.1,1,131567,"root : Cellular_organisms"
AQZ89495.1,1,131567,"root : Cellular_organisms"
AQZ89496.1,1,131567,"root : Cellular_organisms"
AQZ89497.1,1,131567,"root : Cellular_organisms"
AQZ89498.1,1,131567,"root : Cellular_organisms"
AQZ89499.1,1,131567,"root : Cellular_organisms"
AQZ89500.1,2,2,"Cellular_organisms : Bacteria"
AQZ89501.1,1,131567,"root : Cellular_organisms"
AQZ89502.1,1,131567,"root : Cellular_organisms"
AQZ89503.1,7,4000016,"Bacillales : Bacillaceae/Planococcaceae"
AQZ89504.1,1,131567,"root : Cellular_organisms"
AQZ89505.1,1,131567,"root : Cellular_organisms"
AQZ89506.1,1,131567,"root : Cellular_organisms"
AQZ89507.1,7,4000016,"Bacillales : Bacillaceae/Planococcaceae"
AQZ89508.1,11,4000031,"Bacillus_subtilis_subsp_subtilis_6 : Bacillus_subtilis_subsp_subtilis_8"
AQZ89509.1,2,2,"Cellular_organisms : Bacteria"
AQZ89510.1,1,131567,"root : Cellular_organisms"
AQZ89511.1,1,131567,"root : Cellular_organisms"
