protein,organism,ref,abbrv,chains,Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
AQZ88914.1,FOK+21,NA,NA,1,34,0,29,36,21,17,13,40,38,40,8,21,20,20,20,27,24,23,4,11
AQZ88915.1,FOK+21,NA,NA,1,22,1,23,33,14,15,4,39,24,38,4,15,18,16,17,31,26,31,1,6
AQZ88916.1,FOK+21,NA,NA,1,3,0,5,6,4,7,1,5,3,6,3,4,2,3,3,4,2,8,1,1
AQZ88917.1,FOK+21,NA,NA,1,19,0,24,24,9,22,12,22,26,45,9,14,8,29,21,21,21,28,2,14
AQZ88918.1,FOK+21,NA,NA,1,2,0,5,3,6,3,2,7,8,4,3,3,4,3,2,9,4,10,0,3
AQZ88919.1,FOK+21,NA,NA,1,40,2,41,56,15,53,16,45,43,52,16,33,21,21,36,31,46,41,2,28
AQZ88920.1,FOK+21,NA,NA,1,54,1,47,83,16,61,15,76,47,72,23,35,23,28,60,41,55,58,1,25
AQZ88921.1,FOK+21,NA,NA,1,12,3,14,25,23,7,13,20,29,31,11,11,11,17,11,22,14,14,5,22
AQZ88922.1,FOK+21,NA,NA,1,36,3,27,38,12,47,11,40,37,34,14,14,17,15,23,28,35,45,1,11
AQZ88923.1,FOK+21,NA,NA,1,41,3,30,31,15,32,5,23,49,34,16,24,10,7,7,28,35,32,5,16
AQZ88924.1,FOK+21,NA,NA,1,41,2,13,29,7,26,4,17,18,19,17,10,11,8,16,8,14,29,1,4
AQZ88925.1,FOK+21,NA,NA,1,16,3,7,20,10,20,7,12,7,22,5,6,8,9,10,6,9,17,0,2
AQZ88926.1,FOK+21,NA,NA,1,30,3,27,49,19,24,9,23,31,37,11,16,19,12,31,19,18,30,3,14
AQZ88927.1,FOK+21,NA,NA,1,9,1,13,21,12,12,9,16,16,17,7,10,6,7,10,12,14,11,3,11
AQZ88928.1,FOK+21,NA,NA,1,11,1,14,17,13,7,7,19,20,22,4,7,11,8,6,9,11,9,1,10
AQZ88929.1,FOK+21,NA,NA,1,38,0,21,27,19,23,5,28,11,38,6,27,22,29,32,21,31,23,6,20
AQZ88930.1,FOK+21,NA,NA,1,15,3,12,17,7,4,6,24,13,14,6,11,5,6,4,7,13,6,2,6
AQZ88931.1,FOK+21,NA,NA,1,18,5,3,22,5,13,3,7,13,16,6,5,4,4,9,6,6,13,1,2
AQZ88932.1,FOK+21,NA,NA,1,54,8,33,52,19,30,15,43,47,56,13,21,23,27,22,31,21,34,3,11
AQZ88933.1,FOK+21,NA,NA,1,8,0,7,11,2,11,0,5,12,7,13,5,2,8,1,0,6,9,0,0
AQZ88934.1,FOK+21,NA,NA,1,13,5,15,14,4,14,4,16,15,20,7,5,12,6,9,9,8,15,0,7
AQZ88935.1,FOK+21,NA,NA,1,4,0,1,11,5,1,0,1,13,10,1,2,1,4,7,3,2,3,2,3
AQZ88936.1,FOK+21,NA,NA,1,8,1,0,1,5,11,1,17,4,13,2,2,4,1,0,4,3,9,1,0
AQZ88937.1,FOK+21,NA,NA,1,1,4,5,3,2,1,3,5,7,5,1,2,3,1,2,5,6,4,0,4
AQZ88938.1,FOK+21,NA,NA,1,16,0,5,17,16,7,4,12,19,27,6,4,2,10,14,16,11,8,2,8
AQZ88939.1,FOK+21,NA,NA,1,27,0,22,38,6,14,7,30,36,51,9,21,7,33,17,24,17,21,1,5
AQZ88940.1,FOK+21,NA,NA,1,38,3,24,35,14,26,22,37,25,50,11,18,30,17,18,35,26,34,1,16
