seed,e02,e06,e12,e20,L1,L2,L3,L3c,p1,p2,p3,p4,p5,Ayf,Aym,Af,Am
1,1.812,1.882,1.788,1.741,1.906,1.906,1.953,-0.894,0.094,-0.094,-0.094,-0.565,0.753,0.8,0.8,1.671,1.929
2,1.412,1.435,1.388,1.341,1.435,1.412,1.459,-0.635,0.118,-0.024,-0.024,-0.376,0.635,0.659,0.635,1.294,1.435
3,1.906,1.976,1.882,1.812,1.976,1.929,2,-0.871,0.118,-0.094,-0.094,-0.565,0.824,0.824,0.8,1.765,1.976
4,1.129,1.2,1.106,1.082,1.224,1.224,1.271,-0.753,-0.141,-0.259,-0.259,-0.541,0.329,0.376,0.353,1.012,1.247
5,1.529,1.6,1.529,1.482,1.624,1.6,1.671,-0.494,0.188,0.047,0.071,-0.259,0.706,0.753,0.729,1.412,1.624
6,1.576,1.647,1.553,1.482,1.671,1.647,1.718,-0.918,-0.094,-0.259,-0.259,-0.659,0.518,0.588,0.565,1.435,1.671
7,2.306,2.376,2.259,2.188,2.376,2.353,2.424,-0.659,0.376,0.165,0.165,-0.329,1.129,1.153,1.129,2.118,2.376
8,1.529,1.6,1.506,1.459,1.6,1.576,1.624,-1.012,-0.141,-0.329,-0.329,-0.753,0.518,0.541,0.541,1.388,1.6
9,1.694,1.788,1.671,1.624,1.812,1.788,1.859,-1.035,-0.071,-0.259,-0.259,-0.729,0.612,0.682,0.682,1.553,1.812
10,1.671,1.765,1.647,1.576,1.788,1.765,1.835,-0.988,-0.071,-0.235,-0.235,-0.682,0.588,0.659,0.659,1.506,1.812
11,1.6,1.647,1.553,1.506,1.671,1.647,1.694,-1.012,-0.047,-0.235,-0.235,-0.682,0.588,0.588,0.588,1.435,1.671
12,1.482,1.529,1.435,1.388,1.506,1.482,1.529,-0.918,-0.047,-0.212,-0.212,-0.635,0.565,0.565,0.541,1.341,1.529
13,1.976,2.047,1.929,1.882,2.047,2.024,2.071,-0.682,0.235,0.047,0.047,-0.376,0.918,0.941,0.918,1.812,2.047
14,2.047,2.094,2,1.953,2.118,2.094,2.165,-0.588,0.282,0.094,0.071,-0.329,0.941,0.965,0.941,1.882,2.118
15,1.553,1.624,1.529,1.482,1.647,1.647,1.694,-0.988,-0.094,-0.282,-0.282,-0.706,0.541,0.612,0.588,1.412,1.671
