seed,LC,12H,1D,2D,7D
1,1.953,1.624,1.953,1.129,0.059
2,2.227,1.925,2.282,1.459,0.224
3,2.035,1.706,2.063,1.184,0.141
4,1.953,1.678,1.98,1.212,0.169
5,2.118,1.788,2.145,1.322,0.251
6,2.227,1.898,2.255,1.376,0.196
7,2.008,1.706,2.035,1.212,0.059
8,2.008,1.678,2.008,1.212,0.169
9,1.98,1.651,2.008,1.102,-0.024
10,2.365,1.98,2.392,1.431,0.224
11,2.008,1.678,2.008,1.184,0.141
12,2.035,1.733,2.063,1.267,0.169
13,1.843,1.569,1.871,1.102,0.114
14,2.392,2.035,2.42,1.486,0.251
15,2.063,1.761,2.09,1.322,0.196
16,2.2,1.871,2.227,1.322,0.114
17,2.063,1.761,2.09,1.267,0.196
18,1.843,1.541,1.871,1.129,0.141
19,1.761,1.459,1.761,0.992,0.004
20,1.733,1.431,1.761,0.965,-0.078
21,1.788,1.459,1.788,0.965,0.004
22,1.925,1.624,1.953,1.157,0.114
23,2.255,1.898,2.282,1.322,0.059
24,1.843,1.541,1.871,1.102,0.031
25,2.035,1.761,2.09,1.349,0.278
26,2.008,1.651,2.008,1.102,-0.106
27,1.871,1.541,1.871,1.047,0.059
28,2.008,1.706,2.035,1.267,0.169
29,2.118,1.816,2.173,1.294,0.086
30,2.063,1.788,2.09,1.322,0.251
31,1.733,1.431,1.761,0.91,-0.216
32,2.063,1.733,2.063,1.239,0.169
33,1.624,1.294,1.624,0.8,-0.243
34,2.008,1.733,2.035,1.294,0.278
35,2.173,1.843,2.2,1.349,0.306
36,2.118,1.788,2.145,1.322,0.169
37,1.843,1.514,1.843,0.992,-0.133
38,1.788,1.514,1.816,1.047,-0.024
39,1.843,1.541,1.871,1.075,0.031
40,2.173,1.816,2.2,1.267,0.086
41,2.035,1.733,2.063,1.294,0.169
42,1.925,1.541,1.925,0.992,-0.106
43,2.2,1.871,2.227,1.349,0.141
44,2.063,1.733,2.063,1.239,0.141
45,2.392,2.035,2.42,1.459,0.251
46,1.898,1.596,1.925,1.129,0.086
47,2.173,1.871,2.2,1.349,0.278
48,2.118,1.788,2.145,1.294,0.169
49,2.255,1.925,2.282,1.431,0.224
50,1.843,1.569,1.871,1.102,0.031
51,1.898,1.596,1.898,1.129,0.114
52,2.035,1.733,2.09,1.267,0.114
53,1.651,1.322,1.678,0.827,-0.188
54,1.816,1.486,1.816,0.992,-0.078
55,2.227,1.925,2.255,1.431,0.278
56,2.09,1.788,2.118,1.322,0.251
57,2.008,1.706,2.035,1.212,0.114
58,1.871,1.569,1.898,1.102,0.086
59,2.2,1.871,2.227,1.349,0.224
60,1.816,1.541,1.843,1.075,0.086
61,2.282,1.898,2.31,1.349,0.114
62,2.063,1.733,2.063,1.212,0.141
63,1.953,1.651,1.98,1.157,-0.024
64,1.788,1.486,1.816,0.992,-0.078
65,2.145,1.816,2.173,1.267,0.086
66,2.227,1.871,2.255,1.322,0.086
67,2.008,1.706,2.035,1.212,0.086
68,2.337,2.008,2.365,1.541,0.361
69,2.008,1.706,2.035,1.212,0.059
70,2.227,1.871,2.255,1.322,0.086
71,2.2,1.898,2.255,1.404,0.224
72,1.898,1.596,1.898,1.129,0.086
73,1.925,1.596,1.925,1.075,0.004
74,2.282,1.953,2.31,1.404,0.141
75,1.925,1.651,1.953,1.212,0.141
76,2.008,1.706,2.035,1.239,0.141
77,1.816,1.486,1.816,0.965,-0.024
78,2.035,1.706,2.035,1.212,0.169
79,2.227,1.871,2.255,1.349,0.224
80,2.09,1.788,2.118,1.322,0.196
81,2.282,1.953,2.31,1.486,0.388
82,2.42,2.09,2.447,1.569,0.388
83,2.145,1.871,2.2,1.404,0.251
84,1.816,1.514,1.843,1.02,-0.051
85,2.035,1.706,2.035,1.212,0.169
86,1.925,1.624,1.953,1.129,0.031
87,2.118,1.788,2.145,1.294,0.141
88,2.282,1.925,2.31,1.349,0.114
89,1.843,1.569,1.898,1.102,0.031
90,1.953,1.678,1.98,1.267,0.251
91,2.31,1.953,2.337,1.376,0.141
92,2.008,1.678,2.008,1.184,0.169
93,1.843,1.541,1.871,1.075,-0.024
94,2.145,1.816,2.2,1.322,0.114
95,2.173,1.871,2.2,1.404,0.306
96,2.063,1.761,2.09,1.267,0.114
97,2.008,1.678,2.008,1.184,0.141
98,1.925,1.678,1.98,1.239,0.196
99,2.227,1.898,2.255,1.431,0.333
100,1.761,1.431,1.761,0.965,-0.106
