seed,e02,e06,e12,e20,L1,L2,L3,L3c,p1,p2,p3,p4,p5,Ayf,Aym,Af,Am
1,-70.949,-71.027,-70.98,-70.996,-71.122,-71.153,-71.153,-71.137,-70.902,-70.933,-70.98,-71.027,-70.871,-71.075,-71.106,-70.965,-71.122
2,-70.18,-70.259,-70.227,-70.259,-70.384,-70.431,-70.416,-71.122,-70.557,-70.651,-70.729,-70.886,-70.353,-70.604,-70.651,-70.243,-70.384
3,-70.29,-70.337,-70.306,-70.322,-70.384,-70.416,-70.4,-70.792,-70.494,-70.541,-70.588,-70.682,-70.384,-70.51,-70.525,-70.322,-70.384
4,-70.337,-70.4,-70.369,-70.384,-70.478,-70.51,-70.494,-70.996,-70.557,-70.62,-70.682,-70.808,-70.431,-70.604,-70.635,-70.384,-70.478
5,-70.698,-70.761,-70.729,-70.745,-70.824,-70.855,-70.855,-71.075,-70.824,-70.855,-70.902,-70.965,-70.745,-70.886,-70.918,-70.729,-70.824
6,-70.133,-70.259,-70.18,-70.212,-70.4,-70.447,-70.447,-70.588,-70.227,-70.275,-70.369,-70.431,-70.133,-70.431,-70.463,-70.18,-70.4
7,-70.086,-70.165,-70.133,-70.165,-70.29,-70.322,-70.306,-70.902,-70.431,-70.51,-70.573,-70.714,-70.259,-70.494,-70.525,-70.149,-70.29
8,-70.039,-70.102,-70.071,-70.086,-70.18,-70.196,-70.196,-70.729,-70.306,-70.369,-70.431,-70.557,-70.165,-70.337,-70.353,-70.086,-70.165
9,-70.243,-70.337,-70.29,-70.322,-70.478,-70.525,-70.51,-70.965,-70.557,-70.62,-70.698,-70.792,-70.384,-70.635,-70.682,-70.306,-70.478
10,-70.133,-70.227,-70.18,-70.196,-70.369,-70.4,-70.4,-70.745,-70.259,-70.322,-70.416,-70.525,-70.133,-70.416,-70.463,-70.18,-70.369
