seed,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
39,-67.635,-67.196,-66.51,-66.482,-66.455,-66.29,-66.592,-66.51,-67.278,-66.976,-68.733,-67.251,-66.894,-65.878,-66.125,-66.565
40,-68.157,-67.965,-67.635,-67.635,-67.608,-67.525,-67.663,-67.635,-67.992,-67.855,-68.843,-67.992,-67.8,-67.388,-67.471,-67.663
41,-68.212,-67.965,-67.553,-67.525,-67.525,-67.416,-67.608,-67.553,-68.02,-67.827,-69.008,-67.992,-67.8,-67.224,-67.361,-67.58
42,-67.8,-67.525,-67.114,-67.114,-67.086,-67.004,-67.169,-67.114,-67.553,-67.388,-68.678,-67.525,-67.333,-66.812,-66.894,-67.169
43,-68.129,-67.91,-67.525,-67.498,-67.498,-67.388,-67.553,-67.498,-67.937,-67.773,-68.871,-67.91,-67.718,-67.196,-67.306,-67.553
44,-68.239,-68.02,-67.69,-67.69,-67.663,-67.58,-67.718,-67.69,-68.047,-67.91,-68.898,-68.02,-67.855,-67.416,-67.498,-67.718
45,-68.102,-67.773,-67.361,-67.361,-67.333,-67.224,-67.388,-67.361,-67.827,-67.663,-68.98,-67.8,-67.553,-67.004,-67.114,-67.416
46,-68.184,-67.965,-67.635,-67.663,-67.635,-67.553,-67.69,-67.663,-67.992,-67.855,-68.816,-67.965,-67.8,-67.388,-67.443,-67.69
47,-67.965,-67.663,-67.251,-67.251,-67.224,-67.114,-67.278,-67.251,-67.69,-67.525,-68.788,-67.663,-67.443,-66.894,-67.004,-67.306
48,-68.157,-67.91,-67.525,-67.498,-67.498,-67.388,-67.553,-67.498,-67.965,-67.773,-68.953,-67.937,-67.745,-67.196,-67.333,-67.553
49,-67.498,-67.086,-66.427,-66.4,-66.373,-66.208,-66.482,-66.427,-67.141,-66.867,-68.541,-67.114,-66.757,-65.824,-66.016,-66.482
50,-68.239,-67.992,-67.663,-67.663,-67.635,-67.553,-67.69,-67.663,-68.02,-67.882,-68.925,-67.992,-67.8,-67.361,-67.443,-67.69
51,-67.882,-67.58,-67.196,-67.196,-67.169,-67.059,-67.224,-67.196,-67.608,-67.471,-68.624,-67.58,-67.361,-66.839,-66.894,-67.251
52,-68.02,-67.8,-67.388,-67.361,-67.361,-67.278,-67.443,-67.388,-67.827,-67.663,-68.816,-67.855,-67.635,-67.086,-67.251,-67.443
53,-67.91,-67.608,-67.224,-67.224,-67.196,-67.086,-67.251,-67.224,-67.663,-67.498,-68.706,-67.635,-67.416,-66.894,-67.004,-67.251
54,-67.553,-67.224,-66.894,-66.922,-66.867,-66.784,-66.894,-66.894,-67.278,-67.141,-68.294,-67.196,-66.976,-66.565,-66.537,-66.922
55,-67.992,-67.745,-67.361,-67.361,-67.333,-67.251,-67.416,-67.361,-67.773,-67.608,-68.706,-67.745,-67.553,-67.059,-67.141,-67.416
56,-68.294,-68.047,-67.69,-67.69,-67.69,-67.58,-67.718,-67.69,-68.075,-67.937,-68.953,-68.047,-67.855,-67.416,-67.471,-67.745
57,-67.773,-67.443,-67.086,-67.114,-67.086,-66.976,-67.114,-67.086,-67.498,-67.361,-68.486,-67.416,-67.224,-66.729,-66.757,-67.141
58,-68.267,-68.047,-67.718,-67.718,-67.69,-67.608,-67.745,-67.718,-68.075,-67.937,-68.898,-68.047,-67.882,-67.443,-67.498,-67.745
59,-67.855,-67.553,-67.141,-67.169,-67.141,-67.031,-67.169,-67.169,-67.58,-67.443,-68.651,-67.525,-67.306,-66.812,-66.839,-67.196
60,-68.047,-67.773,-67.416,-67.388,-67.388,-67.306,-67.443,-67.416,-67.827,-67.663,-68.788,-67.8,-67.608,-67.114,-67.224,-67.443
61,-68.322,-68.102,-67.773,-67.773,-67.745,-67.663,-67.8,-67.773,-68.129,-67.992,-69.008,-68.102,-67.937,-67.498,-67.58,-67.8
62,-67.937,-67.608,-67.224,-67.251,-67.196,-67.086,-67.251,-67.224,-67.663,-67.498,-68.678,-67.58,-67.361,-66.839,-66.867,-67.278
63,-68.102,-67.855,-67.498,-67.471,-67.471,-67.361,-67.525,-67.471,-67.882,-67.745,-68.816,-67.855,-67.663,-67.196,-67.278,-67.525
64,-67.965,-67.69,-67.361,-67.333,-67.333,-67.251,-67.388,-67.361,-67.745,-67.58,-68.678,-67.69,-67.525,-67.059,-67.141,-67.388
65,-68.129,-67.827,-67.388,-67.388,-67.361,-67.251,-67.443,-67.388,-67.882,-67.69,-68.925,-67.855,-67.608,-67.031,-67.141,-67.443
66,-68.267,-68.075,-67.745,-67.718,-67.718,-67.635,-67.773,-67.745,-68.102,-67.965,-68.925,-68.075,-67.91,-67.471,-67.553,-67.773
67,-68.157,-67.965,-67.635,-67.635,-67.635,-67.553,-67.69,-67.635,-67.992,-67.855,-68.788,-67.992,-67.827,-67.388,-67.498,-67.663
68,-68.294,-68.102,-67.745,-67.745,-67.718,-67.635,-67.8,-67.745,-68.129,-67.965,-69.008,-68.129,-67.937,-67.471,-67.58,-67.773
69,-68.349,-68.129,-67.773,-67.773,-67.745,-67.663,-67.8,-67.773,-68.157,-67.992,-69.035,-68.129,-67.937,-67.471,-67.553,-67.8
70,-68.239,-67.992,-67.69,-67.663,-67.663,-67.58,-67.718,-67.69,-68.047,-67.91,-68.871,-68.02,-67.827,-67.416,-67.471,-67.718
71,-68.102,-67.855,-67.471,-67.443,-67.443,-67.361,-67.525,-67.471,-67.91,-67.718,-68.871,-67.882,-67.69,-67.169,-67.278,-67.498
72,-67.718,-67.333,-66.702,-66.675,-66.647,-66.482,-66.757,-66.702,-67.388,-67.141,-68.706,-67.388,-67.059,-66.125,-66.373,-66.757
73,-67.718,-67.333,-66.949,-66.976,-66.949,-66.839,-66.976,-66.949,-67.388,-67.251,-68.514,-67.306,-67.059,-66.592,-66.592,-67.004
74,-68.212,-68.02,-67.69,-67.69,-67.663,-67.58,-67.718,-67.69,-68.047,-67.91,-68.898,-68.02,-67.855,-67.416,-67.498,-67.718
75,-68.294,-68.047,-67.718,-67.718,-67.69,-67.608,-67.745,-67.718,-68.075,-67.937,-68.98,-68.047,-67.882,-67.416,-67.498,-67.745
76,-67.525,-67.031,-66.208,-66.208,-66.18,-65.933,-66.29,-66.208,-67.114,-66.784,-68.678,-67.059,-66.62,-65.494,-65.714,-66.29
77,-67.361,-66.894,-66.125,-66.125,-66.098,-65.878,-66.208,-66.125,-66.949,-66.647,-68.486,-66.922,-66.565,-65.467,-65.741,-66.208
78,-67.416,-67.004,-66.29,-66.29,-66.263,-66.071,-66.373,-66.29,-67.059,-66.757,-68.541,-67.059,-66.702,-65.686,-65.933,-66.373
