seed,LC,6H,12H,1D,2D,3D,5D,7D,14D,1M,2M
1,0.471,1.184,0.827,0.525,0.553,0.443,0.663,0.471,0.278,0.196,-0.38
2,0.635,1.376,1.047,0.69,0.718,0.58,0.827,0.635,0.388,0.525,0.306
3,0.553,1.267,0.882,0.608,0.663,0.525,0.745,0.58,0.388,0.251,-0.38
4,0.553,1.212,0.882,0.608,0.635,0.525,0.718,0.553,0.361,0.361,-0.024
5,0.608,1.322,0.992,0.663,0.69,0.58,0.8,0.635,0.416,0.471,0.306
6,0.635,1.404,1.02,0.69,0.718,0.58,0.827,0.635,0.416,0.388,-0.216
7,0.498,1.212,0.855,0.525,0.58,0.443,0.663,0.498,0.278,0.251,-0.49
8,0.58,1.267,0.91,0.635,0.663,0.553,0.745,0.58,0.416,0.278,-0.627
9,0.416,1.157,0.773,0.471,0.498,0.361,0.608,0.416,0.224,0.141,-0.38
10,0.663,1.431,1.047,0.69,0.745,0.608,0.855,0.663,0.443,0.416,-0.271
11,0.553,1.267,0.882,0.608,0.663,0.525,0.745,0.58,0.388,0.251,-0.353
12,0.58,1.294,0.937,0.635,0.69,0.553,0.773,0.608,0.416,0.361,-0.161
13,0.498,1.157,0.8,0.553,0.58,0.471,0.663,0.498,0.333,0.251,-0.325
14,0.663,1.459,1.075,0.718,0.773,0.635,0.855,0.69,0.443,0.498,0.224
15,0.58,1.267,0.937,0.608,0.663,0.525,0.745,0.58,0.361,0.525,0.361
16,0.553,1.349,0.937,0.608,0.663,0.525,0.745,0.58,0.361,0.306,-0.271
17,0.58,1.294,0.937,0.635,0.663,0.553,0.773,0.608,0.388,0.388,0.059
18,0.498,1.129,0.827,0.553,0.58,0.471,0.663,0.498,0.333,0.278,-0.216
19,0.388,1.047,0.69,0.443,0.471,0.361,0.553,0.388,0.224,0.141,-0.38
20,0.306,0.992,0.635,0.361,0.388,0.278,0.471,0.306,0.114,0.169,0.059
21,0.416,1.075,0.718,0.443,0.498,0.388,0.58,0.416,0.251,0.114,-0.435
22,0.525,1.184,0.827,0.553,0.608,0.471,0.69,0.525,0.333,0.278,-0.271
23,0.553,1.376,0.965,0.608,0.635,0.498,0.745,0.553,0.306,0.251,-0.6
24,0.416,1.075,0.745,0.443,0.498,0.361,0.58,0.416,0.224,0.251,-0.024
25,0.608,1.267,0.965,0.663,0.69,0.553,0.773,0.635,0.416,0.525,0.333
26,0.388,1.184,0.773,0.443,0.498,0.361,0.608,0.388,0.196,0.086,-0.243
27,0.443,1.129,0.773,0.498,0.525,0.416,0.608,0.471,0.278,0.169,-0.627
28,0.58,1.267,0.91,0.608,0.663,0.525,0.745,0.58,0.388,0.388,-0.298
29,0.498,1.267,0.91,0.553,0.58,0.443,0.69,0.525,0.278,0.361,-0.161
