seed,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,-70.333,-69.745,-69.039,-69.098,-69.02,-68.804,-69.098,-69.059,-69.824,-69.588,-71.216,-69.706,-69.333,-68.314,-68.49,-69.157
2,-70.314,-69.824,-69.255,-69.294,-69.235,-69.059,-69.294,-69.275,-69.882,-69.686,-71.275,-69.784,-69.471,-68.706,-68.784,-69.333
3,-69.961,-69.353,-68.608,-68.647,-68.588,-68.373,-68.667,-68.627,-69.431,-69.157,-71.039,-69.314,-68.941,-67.941,-68.137,-68.706
4,-70.294,-69.706,-69.039,-69.098,-69.02,-68.804,-69.098,-69.059,-69.784,-69.569,-71.196,-69.686,-69.314,-68.353,-68.471,-69.137
5,-70.098,-69.451,-68.765,-68.824,-68.745,-68.529,-68.804,-68.784,-69.549,-69.294,-71.157,-69.412,-69.02,-68.098,-68.196,-68.863
6,-69.941,-69.196,-68.412,-68.49,-68.392,-68.137,-68.451,-68.431,-69.314,-69.039,-71.078,-69.137,-68.667,-67.588,-67.647,-68.529
7,-70.078,-69.49,-68.863,-68.922,-68.843,-68.667,-68.902,-68.882,-69.569,-69.333,-71.137,-69.451,-69.078,-68.275,-68.314,-68.941
8,-70.49,-70.098,-69.745,-69.765,-69.745,-69.627,-69.765,-69.745,-70.157,-70.02,-71.294,-70.078,-69.863,-69.431,-69.451,-69.784
9,-70.353,-69.765,-69.137,-69.196,-69.118,-68.902,-69.176,-69.157,-69.843,-69.627,-71.196,-69.706,-69.353,-68.471,-68.569,-69.235
10,-70.549,-69.922,-69.294,-69.373,-69.275,-69.059,-69.314,-69.314,-70,-69.804,-71.431,-69.863,-69.51,-68.608,-68.686,-69.392
11,-70.412,-69.902,-69.333,-69.373,-69.314,-69.157,-69.373,-69.353,-69.961,-69.745,-71.451,-69.882,-69.569,-68.863,-68.961,-69.412
12,-70.314,-69.843,-69.314,-69.353,-69.294,-69.137,-69.353,-69.333,-69.902,-69.706,-71.294,-69.804,-69.51,-68.824,-68.863,-69.392
13,-70.529,-70.176,-69.843,-69.863,-69.824,-69.725,-69.863,-69.843,-70.216,-70.098,-71.216,-70.137,-69.941,-69.529,-69.529,-69.882
14,-70.431,-70.078,-69.745,-69.765,-69.745,-69.647,-69.784,-69.765,-70.137,-70,-71.157,-70.078,-69.882,-69.471,-69.529,-69.784
15,-70.118,-69.471,-68.843,-68.902,-68.824,-68.627,-68.863,-68.863,-69.569,-69.353,-71.078,-69.412,-69.039,-68.216,-68.275,-68.941
16,-70.333,-69.745,-69.235,-69.333,-69.255,-69.059,-69.255,-69.275,-69.824,-69.667,-71.098,-69.647,-69.333,-68.686,-68.647,-69.333
17,-69.765,-69.078,-68.255,-68.314,-68.216,-67.961,-68.314,-68.275,-69.176,-68.882,-70.824,-69.02,-68.569,-67.373,-67.51,-68.373
18,-70.647,-70.078,-69.392,-69.431,-69.373,-69.157,-69.431,-69.412,-70.157,-69.902,-71.608,-70.059,-69.686,-68.706,-68.843,-69.49
19,-69.784,-69.235,-68.451,-68.431,-68.392,-68.176,-68.529,-68.431,-69.314,-69,-70.922,-69.255,-68.882,-67.745,-68.059,-68.529
20,-70.451,-70.059,-69.706,-69.745,-69.706,-69.608,-69.725,-69.725,-70.118,-69.98,-71.275,-70.02,-69.824,-69.392,-69.412,-69.765
