seed,e02,e06,e12,e20,L1,L2,L3,L3c,p1,p2,p3,p4,p5,Ayf,Aym,Af,Am
1,1.953,2.024,1.953,1.906,2.024,2.024,2.071,0.447,0.871,0.776,0.776,0.565,1.247,1.294,1.294,1.859,2.047
2,1.6,1.576,1.553,1.506,1.506,1.459,1.506,-0.212,0.565,0.424,0.376,0.071,1.012,0.894,0.847,1.506,1.506
3,1.2,1.2,1.176,1.153,1.176,1.153,1.176,-0.659,0.141,0,-0.047,-0.376,0.588,0.518,0.494,1.106,1.176
4,1.247,1.247,1.224,1.176,1.2,1.176,1.224,-0.4,0.329,0.212,0.165,-0.118,0.729,0.635,0.612,1.153,1.2
5,1.624,1.647,1.6,1.576,1.624,1.6,1.624,0.4,0.824,0.729,0.729,0.518,1.129,1.106,1.082,1.553,1.624
6,1.247,1.247,1.224,1.176,1.247,1.224,1.247,-0.047,0.353,0.259,0.259,0.071,0.682,0.682,0.682,1.153,1.247
7,1.576,1.553,1.529,1.482,1.482,1.435,1.482,-0.212,0.494,0.353,0.329,0.024,0.941,0.824,0.8,1.459,1.482
8,1.624,1.6,1.6,1.576,1.553,1.529,1.553,0.329,0.894,0.8,0.753,0.541,1.2,1.106,1.082,1.553,1.576
9,2.259,2.235,2.188,2.141,2.188,2.141,2.188,0.4,0.988,0.871,0.847,0.588,1.459,1.365,1.341,2.094,2.188
10,1.482,1.506,1.435,1.412,1.482,1.459,1.506,-0.518,0.235,0.071,0.071,-0.259,0.729,0.682,0.682,1.365,1.506
