seed,LC,6H,12H,1D,2D,3D,5D,7D,14D,1M,2M
1,1.212,1.816,1.514,1.267,1.294,1.184,1.376,1.212,1.02,0.882,-0.133
2,1.843,2.776,2.255,1.925,1.98,1.816,2.09,1.843,1.624,1.157,-0.325
3,1.871,2.694,2.282,1.953,2.008,1.843,2.118,1.898,1.651,1.212,-0.627
4,1.431,2.255,1.843,1.514,1.569,1.431,1.678,1.459,1.239,0.965,0.251
5,2.776,4.204,3.325,2.914,3.024,2.776,3.188,2.804,2.502,1.678,0.059
6,1.459,2.365,1.898,1.541,1.596,1.431,1.706,1.486,1.239,0.827,-0.216
7,1.788,2.722,2.227,1.871,1.925,1.761,2.035,1.816,1.569,1.102,-0.408
8,1.871,2.42,2.145,1.925,1.953,1.871,2.035,1.871,1.706,1.376,0.031
9,1.294,1.871,1.624,1.349,1.349,1.239,1.459,1.294,1.102,0.992,-0.435
10,1.02,1.651,1.404,1.047,1.075,0.937,1.184,1.02,0.8,0.827,-0.435
11,2.886,4.396,3.463,3.024,3.133,2.914,3.298,2.914,2.584,1.651,-0.216
12,1.239,2.118,1.678,1.322,1.376,1.212,1.486,1.267,0.992,0.69,-0.298
13,1.651,2.392,2.09,1.706,1.733,1.596,1.843,1.678,1.404,1.404,0.031
14,2.09,2.694,2.447,2.145,2.173,2.09,2.255,2.118,1.953,2.035,2.173
15,0.992,1.706,1.459,1.02,1.02,0.882,1.157,0.992,0.69,0.937,0.004
16,1.459,2.282,1.871,1.541,1.569,1.431,1.678,1.486,1.239,0.992,-0.024
17,1.541,2.063,1.816,1.569,1.624,1.514,1.678,1.541,1.376,1.212,0.718
18,1.267,1.925,1.678,1.322,1.322,1.184,1.431,1.267,1.02,1.184,0.69
19,1.349,2.035,1.706,1.404,1.431,1.322,1.541,1.349,1.157,0.965,0.141
20,1.706,2.694,2.145,1.788,1.871,1.706,1.98,1.733,1.486,0.965,-0.792
