seed,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,-70.325,-69.749,-69.035,-69.09,-69.035,-68.788,-69.09,-69.063,-69.831,-69.584,-71.204,-69.694,-69.337,-68.322,-68.486,-69.145
2,-70.298,-69.831,-69.255,-69.282,-69.227,-69.063,-69.282,-69.255,-69.886,-69.694,-71.259,-69.776,-69.475,-68.706,-68.788,-69.337
3,-69.941,-69.337,-68.624,-68.651,-68.596,-68.376,-68.678,-68.624,-69.42,-69.173,-71.039,-69.31,-68.925,-67.937,-68.129,-68.706
4,-70.298,-69.722,-69.035,-69.09,-69.008,-68.816,-69.09,-69.063,-69.804,-69.557,-71.204,-69.694,-69.31,-68.349,-68.486,-69.145
5,-70.106,-69.447,-68.761,-68.816,-68.733,-68.541,-68.816,-68.788,-69.557,-69.31,-71.149,-69.42,-69.035,-68.102,-68.212,-68.871
6,-69.941,-69.2,-68.404,-68.486,-68.404,-68.129,-68.459,-68.431,-69.31,-69.035,-71.067,-69.145,-68.678,-67.58,-67.635,-68.541
7,-70.078,-69.502,-68.871,-68.925,-68.843,-68.651,-68.898,-68.871,-69.584,-69.337,-71.149,-69.447,-69.09,-68.267,-68.294,-68.953
8,-70.49,-70.106,-69.749,-69.776,-69.749,-69.639,-69.749,-69.749,-70.161,-70.024,-71.286,-70.078,-69.859,-69.42,-69.447,-69.804
9,-70.353,-69.749,-69.118,-69.2,-69.118,-68.898,-69.173,-69.145,-69.831,-69.639,-71.204,-69.722,-69.365,-68.459,-68.569,-69.227
10,-70.545,-69.914,-69.282,-69.365,-69.282,-69.063,-69.31,-69.31,-69.996,-69.804,-71.424,-69.859,-69.502,-68.624,-68.678,-69.392
