seed,1,2,3,4,5,6,7,8
77,-71.137,-71.137,-70.804,-70.157,-69.059,-69.255,-69.451,-69.412
78,-70.784,-70.647,-70.588,-69.784,-68.51,-68.686,-68.902,-68.922
79,-71.941,-71.706,-72,-71.922,-71.745,-71.647,-71.686,-71.765
80,-69.667,-69.647,-69.49,-69.196,-68.255,-68.412,-68.608,-68.608
81,-70.686,-70.608,-70.549,-70.157,-69.569,-69.667,-69.765,-69.765
82,-72,-72,-72,-72,-71.882,-71.843,-71.882,-71.941
83,-72,-72,-72,-72,-71.922,-71.863,-71.922,-71.98
84,-70.961,-70.882,-70.725,-70.02,-68.804,-69,-69.235,-69.196
85,-70.275,-70.157,-70.196,-69.725,-68.882,-69.059,-69.216,-69.176
86,-70.02,-69.824,-70,-69.294,-68.078,-68.255,-68.471,-68.49
87,-71,-70.882,-70.824,-70.196,-69.137,-69.314,-69.51,-69.49
88,-70.373,-70.216,-70.373,-69.843,-69.039,-69.176,-69.314,-69.294
89,-70.627,-70.471,-70.49,-69.843,-68.667,-68.882,-69.098,-69.059
90,-70.667,-70.51,-70.667,-70.196,-69.608,-69.686,-69.784,-69.784
91,-70.314,-70.157,-70.255,-69.667,-68.549,-68.804,-69,-68.961
92,-72,-71.941,-72,-72,-71.784,-71.745,-71.784,-71.843
93,-70.627,-70.529,-70.412,-69.784,-68.745,-68.961,-69.137,-69.098
94,-72,-71.902,-72,-72,-71.745,-71.686,-71.725,-71.804
95,-70.922,-70.941,-70.588,-70,-68.941,-69.157,-69.333,-69.294
96,-71.275,-71.196,-71.059,-70.431,-69.431,-69.588,-69.765,-69.745
97,-70.549,-70.392,-70.412,-69.804,-68.941,-69.059,-69.216,-69.196
98,-70.647,-70.412,-70.608,-70.02,-68.98,-69.196,-69.373,-69.333
99,-70.686,-70.745,-70.451,-69.843,-68.941,-69.078,-69.235,-69.216
100,-70.471,-70.314,-70.333,-69.745,-68.686,-68.902,-69.098,-69.059
