seed,LC,12H,1D,2D,7D
1,2.392,2.173,2.42,1.816,0.745
2,3.573,3.216,3.573,2.557,1.129
3,3.408,3.161,3.435,2.639,1.157
4,2.969,2.694,2.996,2.173,0.827
5,5,4.725,5,3.71,1.678
6,3.161,2.859,3.188,2.255,0.745
7,3.573,3.188,3.573,2.529,1.075
8,2.886,2.694,2.914,2.365,1.322
9,2.447,2.282,2.502,1.925,0.855
10,2.447,2.227,2.529,1.843,0.608
11,5,4.945,5,3.875,1.706
12,2.914,2.612,2.941,2.063,0.525
13,3.243,2.996,3.298,2.557,1.157
14,3.38,3.188,3.435,2.831,1.706
15,2.639,2.392,2.722,1.98,0.608
16,3.078,2.776,3.106,2.227,0.882
17,2.529,2.365,2.557,2.063,1.102
18,2.749,2.502,2.804,2.09,0.91
19,2.694,2.447,2.722,2.035,0.827
20,3.463,3.106,3.435,2.447,0.937
21,2.859,2.612,2.886,2.145,0.937
22,3.353,3.051,3.353,2.475,1.102
23,3.325,3.024,3.353,2.502,1.102
24,2.776,2.584,2.776,2.227,1.157
25,3.435,2.996,3.463,2.282,0.58
26,3.49,3.051,3.435,2.2,0.525
27,2.063,1.843,2.063,1.431,0.306
28,2.42,2.255,2.475,1.898,0.8
29,2.42,2.173,2.447,1.706,0.525
30,3.737,3.325,3.765,2.639,1.047
31,2.886,2.667,2.941,2.255,1.157
32,2.667,2.42,2.667,1.98,0.663
33,2.31,2.09,2.392,1.706,0.58
34,2.639,2.447,2.639,2.09,0.992
35,3.463,3.298,3.545,2.996,1.925
36,2.776,2.502,2.886,2.008,0.58
37,3.875,3.435,3.847,2.557,0.718
38,2.529,2.255,2.557,1.761,0.58
39,3.49,3.133,3.463,2.502,1.075
40,5,4.561,5,3.682,1.871
41,4.424,3.737,4.424,2.667,0.635
42,2.996,2.694,2.996,2.173,0.882
43,2.886,2.557,2.859,1.925,0.553
44,3.024,2.694,3.024,2.09,0.635
45,3.545,3.188,3.545,2.612,1.102
46,2.749,2.529,2.776,2.145,0.992
47,3.078,2.694,3.078,2.063,0.608
48,4.039,3.792,4.094,3.435,2.173
49,3.655,3.216,3.655,2.447,0.718
50,3.133,2.804,3.161,2.2,0.553
51,1.98,1.816,2.008,1.514,0.608
52,3.133,2.914,3.216,2.502,1.102
53,2.09,1.898,2.118,1.569,0.525
54,2.145,1.898,2.145,1.486,0.443
55,4.835,4.286,4.808,3.353,1.404
56,2.722,2.447,2.722,1.925,0.58
57,3.463,3.078,3.49,2.42,0.827
58,2.831,2.639,2.859,2.255,0.992
59,2.502,2.2,2.557,1.678,0.361
60,2.694,2.282,2.667,1.569,0.224
61,2.063,1.816,2.09,1.404,0.196
62,2.173,2.008,2.2,1.678,0.663
63,2.996,2.749,3.024,2.282,0.992
64,3.024,2.859,3.078,2.529,1.267
65,4.204,3.737,4.176,2.914,1.184
66,2.529,2.31,2.584,1.898,0.69
67,3.106,2.859,3.188,2.365,0.827
68,2.282,2.118,2.31,1.788,0.773
69,2.639,2.475,2.639,2.145,1.129
70,3.106,2.859,3.133,2.365,1.02
71,3.627,3.298,3.655,2.749,1.294
72,2.447,2.2,2.584,1.816,0.745
73,3.463,3.024,3.463,2.255,0.525
74,3.024,2.776,3.051,2.31,0.937
75,2.941,2.667,2.941,2.173,0.8
76,3.627,3.298,3.627,2.722,1.267
77,3.82,3.435,3.792,2.722,1.239
78,2.831,2.584,2.859,2.118,0.882
79,3.765,3.49,3.847,3.051,1.678
80,3.49,3.243,3.518,2.804,1.376
81,2.557,2.365,2.584,1.98,0.855
82,2.667,2.529,2.694,2.31,1.569
83,2.035,1.898,2.118,1.651,0.882
84,3.298,2.996,3.298,2.447,1.075
85,3.463,3.106,3.463,2.475,0.91
86,2.42,2.173,2.475,1.761,0.58
87,2.831,2.584,2.859,2.145,0.855
88,3.271,2.969,3.298,2.392,0.773
89,2.475,2.282,2.529,1.953,0.773
90,2.612,2.392,2.639,2.008,0.91
91,3.243,2.941,3.271,2.42,1.02
92,3.38,3.243,3.408,2.996,2.118
93,3.957,3.6,3.957,2.996,1.404
94,3.957,3.71,3.984,3.325,2.09
95,3.188,2.886,3.188,2.31,1.047
96,2.31,2.035,2.31,1.541,0.306
97,2.584,2.392,2.612,2.035,0.91
98,2.008,1.816,2.063,1.486,0.416
99,4.067,3.655,4.039,2.914,1.294
100,3.463,3.188,3.49,2.667,1.239
