seed,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
43,1.039,-0.039,0.078,0.431,0.216,0.059,-0.078,0.196,0.078,0.373,-0.059,-0.431,-0.471,-0.216,-0.647,0.216
44,0.902,-0.333,-0.118,0.275,0.02,-0.137,-0.333,0,-0.196,0.157,-0.353,-0.843,-0.882,-0.373,-1.039,0.02
45,1.157,0,0.255,0.686,0.412,0.275,0.039,0.392,0.118,0.49,-0.196,-0.49,-0.51,0.039,-0.647,0.412
46,1.255,0.118,0.294,0.725,0.451,0.255,0.098,0.431,0.255,0.608,-0.059,-0.373,-0.451,-0.118,-0.784,0.451
47,1.294,0.353,0.667,1.059,0.824,0.706,0.471,0.804,0.471,0.843,-0.02,-0.098,-0.098,0.471,-0.216,0.804
48,0.902,0.02,0.176,0.529,0.314,0.157,0,0.294,0.118,0.412,-0.118,-0.373,-0.431,-0.157,-0.725,0.314
49,0.412,-0.725,-0.667,-0.255,-0.51,-0.725,-0.863,-0.529,-0.588,-0.294,-0.549,-1.196,-1.353,-1.176,-1.882,-0.49
50,0.706,-0.333,-0.157,0.196,-0.02,-0.176,-0.333,-0.039,-0.216,0.078,-0.431,-0.725,-0.765,-0.431,-0.922,-0.02
51,1.255,-0.118,-0.118,0.373,0.059,-0.235,-0.333,0.039,0.039,0.373,0.078,-0.706,-0.922,-0.843,-1.706,0.098
52,0.765,-0.373,-0.235,0.137,-0.098,-0.255,-0.412,-0.118,-0.235,0.059,-0.294,-0.804,-0.882,-0.529,-1.098,-0.098
53,0.882,-0.137,-0.059,0.294,0.059,-0.098,-0.216,0.059,-0.039,0.235,-0.098,-0.549,-0.627,-0.431,-0.961,0.078
54,1.157,-0.118,-0.039,0.471,0.157,-0.118,-0.275,0.137,0.039,0.392,-0.02,-0.706,-0.902,-0.686,-1.608,0.176
55,1.431,0.314,0.529,0.902,0.667,0.51,0.333,0.647,0.451,0.784,0.294,-0.118,-0.176,0.255,-0.353,0.667
56,0.922,-0.294,-0.176,0.314,0,-0.255,-0.431,-0.02,-0.137,0.216,-0.235,-0.922,-1.098,-0.824,-1.882,0.02
57,1.118,-0.059,0.059,0.49,0.216,-0.02,-0.157,0.196,0.098,0.412,-0.02,-0.588,-0.725,-0.451,-1.235,0.216
58,0.902,-0.059,0.02,0.412,0.157,-0.039,-0.157,0.157,0.059,0.353,-0.098,-0.549,-0.667,-0.471,-1.137,0.176
59,1.373,0.255,0.353,0.784,0.51,0.294,0.137,0.49,0.392,0.706,0.255,-0.275,-0.412,-0.196,-1.02,0.529
60,1.078,0.039,0.137,0.49,0.275,0.098,-0.02,0.255,0.157,0.431,0.039,-0.373,-0.431,-0.196,-0.706,0.275
61,0.667,-0.137,0.039,0.373,0.157,0.02,-0.137,0.137,-0.039,0.235,-0.235,-0.569,-0.647,-0.275,-1.02,0.157
62,0.882,-0.196,-0.118,0.255,0.02,-0.176,-0.294,0,-0.059,0.216,-0.118,-0.667,-0.804,-0.588,-1.235,0.039
63,0.961,0,0.216,0.569,0.353,0.196,0.02,0.333,0.118,0.431,-0.176,-0.431,-0.471,-0.059,-0.706,0.333
64,0.784,-0.373,-0.353,0.059,-0.216,-0.451,-0.549,-0.216,-0.216,0.059,-0.157,-0.863,-1.039,-0.941,-1.686,-0.176
65,0.608,-0.451,-0.353,0.02,-0.216,-0.412,-0.529,-0.235,-0.333,-0.039,-0.451,-0.922,-1.02,-0.745,-1.353,-0.216
66,1.02,-0.157,-0.157,0.255,-0.02,-0.255,-0.353,-0.02,0,0.255,0.059,-0.647,-0.824,-0.765,-1.451,0.02
67,0.784,-0.078,0.137,0.49,0.275,0.137,-0.039,0.255,0.039,0.333,-0.216,-0.51,-0.569,-0.118,-0.804,0.255
68,1.118,-0.118,-0.098,0.275,0.02,-0.176,-0.255,0.02,0.039,0.294,0.098,-0.549,-0.667,-0.529,-1,0.059
69,1.137,0.02,0.118,0.529,0.275,0.078,-0.059,0.255,0.137,0.451,0.039,-0.471,-0.569,-0.314,-0.98,0.275
70,1.02,-0.059,0.059,0.451,0.196,0.02,-0.118,0.196,0.059,0.373,-0.098,-0.529,-0.627,-0.353,-1,0.216
71,1.078,-0.255,-0.157,0.333,0.02,-0.235,-0.392,0,-0.098,0.275,-0.118,-0.863,-1.039,-0.745,-1.686,0.039
72,1.157,0.02,0.118,0.471,0.235,0.059,-0.059,0.216,0.137,0.431,0,-0.412,-0.471,-0.255,-0.706,0.255
73,1.255,0.02,0.216,0.706,0.392,0.196,-0.02,0.373,0.176,0.549,-0.039,-0.569,-0.686,-0.255,-1.176,0.392
74,1.02,-0.078,0.098,0.49,0.235,0.059,-0.098,0.235,0.059,0.392,-0.196,-0.529,-0.588,-0.255,-0.843,0.255
75,0.804,-0.216,-0.118,0.255,0.02,-0.176,-0.314,0,-0.098,0.196,-0.176,-0.667,-0.784,-0.608,-1.294,0.02
76,0.843,-0.059,0.137,0.49,0.275,0.137,-0.039,0.255,0.039,0.353,-0.216,-0.49,-0.529,-0.118,-0.725,0.255
77,1.059,0,0.078,0.431,0.196,0.039,-0.059,0.196,0.118,0.373,0.039,-0.373,-0.451,-0.235,-0.667,0.216
78,0.647,-0.549,-0.549,-0.137,-0.412,-0.647,-0.745,-0.412,-0.412,-0.137,-0.353,-1.039,-1.196,-1.118,-1.706,-0.373
79,0.922,-0.196,-0.059,0.333,0.078,-0.098,-0.235,0.059,-0.059,0.235,-0.235,-0.608,-0.686,-0.451,-0.98,0.078
80,0.647,-0.373,-0.235,0.137,-0.098,-0.275,-0.412,-0.118,-0.255,0.039,-0.373,-0.824,-0.922,-0.608,-1.294,-0.098
81,1,-0.118,-0.157,0.216,-0.02,-0.235,-0.314,-0.02,0.02,0.255,0.157,-0.529,-0.686,-0.667,-1.157,0.02
82,1.039,-0.216,-0.137,0.353,0.039,-0.216,-0.373,0.02,-0.039,0.294,-0.078,-0.804,-1,-0.804,-1.784,0.059
83,1.059,-0.196,-0.118,0.333,0.039,-0.196,-0.333,0.02,-0.039,0.294,-0.157,-0.745,-0.902,-0.686,-1.451,0.059
84,1.235,0.039,0.157,0.608,0.314,0.098,-0.059,0.314,0.196,0.529,0.098,-0.49,-0.647,-0.392,-1.255,0.333
85,0.882,0,0.275,0.569,0.392,0.294,0.098,0.373,0.098,0.392,-0.275,-0.353,-0.333,0.157,-0.353,0.373
86,0.765,-0.059,0.078,0.392,0.196,0.059,-0.078,0.176,0.039,0.294,-0.157,-0.451,-0.51,-0.235,-0.784,0.196
87,0.902,-0.078,0.039,0.412,0.176,0,-0.137,0.157,0.02,0.314,-0.137,-0.49,-0.569,-0.353,-0.902,0.176
88,0.824,-0.137,-0.118,0.255,0.02,-0.196,-0.294,0,-0.02,0.235,0.02,-0.569,-0.725,-0.627,-1.235,0.039
89,1.098,-0.078,0.078,0.49,0.235,0.059,-0.118,0.216,0.059,0.392,-0.078,-0.569,-0.647,-0.255,-0.882,0.235
90,1.412,0.176,0.255,0.686,0.412,0.176,0.059,0.392,0.333,0.647,0.176,-0.314,-0.431,-0.235,-0.843,0.431
91,1.294,0.02,0.196,0.667,0.373,0.176,-0.02,0.353,0.157,0.529,0,-0.49,-0.588,-0.216,-0.922,0.373
92,0.804,-0.333,-0.216,0.157,-0.098,-0.275,-0.392,-0.098,-0.196,0.098,-0.353,-0.745,-0.824,-0.608,-1.098,-0.078
93,0.922,-0.098,-0.078,0.294,0.059,-0.137,-0.235,0.059,0.02,0.275,0.039,-0.549,-0.686,-0.529,-1.157,0.078
94,0.922,0.098,0.353,0.667,0.471,0.373,0.196,0.451,0.196,0.49,-0.157,-0.255,-0.235,0.235,-0.275,0.451
95,1,-0.118,-0.059,0.353,0.098,-0.118,-0.255,0.078,0.02,0.314,-0.02,-0.588,-0.745,-0.588,-1.275,0.118
96,1.02,-0.176,-0.118,0.314,0.039,-0.216,-0.333,0.02,-0.039,0.275,-0.098,-0.706,-0.882,-0.745,-1.549,0.059
97,0.627,-0.314,-0.157,0.255,0,-0.196,-0.373,-0.02,-0.196,0.137,-0.373,-0.804,-0.941,-0.608,-1.471,0
98,0.902,-0.255,-0.157,0.255,-0.02,-0.216,-0.353,-0.02,-0.118,0.196,-0.216,-0.745,-0.863,-0.647,-1.314,0
99,1.235,-0.098,0.039,0.549,0.216,-0.02,-0.216,0.196,0.059,0.431,-0.039,-0.706,-0.843,-0.51,-1.392,0.235
100,1,-0.157,-0.039,0.373,0.098,-0.098,-0.235,0.098,-0.02,0.294,-0.176,-0.608,-0.725,-0.49,-1.137,0.118
