seed,1,2,3,4,5,6,7,8
1,-70.902,-70.902,-70.627,-69.969,-68.596,-68.843,-69.09,-69.063
2,-70.875,-70.765,-70.682,-70.024,-68.898,-69.09,-69.282,-69.255
3,-70.655,-70.573,-70.353,-69.584,-68.184,-68.404,-68.651,-68.651
4,-70.902,-70.875,-70.627,-69.941,-68.596,-68.843,-69.09,-69.063
5,-70.765,-70.737,-70.463,-69.694,-68.322,-68.569,-68.816,-68.788
6,-70.655,-70.6,-70.325,-69.502,-67.855,-68.184,-68.486,-68.431
7,-70.737,-70.655,-70.463,-69.722,-68.459,-68.706,-68.898,-68.871
8,-70.984,-70.929,-70.765,-70.243,-69.529,-69.667,-69.776,-69.749
9,-70.957,-70.957,-70.627,-69.996,-68.706,-68.953,-69.173,-69.145
10,-71.149,-71.149,-70.82,-70.161,-68.843,-69.118,-69.337,-69.31
