type,study,n_dn,n_up,ZC_dn,nH2O_dn,ZC_up,nH2O_up,ZC_pvalue,nH2O_pvalue,D_ZC,D_nH2O
naso,CSC+22,38,38,-0.15466780933845,-0.742268048048606,-0.155167256481628,-0.749000214313969,1,1.43793057752193e-06,-0.000499447143178511,-0.00673216626536255
naso,ENJ+21,10,9,-0.157545919673417,-0.739091272023984,-0.162508158002002,-0.743043753965151,0.053475935828877,0.010132282578103,-0.00496223832858517,-0.00395248194116649
naso,GKJ+22,26,63,-0.165349704935803,-0.748538119760936,-0.162539018065214,-0.744618948864779,0.668247485617151,0.00900335512085184,0.00281068687058827,0.00391917089615701
naso,HMH+21,7,76,-0.165698048394406,-0.761432707008705,-0.168664046446186,-0.756792963979463,0.475952531903077,0.446067182209323,-0.00296599805178005,0.00463974302924197
naso,MLW+21_Nasopharyngeal,34,215,-0.158898004807087,-0.742784604527514,-0.149783872310793,-0.739570863145162,0.000969594277576974,0.0124295862977492,0.00911413249629392,0.00321374138235186
naso,PMM+22,12,21,-0.17543130753688,-0.752943213505453,-0.176021961491959,-0.74743547578469,0.698579595832582,0.112617963519932,-0.000590653955078124,0.00550773772076374
naso,SGC+21,10,32,-0.167167759057186,-0.749680421203424,-0.169218093924168,-0.753147214146719,0.389567495661281,0.439934919584546,-0.00205033486698206,-0.00346679294329466
naso,SRS+22,20,75,-0.158398129071435,-0.737444903084326,-0.16103007939785,-0.7406291862018,0.373439492130438,0.11744846427765,-0.00263195032641494,-0.0031842831174741
naso,VCV+21,18,56,-0.168599023471479,-0.751446812482086,-0.168366941829665,-0.755405183580047,0.700782875652809,0.192241277240473,0.000232081641814069,-0.00395837109796182
oro,GBS+22,24,30,-0.163463474487974,-0.747438103923608,-0.167191260878212,-0.7487923887527,0.173194050319794,0.979346246945876,-0.00372778639023749,-0.00135428482909161
oro,GWL+21,140,166,-0.159731111909799,-0.763657225326499,-0.164362230974676,-0.754984017626084,1.69989764732561e-06,1.89600491664779e-14,-0.00463111906487751,0.00867320770041469
oro,IZC+21,14,25,-0.160122991487039,-0.744733550501269,-0.158482986569235,-0.752259870329729,0.78362239220365,0.118180156616396,0.00164000491780356,-0.00752631982846053
oro,MAC+21,54,46,-0.164258387775601,-0.755968361347106,-0.161415886712887,-0.758514155398535,0.0142176338601418,0.249521759367645,0.00284250106271403,-0.00254579405142874
oro,MLW+21_Oropharyngeal,33,220,-0.159253328122733,-0.743590643717813,-0.165807308145611,-0.752099023921375,0.0747732118999492,0.0103936560033338,-0.00655398002287769,-0.00850838020356137
oro,RFH+22_Oral,15,22,-0.16715471149289,-0.7477991492239,-0.169822579211841,-0.741920988660432,0.236934299872304,0.00114900581744958,-0.00266786771895142,0.0058781605634679
oro,RWC+21_Oral,150,242,-0.15839804354225,-0.759718082328625,-0.159935015046557,-0.757167836025642,0.0561373594679267,0.00302986193009334,-0.00153697150430776,0.00255024630298384
oro,WCJ+21_Oral,44,50,-0.165631374921869,-0.74984762731619,-0.163854223431408,-0.753381405405867,0.126801675542618,0.13850737179608,0.00177715149046168,-0.00353377808967659
oro,XLZ+21,24,97,-0.158441138814985,-0.756302181717384,-0.160182897461098,-0.749663596520875,0.104852198495241,0.0916470529825066,-0.00174175864611331,0.00663858519650928
gut,CGC+22,30,26,-0.162461929953735,-0.746521272558662,-0.164486421654517,-0.750185877081027,0.117209360486792,0.113369677204685,-0.00202449170078184,-0.00366460452236539
gut,FBD+22,38,141,-0.162610347919397,-0.752813765866524,-0.160543378309165,-0.764528426435353,0.246559580305811,5.84902274778674e-08,0.00206696961023137,-0.0117146605688291
gut,GCW+20,30,30,-0.162696017629264,-0.744712541827997,-0.164407731857241,-0.748139708536121,0.230075220582719,0.0823430498399422,-0.00171171422797675,-0.00342716670812393
gut,KMG+21,14,25,-0.155494873220047,-0.781620904259348,-0.157031928275592,-0.775860470680465,0.185231524659234,0.0237558665894932,-0.00153705505554583,0.00576043357888356
gut,MIK+22,61,45,-0.159862171582185,-0.752403728504458,-0.15864865962712,-0.754413166054706,0.768738213994475,0.347420682020138,0.00121351195506439,-0.00200943755024752
gut,MMP+21,18,57,-0.15882898532379,-0.778470182737196,-0.161020844705634,-0.774948354534151,0.355381691539772,0.886557212639377,-0.00219185938184435,0.00352182820304492
gut,NGH+21,34,50,-0.165902819463047,-0.757353922019284,-0.167419852227273,-0.753207573723765,0.1909745961929,0.159147843051944,-0.00151703276422654,0.00414634829551885
gut,RFH+22_Gut,15,22,-0.151415967296757,-0.780449215136536,-0.159469681077395,-0.761944769410298,0.000165726921656357,0.000686115435880022,-0.00805371378063849,0.0185044457262377
gut,RWC+21_Gut,72,100,-0.158310377177773,-0.782741222828731,-0.164292317598795,-0.765475662967788,1.8030963854912e-05,4.64644148675502e-08,-0.00598194042102237,0.0172655598609424
gut,RDM+22,22,89,-0.161258065121101,-0.755199551524447,-0.161087700483539,-0.75390831536024,0.638547394105087,0.376706202816258,0.000170364637562481,0.00129123616420657
gut,SRK+22,145,104,-0.162490399675444,-0.763660674982241,-0.16733883118762,-0.761329300157465,2.2816618872651e-07,0.148673878276411,-0.00484843151217554,0.00233137482477519
gut,WCJ+21_Gut,32,17,-0.160615725581586,-0.769667813648697,-0.164785024651692,-0.765964893748928,0.229724341305283,0.908992196303058,-0.00416929907010649,0.00370291989976923
gut,ZZZ+21,14,15,-0.160363943983148,-0.76301658394909,-0.161948222997683,-0.765886869802576,0.353554027939591,0.504539268033682,-0.00158427901453498,-0.00287028585348559
