T,CO2,H2,pH,NH4+,H2S,CH4
344.966,-1.6853,-3.2348,5.1044,-4.0004,-1.7002,-2.4686
339.649,-1.6927,-3.2448,5.2348,-4.0628,-1.7077,-2.4754
331.868,-1.7036,-3.2596,5.3249,-4.083,-1.7191,-2.4855
324.643,-1.7136,-3.2734,5.3612,-4.0665,-1.7299,-2.4951
313.818,-1.7286,-3.2943,5.3776,-4.0149,-1.7467,-2.5099
298.075,-1.7505,-3.3257,5.3678,-3.9217,-1.7723,-2.5324
276.139,-1.7815,-3.3723,5.3341,-3.7975,-1.8105,-2.5659
247.332,-1.8244,-3.441,5.2854,-3.6752,-1.8654,-2.6141
212.306,-1.8822,-3.5422,5.2321,-3.6026,-1.9403,-2.681
173.5,-1.9576,-3.6935,5.1933,-3.6089,-2.0366,-2.7696
134.694,-2.0533,-3.9369,5.2007,-3.6806,-2.1544,-2.881
99.668,-2.1699,-4.4741,5.2801,-3.7887,-2.2921,-3.0141
70.861,-2.3053,-37.296,5.4331,-3.9263,-2.4482,-3.1658
48.925,-2.455,-40.427,5.6346,-4.0848,-2.6209,-3.3324
33.182,-2.615,-42.837,5.8715,-4.258,-2.8089,-3.5099
22.357,-2.7811,-44.609,6.1171,-4.4408,-3.011,-3.6951
15.132,-2.9501,-45.85,6.354,-4.63,-3.2268,-3.8855
10.405,-3.1195,-46.69,6.5755,-4.8231,-3.4569,-4.0793
7.3514,-3.2878,-47.244,6.7814,-5.0188,-3.7019,-4.2754
5.396,-3.4538,-47.604,6.9734,-5.2162,-3.9624,-4.4728
