taxid	lineage	name	rank	mgm4575333	mgm4575334	mgm4575335	mgm4575336	mgm4575339	mgm4575340	mgm4575341	mgm4575342	mgm4575343	mgm4575344	mgm4575345	mgm4575346	mgm4575347	mgm4575348
0	null	Root	rootrank	9928	9903	9895	9888	9860	9909	9876	9958	9915	9954	9917	9935	9926	9942
1966	Root;rootrank;Archaea;domain;	Archaea	domain	559	1	11	2	56	4	82	0	93	455	87	524	507	6
2134	Root;rootrank;Archaea;domain;Thaumarchaeota;phylum;	Thaumarchaeota	phylum	163	0	4	0	55	4	81	0	86	448	12	502	482	2
2796	Root;rootrank;Archaea;domain;Thaumarchaeota;phylum;Nitrososphaerales;order;	Nitrososphaerales	order	163	0	4	0	55	4	81	0	85	448	12	502	482	2
2797	Root;rootrank;Archaea;domain;Thaumarchaeota;phylum;Nitrososphaerales;order;Nitrososphaeraceae;family;	Nitrososphaeraceae	family	163	0	4	0	55	4	81	0	85	448	12	502	482	2
2798	Root;rootrank;Archaea;domain;Thaumarchaeota;phylum;Nitrososphaerales;order;Nitrososphaeraceae;family;Nitrososphaera;genus;	Nitrososphaera	genus	163	0	4	0	55	4	81	0	85	448	12	502	482	2
-2135	Root;rootrank;Archaea;domain;Thaumarchaeota;phylum;unclassified_Thaumarchaeota;;	unclassified_Thaumarchaeota		0	0	0	0	0	0	0	0	1	0	0	0	0	0
-1967	Root;rootrank;Archaea;domain;unclassified_Archaea;;	unclassified_Archaea		396	1	7	2	0	0	1	0	7	7	73	22	25	3
2964	Root;rootrank;Archaea;domain;Woesearchaeota;phylum;	Woesearchaeota	phylum	0	0	0	0	1	0	0	0	0	0	0	0	0	0
-2965	Root;rootrank;Archaea;domain;Woesearchaeota;phylum;unclassified_Woesearchaeota;;	unclassified_Woesearchaeota		0	0	0	0	1	0	0	0	0	0	0	0	0	0
2010	Root;rootrank;Archaea;domain;Euryarchaeota;phylum;	Euryarchaeota	phylum	0	0	0	0	0	0	0	0	0	0	2	0	0	1
-2011	Root;rootrank;Archaea;domain;Euryarchaeota;phylum;unclassified_Euryarchaeota;;	unclassified_Euryarchaeota		0	0	0	0	0	0	0	0	0	0	2	0	0	0
2119	Root;rootrank;Archaea;domain;Euryarchaeota;phylum;Thermoplasmata;class;	Thermoplasmata	class	0	0	0	0	0	0	0	0	0	0	0	0	0	1
-2120	Root;rootrank;Archaea;domain;Euryarchaeota;phylum;Thermoplasmata;class;unclassified_Thermoplasmata;;	unclassified_Thermoplasmata		0	0	0	0	0	0	0	0	0	0	0	0	0	1
1	Root;rootrank;Bacteria;domain;	Bacteria	domain	9344	9890	9837	9873	9796	9900	9734	9954	9817	9486	9817	9402	9417	9920
2164	Root;rootrank;Bacteria;domain;Verrucomicrobia;phylum;	Verrucomicrobia	phylum	3739	975	1710	3290	1119	373	1336	933	2839	221	476	304	324	816
2176	Root;rootrank;Bacteria;domain;Verrucomicrobia;phylum;Spartobacteria;class;	Spartobacteria	class	3398	508	1247	2766	895	254	1049	7	2583	130	203	158	198	453
2177	Root;rootrank;Bacteria;domain;Verrucomicrobia;phylum;Spartobacteria;class;Spartobacteria_genera_incertae_sedis;genus;	Spartobacteria_genera_incertae_sedis	genus	3357	504	1233	2739	889	253	1043	7	2567	129	192	158	197	453
-2177	Root;rootrank;Bacteria;domain;Verrucomicrobia;phylum;Spartobacteria;class;unclassified_Spartobacteria;;	unclassified_Spartobacteria		41	4	13	26	6	1	6	0	16	1	11	0	1	0
2178	Root;rootrank;Bacteria;domain;Verrucomicrobia;phylum;Spartobacteria;class;Xiphinematobacter;genus;	Xiphinematobacter	genus	0	0	1	1	0	0	0	0	0	0	0	0	0	0
2179	Root;rootrank;Bacteria;domain;Verrucomicrobia;phylum;Subdivision3;class;	Subdivision3	class	96	113	96	138	9	13	67	0	41	13	134	31	19	218
2180	Root;rootrank;Bacteria;domain;Verrucomicrobia;phylum;Subdivision3;class;Subdivision3_genera_incertae_sedis;genus;	Subdivision3_genera_incertae_sedis	genus	66	76	52	95	9	12	64	0	38	9	73	29	18	142
-2180	Root;rootrank;Bacteria;domain;Verrucomicrobia;phylum;Subdivision3;class;unclassified_Subdivision3;;	unclassified_Subdivision3		30	37	44	43	0	1	3	0	3	4	61	2	1	76
2165	Root;rootrank;Bacteria;domain;Verrucomicrobia;phylum;Opitutae;class;	Opitutae	class	1	80	9	15	9	17	25	31	13	2	4	15	8	29
