taxid	lineage	name	rank	mgm4461266	mgm4461267	mgm4461268	mgm4461269	mgm4461270	mgm4461271	mgm4461272	mgm4461273	mgm4461274	mgm4461275	mgm4461276	mgm4461277	mgm4461278	mgm4461279	mgm4461280	mgm4461281	mgm4461282	mgm4461283	mgm4461302	mgm4461303	mgm4461304	mgm4461305	mgm4461306	mgm4461307	mgm4461308	mgm4461309	mgm4461310	mgm4461311	mgm4461312	mgm4461313	mgm4461314	mgm4461315	mgm4461316	mgm4461318	mgm4461319	mgm4461320	mgm4461321	mgm4461322	mgm4461323	mgm4461324	mgm4461325	mgm4461326	mgm4461327	mgm4461328	mgm4461329	mgm4461330	mgm4461331	mgm4461332	mgm4461333	mgm4461334	mgm4461335	mgm4461336	mgm4461337	mgm4461338	mgm4461339	mgm4461340
2567	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Erysipelotrichia;class;Erysipelotrichales;order;Erysipelotrichaceae;family;Solobacterium;genus;	Solobacterium	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	5	0	47	8	3	12	0	2	0	16	0	0	0	1	0	0	0	0	0	2	0	0	3	2	0	0	0	0	0	0
2562	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Erysipelotrichia;class;Erysipelotrichales;order;Erysipelotrichaceae;family;Allobaculum;genus;	Allobaculum	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4057	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Erysipelotrichia;class;Erysipelotrichales;order;Erysipelotrichaceae;family;Amedibacillus;genus;	Amedibacillus	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0
4059	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Erysipelotrichia;class;Erysipelotrichales;order;Erysipelotrichaceae;family;Absicoccus;genus;	Absicoccus	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2610	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Erysipelotrichia;class;Erysipelotrichales;order;Erysipelotrichaceae;family;Sharpea;genus;	Sharpea	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
4390	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Erysipelotrichia;class;Erysipelotrichales;order;Erysipelotrichaceae;family;Traorella;genus;	Traorella	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3250	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Erysipelotrichia;class;Erysipelotrichales;order;Erysipelotrichaceae;family;Faecalicoccus;genus;	Faecalicoccus	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	1	0	0	0	18	0	0	0	0	0	2
4507	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Erysipelotrichia;class;Erysipelotrichales;order;Erysipelatoclostridiaceae;family;	Erysipelatoclostridiaceae	family	0	0	0	2	0	0	0	12	0	1	0	0	0	0	3	0	0	0	0	10	0	0	0	0	0	0	0	3	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4508	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Erysipelotrichia;class;Erysipelotrichales;order;Erysipelatoclostridiaceae;family;Erysipelatoclostridium;genus;	Erysipelatoclostridium	genus	0	0	0	2	0	0	0	12	0	1	0	0	0	0	3	0	0	0	0	10	0	0	0	0	0	0	0	3	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-2560	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Erysipelotrichia;class;Erysipelotrichales;order;unclassified_Erysipelotrichales;;	unclassified_Erysipelotrichales		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
2375	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Clostridia;class;	Clostridia	class	669	1221	868	1394	1014	6430	1100	810	1275	908	767	889	849	915	1302	764	1269	386	897	1922	1259	1018	1134	148	77	751	854	1789	108	536	983	1240	461	1020	843	672	385	749	838	738	934	1794	1501	970	1221	1059	472	1549	1252	2619	475	482	157	1489	768	499
2376	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Clostridia;class;Clostridiales;order;	Clostridiales	order	669	1220	868	1394	1014	6429	1100	810	1275	908	747	889	849	915	1302	762	1269	386	880	1922	1256	1018	1134	148	77	751	854	1789	108	534	983	1240	459	1020	841	669	383	749	838	738	934	1794	1501	968	1219	1059	472	1544	1252	2619	475	480	157	1487	768	499
2445	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Clostridia;class;Clostridiales;order;Lachnospiraceae;family;	Lachnospiraceae	family	317	624	487	783	461	3076	474	492	838	519	363	570	507	290	963	459	753	190	212	1278	126	435	311	25	0	117	181	402	61	171	325	479	218	223	220	216	167	421	319	227	280	636	559	324	206	211	0	745	644	1548	0	103	100	381	255	213
3947	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Clostridia;class;Clostridiales;order;Lachnospiraceae;family;Agathobacter;genus;	Agathobacter	genus	27	40	17	8	2	201	36	17	0	84	48	5	64	14	5	1	160	5	0	0	2	0	3	0	0	0	0	0	5	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	6
2626	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Clostridia;class;Clostridiales;order;Lachnospiraceae;family;Blautia;genus;	Blautia	genus	69	99	88	106	79	259	145	70	113	111	48	54	112	58	56	67	96	22	0	125	2	8	7	4	0	40	12	202	1	0	126	77	4	9	2	24	1	207	12	37	3	457	358	2	4	33	0	0	22	662	0	0	73	4	1	0
2449	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Clostridia;class;Clostridiales;order;Lachnospiraceae;family;Roseburia;genus;	Roseburia	genus	13	5	6	6	3	73	9	5	4	75	13	3	33	23	81	3	18	7	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	23	0	0	0	8	0	2
3948	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Clostridia;class;Clostridiales;order;Lachnospiraceae;family;Cuneatibacter;genus;	Cuneatibacter	genus	2	0	1	0	3	3	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	4	1	0	0	0	0	2	0
2459	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Clostridia;class;Clostridiales;order;Lachnospiraceae;family;Anaerostipes;genus;	Anaerostipes	genus	37	71	146	51	10	314	29	126	9	24	2	22	60	19	38	31	15	2	0	0	0	0	0	0	0	14	0	0	0	0	7	2	0	0	0	4	0	0	3	0	0	0	0	0	0	4	0	0	0	31	0	0	0	0	0	0
