study,envirotype,lineage,sample,Run,groupby,group,Eh,Eh7,ZC
MLL+18,River & Seawater,Bacteria,HEM1,SRR3476633,Season,Summer,43.72,113.8,-0.143946
MLL+18,River & Seawater,Bacteria,HEM2,SRR3476634,Season,Summer,43.72,113.8,-0.144283
MLL+18,River & Seawater,Bacteria,HEM3,SRR3476635,Season,Summer,43.72,113.8,-0.152933
MLL+18,River & Seawater,Bacteria,HQM1,SRR3476636,Season,Summer,26.44,89.4,-0.147104
MLL+18,River & Seawater,Bacteria,HQM2,SRR3476638,Season,Summer,26.44,89.4,-0.148147
MLL+18,River & Seawater,Bacteria,HQM3,SRR3476639,Season,Summer,26.44,89.4,-0.148801
MLL+18,River & Seawater,Bacteria,HTM1,SRR3476623,Season,Summer,27.64,87.9,-0.144649
MLL+18,River & Seawater,Bacteria,HTM2,SRR3476624,Season,Summer,27.64,87.9,-0.14313
MLL+18,River & Seawater,Bacteria,HTM3,SRR3476625,Season,Summer,27.64,87.9,-0.149037
MLL+18,River & Seawater,Bacteria,HUM1,SRR3476643,Season,Summer,43.83,100.6,-0.142905
MLL+18,River & Seawater,Bacteria,HUM2,SRR3476645,Season,Summer,43.83,100.6,-0.144365
MLL+18,River & Seawater,Bacteria,HUM3,SRR3476646,Season,Summer,43.83,100.6,-0.148416
MLL+18,River & Seawater,Bacteria,JOM1,SRR3476640,Season,Summer,23.61,92.1,-0.146359
MLL+18,River & Seawater,Bacteria,JOM2,SRR3476641,Season,Summer,23.61,92.1,-0.146832
MLL+18,River & Seawater,Bacteria,JOM3,SRR3476642,Season,Summer,23.61,92.1,-0.146425
MLL+18,River & Seawater,Bacteria,JTM1,SRR3476627,Season,Summer,59.13,131.9,-0.137861
MLL+18,River & Seawater,Bacteria,JTM2,SRR3476628,Season,Summer,59.13,131.9,-0.141178
MLL+18,River & Seawater,Bacteria,JTM3,SRR3476629,Season,Summer,59.13,131.9,-0.142877
MLL+18,River & Seawater,Bacteria,MDM1,SRR3476630,Season,Summer,59.41,123.8,-0.142949
MLL+18,River & Seawater,Bacteria,MDM2,SRR3476631,Season,Summer,59.41,123.8,-0.144341
MLL+18,River & Seawater,Bacteria,MDM3,SRR3476632,Season,Summer,59.41,123.8,-0.147223
MLL+18,River & Seawater,Bacteria,YAM2,SRR3476621,Season,Summer,73.12,140.4,-0.144628
MLL+18,River & Seawater,Bacteria,YAM3,SRR3476622,Season,Summer,73.12,140.4,-0.14543
MLL+18,River & Seawater,Bacteria,HEM1-02,SRR5252174,Season,Winter,133.62,180.9,-0.144808
MLL+18,River & Seawater,Bacteria,HEM2-02,SRR5252175,Season,Winter,133.62,180.9,-0.143805
MLL+18,River & Seawater,Bacteria,HEM3-02,SRR5252265,Season,Winter,133.62,180.9,-0.143118
MLL+18,River & Seawater,Bacteria,HQM1-02,SRR5252266,Season,Winter,126.41,182.8,-0.143883
MLL+18,River & Seawater,Bacteria,HQM2-02,SRR5252267,Season,Winter,126.41,182.8,-0.145881
MLL+18,River & Seawater,Bacteria,HQM3-02,SRR5252268,Season,Winter,126.41,182.8,-0.143777
MLL+18,River & Seawater,Bacteria,HTM1-02,SRR5251650,Season,Winter,21.94,78,-0.150402
MLL+18,River & Seawater,Bacteria,HTM2-02,SRR5251651,Season,Winter,21.94,78,-0.147454
MLL+18,River & Seawater,Bacteria,HTM3-02,SRR5251667,Season,Winter,21.94,78,-0.150596
MLL+18,River & Seawater,Bacteria,HUM1-02,SRR5252274,Season,Winter,202.11,236.7,-0.144252
MLL+18,River & Seawater,Bacteria,HUM2-02,SRR5252275,Season,Winter,202.11,236.7,-0.144715
MLL+18,River & Seawater,Bacteria,HUM3-02,SRR5252276,Season,Winter,202.11,236.7,-0.144608
MLL+18,River & Seawater,Bacteria,JOM1-02,SRR5252271,Season,Winter,94.64,147.1,-0.145016
MLL+18,River & Seawater,Bacteria,JOM2-02,SRR5252272,Season,Winter,94.64,147.1,-0.1446
MLL+18,River & Seawater,Bacteria,JOM3-02,SRR5252273,Season,Winter,94.64,147.1,-0.145321
MLL+18,River & Seawater,Bacteria,JTM1-02,SRR5251694,Season,Winter,65.21,124.7,-0.144404
MLL+18,River & Seawater,Bacteria,JTM2-02,SRR5251695,Season,Winter,65.21,124.7,-0.144926
MLL+18,River & Seawater,Bacteria,JTM3-02,SRR5251697,Season,Winter,65.21,124.7,-0.144093
MLL+18,River & Seawater,Bacteria,MDM1-02,SRR5251699,Season,Winter,45.54,103,-0.142676
MLL+18,River & Seawater,Bacteria,MDM2-02,SRR5251759,Season,Winter,45.54,103,-0.142873
MLL+18,River & Seawater,Bacteria,MDM3-02,SRR5251908,Season,Winter,45.54,103,-0.143934
MLL+18,River & Seawater,Bacteria,YAM1-02,SRR5248940,Season,Winter,28.42,81.5,-0.143666
MLL+18,River & Seawater,Bacteria,YAM2-02,SRR5248939,Season,Winter,28.42,81.5,-0.143587
MLL+18,River & Seawater,Bacteria,YAM3-02,SRR5251649,Season,Winter,28.42,81.5,-0.143756
SVH+19,River & Seawater,Bacteria,BS_50,SRR7062453,Type,Oxic,136,136,-0.149922
SVH+19,River & Seawater,Bacteria,BS_70,SRR7062452,Type,Oxic,127,127,-0.148552
SVH+19,River & Seawater,Bacteria,BS_80,SRR7062451,Type,Suboxic,126,126,-0.149252
SVH+19,River & Seawater,Bacteria,BS_85,SRR7062450,Type,Suboxic,128,128,-0.134843
SVH+19,River & Seawater,Bacteria,BS_90,SRR7062457,Type,Suboxic,122,122,-0.13858
SVH+19,River & Seawater,Bacteria,BS_95,SRR7062456,Type,Suboxic,128,128,-0.142146
SVH+19,River & Seawater,Bacteria,BS_100,SRR7062455,Type,Suboxic,122,122,-0.154785
SVH+19,River & Seawater,Bacteria,BS_105,SRR7062454,Type,Suboxic,124,124,-0.157999
SVH+19,River & Seawater,Bacteria,BS_110,SRR7062459,Type,Suboxic,-33,-33,-0.15846
SVH+19,River & Seawater,Bacteria,BS_130,SRR7062458,Type,Euxinic,-146,-146,-0.162349
SVH+19,River & Seawater,Bacteria,BS_170,SRR7062446,Type,Euxinic,-227,-227,-0.165441
SVH+19,River & Seawater,Bacteria,BS_250,SRR7062445,Type,Euxinic,-293,-293,-0.165051
SVH+19,River & Seawater,Bacteria,BS_500,SRR7062448,Type,Euxinic,-316,-316,-0.163675
SVH+19,River & Seawater,Bacteria,BS_1000,SRR7062447,Type,Euxinic,-295,-295,-0.163663
SVH+19,River & Seawater,Bacteria,BS_2000,SRR7062449,Type,Euxinic,-313,-313,-0.160164
SVH+19,River & Seawater,Archaea,BS_50,SRR7062453,Type,Oxic,136,136,-0.18254
SVH+19,River & Seawater,Archaea,BS_70,SRR7062452,Type,Oxic,127,127,-0.185177
SVH+19,River & Seawater,Archaea,BS_80,SRR7062451,Type,Suboxic,126,126,-0.185018
SVH+19,River & Seawater,Archaea,BS_85,SRR7062450,Type,Suboxic,128,128,-0.180944
SVH+19,River & Seawater,Archaea,BS_90,SRR7062457,Type,Suboxic,122,122,-0.181281
SVH+19,River & Seawater,Archaea,BS_95,SRR7062456,Type,Suboxic,128,128,-0.183289
SVH+19,River & Seawater,Archaea,BS_100,SRR7062455,Type,Suboxic,122,122,-0.188695
SVH+19,River & Seawater,Archaea,BS_105,SRR7062454,Type,Suboxic,124,124,-0.188207
SVH+19,River & Seawater,Archaea,BS_110,SRR7062459,Type,Suboxic,-33,-33,-0.188522
SVH+19,River & Seawater,Archaea,BS_2000,SRR7062449,Type,Euxinic,-313,-313,-0.139181
HXZ+20,River & Seawater,Bacteria,BHO0m,SRR8146444,Station,SYBL,18,18,-0.151232
HXZ+20,River & Seawater,Bacteria,BHO10m,SRR8146453,Station,SYBL,46,46,-0.154858
HXZ+20,River & Seawater,Bacteria,BHO30m,SRR8146452,Station,SYBL,34,34,-0.150103
HXZ+20,River & Seawater,Bacteria,BHO50m,SRR8146418,Station,SYBL,24,24,-0.148494
HXZ+20,River & Seawater,Bacteria,BHO70m,SRR8146419,Station,SYBL,37,37,-0.149919
HXZ+20,River & Seawater,Bacteria,BHO80m,SRR8146420,Station,SYBL,47,47,-0.145825
HXZ+20,River & Seawater,Bacteria,BHO90m,SRR8146421,Station,SYBL,-170,-170,-0.146645
HXZ+20,River & Seawater,Bacteria,BHO100m,SRR8146422,Station,SYBL,-244,-244,-0.153841
HXZ+20,River & Seawater,Bacteria,BHO125m,SRR8146423,Station,SYBL,-279,-279,-0.148286
HXZ+20,River & Seawater,Bacteria,BHO150m,SRR8146425,Station,SYBL,-308,-308,-0.151433
HXZ+20,River & Seawater,Bacteria,BHO200m,SRR8146426,Station,SYBL,-331,-331,-0.158063
HXZ+20,River & Seawater,Bacteria,BHO300m,SRR8146427,Station,SYBL,-296,-296,-0.156933
HXZ+20,River & Seawater,Bacteria,C4-0m,SRR8146411,Station,C4,25.9,25.9,-0.147498
HXZ+20,River & Seawater,Bacteria,C4-10m,SRR8146408,Station,C4,28,28,-0.151469
HXZ+20,River & Seawater,Bacteria,C4-30m,SRR8146409,Station,C4,24.9,24.9,-0.153563
HXZ+20,River & Seawater,Bacteria,C4-50m,SRR8146451,Station,C4,25.1,25.1,-0.153772
HXZ+20,River & Seawater,Bacteria,C4-75m,SRR8146450,Station,C4,29,29,-0.149555
HXZ+20,River & Seawater,Bacteria,C4-100m,SRR8146449,Station,C4,30,30,-0.140755
HXZ+20,River & Seawater,Bacteria,C4-150m,SRR8146448,Station,C4,34,34,-0.146443
HXZ+20,River & Seawater,Bacteria,C4-200m,SRR8146447,Station,C4,42,42,-0.141443
HXZ+20,River & Seawater,Bacteria,C4-300m,SRR8146446,Station,C4,46.1,46.1,-0.140369
KLY+20,River & Seawater,Bacteria,HJ_May,SRR8867373,Year,2018,115,161.8,-0.161385
KLY+20,River & Seawater,Bacteria,HJ_June,SRR8867372,Year,2018,73,116.9,-0.148674
KLY+20,River & Seawater,Bacteria,HJ_July,SRR8867371,Year,2018,24,51.9,-0.156753
KLY+20,River & Seawater,Bacteria,HJ_August,SRR8867370,Year,2018,8,-35.2,-0.167101
KLY+20,River & Seawater,Bacteria,HJ_September,SRR8867376,Year,2018,85,11.2,-0.150304
KLY+20,River & Seawater,Bacteria,HJ_October,SRR8867375,Year,2018,137,1,-0.15819
KLY+20,River & Seawater,Bacteria,HJ_November,SRR8867374,Year,2018,132,1.9,-0.156884
KLY+20,River & Seawater,Bacteria,HJ19_June,SRR10671704,Year,2019,143,203.6,-0.142794
KLY+20,River & Seawater,Bacteria,HJ19_July,SRR10671703,Year,2019,13,38.7,-0.163057
KLY+20,River & Seawater,Bacteria,HJ19_August,SRR10671700,Year,2019,205,315.2,-0.15239
KLY+20,River & Seawater,Bacteria,HJ19_September,SRR10671699,Year,2019,189,243.8,-0.152438
KLY+20,River & Seawater,Bacteria,HJ19_October,SRR10671698,Year,2019,183,192.4,-0.159944
GSBT20_Prefilter,River & Seawater,Bacteria,BUS1,SRR9049911,Region,Asia,13.1,86.4,-0.15395
GSBT20_Prefilter,River & Seawater,Bacteria,BUS10,SRR9049912,Region,Asia,10,86.3,-0.155491
GSBT20_Prefilter,River & Seawater,Bacteria,BUS11,SRR9049910,Region,Asia,10.4,87.3,-0.153582
GSBT20_Prefilter,River & Seawater,Bacteria,BUS12,SRR9049916,Region,Asia,10.7,87.6,-0.15281
GSBT20_Prefilter,River & Seawater,Bacteria,BUS14,SRR9050090,Region,Asia,54.9,41.2,-0.154038
GSBT20_Prefilter,River & Seawater,Bacteria,BUS15,SRR9050302,Region,Asia,41,49.9,-0.151364
GSBT20_Prefilter,River & Seawater,Bacteria,HK1,SRR9049845,Region,Asia,-8.1,57.6,-0.145917
GSBT20_Prefilter,River & Seawater,Bacteria,HK10,SRR9049844,Region,Asia,2.7,60.1,-0.146837
GSBT20_Prefilter,River & Seawater,Bacteria,HK12,SRR9049850,Region,Asia,7,61.3,-0.149282
GSBT20_Prefilter,River & Seawater,Bacteria,HK13,SRR9049986,Region,Asia,8.7,61.1,-0.150467
GSBT20_Prefilter,River & Seawater,Bacteria,HK14,SRR9049988,Region,Asia,5.5,57.3,-0.150078
GSBT20_Prefilter,River & Seawater,Bacteria,HK15,SRR9049990,Region,Asia,8.5,54.9,-0.151817
GSBT20_Prefilter,River & Seawater,Bacteria,KEW1,SRR9053302,Region,Great Lakes,59.7,179.9,-0.169502
GSBT20_Prefilter,River & Seawater,Bacteria,KEW12,SRR9053820,Region,Great Lakes,67.1,114,-0.155759
GSBT20_Prefilter,River & Seawater,Bacteria,KEW13,SRR9053818,Region,Great Lakes,62.1,90.3,-0.148532
GSBT20_Prefilter,River & Seawater,Bacteria,KEW14,SRR9053824,Region,Great Lakes,73.8,111.2,-0.15377
GSBT20_Prefilter,River & Seawater,Bacteria,KEW15,SRR9053822,Region,Great Lakes,75.3,110.3,-0.150635
GSBT20_Prefilter,River & Seawater,Bacteria,KEW16,SRR9053826,Region,Great Lakes,77.3,111.1,-0.152454
GSBT20_Prefilter,River & Seawater,Bacteria,LA1,SRR9053559,Region,West Coast U.S.,68,120.6,-0.159184
GSBT20_Prefilter,River & Seawater,Bacteria,LA10,SRR9053558,Region,West Coast U.S.,67.4,123.3,-0.154299
GSBT20_Prefilter,River & Seawater,Bacteria,LA11,SRR9053552,Region,West Coast U.S.,46.6,117.2,-0.16588
GSBT20_Prefilter,River & Seawater,Bacteria,LA12,SRR9053554,Region,West Coast U.S.,44.7,115.3,-0.154359
GSBT20_Prefilter,River & Seawater,Bacteria,LA13,SRR9053564,Region,West Coast U.S.,43.2,113.3,-0.15018
GSBT20_Prefilter,River & Seawater,Bacteria,LA14,SRR9053868,Region,West Coast U.S.,41.2,110.4,-0.143372
GSBT20_Prefilter,River & Seawater,Bacteria,OAK10,SRR9053239,Region,West Coast U.S.,77.1,110.4,-0.153277
GSBT20_Prefilter,River & Seawater,Bacteria,OAK11,SRR9053241,Region,West Coast U.S.,100.7,100.7,-0.151374
GSBT20_Prefilter,River & Seawater,Bacteria,OAK12,SRR9053243,Region,West Coast U.S.,94.3,116.6,-0.152924
GSBT20_Prefilter,River & Seawater,Bacteria,OAK14,SRR9053245,Region,West Coast U.S.,74.4,65.3,-0.153094
GSBT20_Prefilter,River & Seawater,Bacteria,OAK15,SRR9053269,Region,West Coast U.S.,61.7,107.9,-0.155274
GSBT20_Prefilter,River & Seawater,Bacteria,OAK16,SRR9053271,Region,West Coast U.S.,63.1,107.6,-0.15386
GSBT20_Prefilter,River & Seawater,Bacteria,SEA1,SRR9053227,Region,West Coast U.S.,69.3,121.8,-0.155792
GSBT20_Prefilter,River & Seawater,Bacteria,SEA11,SRR9053154,Region,West Coast U.S.,71.3,120.1,-0.152967
GSBT20_Prefilter,River & Seawater,Bacteria,SEA12,SRR9053148,Region,West Coast U.S.,74,122.3,-0.15444
GSBT20_Prefilter,River & Seawater,Bacteria,SEA13,SRR9053150,Region,West Coast U.S.,73.7,122.6,-0.154148
GSBT20_Prefilter,River & Seawater,Bacteria,SEA14,SRR9053258,Region,West Coast U.S.,73.7,124.9,-0.153792
GSBT20_Prefilter,River & Seawater,Bacteria,SEA15,SRR9053623,Region,West Coast U.S.,74.6,125.8,-0.153648
GSBT20_Prefilter,River & Seawater,Bacteria,SING1,SRR9049879,Region,Asia,77.4,35.4,-0.147815
GSBT20_Prefilter,River & Seawater,Bacteria,SING10,SRR9049880,Region,Asia,21.7,70.3,-0.147925
GSBT20_Prefilter,River & Seawater,Bacteria,SING12,SRR9049873,Region,Asia,22.5,75.9,-0.146785
GSBT20_Prefilter,River & Seawater,Bacteria,SING13,SRR9050243,Region,Asia,17.4,70.9,-0.157782
GSBT20_Prefilter,River & Seawater,Bacteria,SING14,SRR9050245,Region,Asia,19.5,74.8,-0.164301
GSBT20_Prefilter,River & Seawater,Bacteria,SING15,SRR9050239,Region,Asia,45.5,103.2,-0.164515
GSBT20_Prefilter,River & Seawater,Bacteria,BALT1,SRR9053388,Region,East Coast U.S.,68.8,83.6,-0.146385
GSBT20_Prefilter,River & Seawater,Bacteria,BALT10,SRR9053387,Region,East Coast U.S.,95,185.1,-0.141483
GSBT20_Prefilter,River & Seawater,Bacteria,BALT11,SRR9053385,Region,East Coast U.S.,95.8,188.8,-0.141661
GSBT20_Prefilter,River & Seawater,Bacteria,BALT12,SRR9053391,Region,East Coast U.S.,94.7,190.2,-0.141582
GSBT20_Prefilter,River & Seawater,Bacteria,BALT13,SRR9053389,Region,East Coast U.S.,93.1,194.1,-0.142056
GSBT20_Prefilter,River & Seawater,Bacteria,BALT14,SRR9053481,Region,East Coast U.S.,95.8,201.4,-0.141351
GSBT20_Prefilter,River & Seawater,Bacteria,CHA10,SRR9053218,Region,East Coast U.S.,68.9,104.6,-0.142228
GSBT20_Prefilter,River & Seawater,Bacteria,CHA13,SRR9053224,Region,East Coast U.S.,72.8,111.4,-0.158346
GSBT20_Prefilter,River & Seawater,Bacteria,CHA16,SRR9053066,Region,East Coast U.S.,90.5,133.3,-0.163117
GSBT20_Prefilter,River & Seawater,Bacteria,CHA17,SRR9053068,Region,East Coast U.S.,76.7,119.5,-0.160259
GSBT20_Prefilter,River & Seawater,Bacteria,CHA18,SRR9053070,Region,East Coast U.S.,74.7,118.7,-0.163799
GSBT20_Prefilter,River & Seawater,Bacteria,CHA19,SRR9053072,Region,East Coast U.S.,75.3,120.5,-0.165924
GSBT20_Prefilter,River & Seawater,Bacteria,DS1FALLzymo1,SRR9053460,Region,Great Lakes,262.1,300.8,-0.148726
GSBT20_Prefilter,River & Seawater,Bacteria,DS1FALLzymo13,SRR9053500,Region,Great Lakes,156,241.3,-0.152746
GSBT20_Prefilter,River & Seawater,Bacteria,DS1FALLzymo14,SRR9053499,Region,Great Lakes,212.8,260.5,-0.152601
GSBT20_Prefilter,River & Seawater,Bacteria,DS1FALLzymo15,SRR9053119,Region,Great Lakes,188.6,225,-0.152043
GSBT20_Prefilter,River & Seawater,Bacteria,DS1FALLzymo16,SRR9053120,Region,Great Lakes,210.3,237.6,-0.15005
GSBT20_Prefilter,River & Seawater,Bacteria,DS1FALLzymo18,SRR9053042,Region,Great Lakes,236.8,271.1,-0.153424
GSBT20_Prefilter,River & Seawater,Bacteria,EUM1,SRR9050056,Region,Europe,97.5,152.4,-0.159327
GSBT20_Prefilter,River & Seawater,Bacteria,EUM10,SRR9050272,Region,Europe,185.1,243.4,-0.157613
GSBT20_Prefilter,River & Seawater,Bacteria,EUM11,SRR9050270,Region,Europe,166.1,224,-0.156422
GSBT20_Prefilter,River & Seawater,Bacteria,EUM12,SRR9050276,Region,Europe,151.2,210.2,-0.158427
GSBT20_Prefilter,River & Seawater,Bacteria,EUM13,SRR9050274,Region,Europe,141.3,200.9,-0.157079
GSBT20_Prefilter,River & Seawater,Bacteria,EUM14,SRR9050268,Region,Europe,127.1,188.4,-0.155195
GSBT20_Prefilter,River & Seawater,Bacteria,EUV1,SRR9049922,Region,Europe,156.3,200.6,-0.153869
GSBT20_Prefilter,River & Seawater,Bacteria,EUV10,SRR9049923,Region,Europe,100.1,169.2,-0.155896
GSBT20_Prefilter,River & Seawater,Bacteria,EUV11,SRR9049917,Region,Europe,94,162.6,-0.156498
GSBT20_Prefilter,River & Seawater,Bacteria,EUV13,SRR9049919,Region,Europe,94,162.6,-0.156291
GSBT20_Prefilter,River & Seawater,Bacteria,EUV15,SRR9049913,Region,Europe,76.7,145.8,-0.156231
GSBT20_Prefilter,River & Seawater,Bacteria,EUV16,SRR9050070,Region,Europe,77.3,145.8,-0.156761
GSBT20_Prefilter,River & Seawater,Bacteria,GAL1,SRR9053730,Region,East Coast U.S.,214.3,238.1,-0.145709
GSBT20_Prefilter,River & Seawater,Bacteria,GAL11,SRR9053113,Region,East Coast U.S.,120.3,194.3,-0.142931
GSBT20_Prefilter,River & Seawater,Bacteria,GAL12,SRR9053463,Region,East Coast U.S.,129.5,205.8,-0.145016
GSBT20_Prefilter,River & Seawater,Bacteria,GAL13,SRR9053097,Region,East Coast U.S.,124.4,199.5,-0.145096
GSBT20_Prefilter,River & Seawater,Bacteria,GAL14,SRR9053403,Region,East Coast U.S.,129.5,206.5,-0.148396
GSBT20_Prefilter,River & Seawater,Bacteria,GAL15,SRR9053585,Region,East Coast U.S.,112.3,190.4,-0.141053
GSBT20_Prefilter,River & Seawater,Bacteria,GBFALLzymo1,SRR9053343,Region,Great Lakes,160.5,227,-0.144136
GSBT20_Prefilter,River & Seawater,Bacteria,GBFALLzymo10,SRR9053342,Region,Great Lakes,198.6,267.2,-0.144584
GSBT20_Prefilter,River & Seawater,Bacteria,GBFALLzymo11,SRR9053345,Region,Great Lakes,133.7,201.2,-0.142888
GSBT20_Prefilter,River & Seawater,Bacteria,GBFALLzymo12,SRR9053344,Region,Great Lakes,138,205.5,-0.143092
GSBT20_Prefilter,River & Seawater,Bacteria,GBFALLzymo13,SRR9053347,Region,Great Lakes,138.7,203.8,-0.142831
GSBT20_Prefilter,River & Seawater,Bacteria,GBFALLzymo14,SRR9053346,Region,Great Lakes,184.1,249.8,-0.141979
GSBT20_Prefilter,River & Seawater,Bacteria,NY1,SRR9053331,Region,East Coast U.S.,110.7,122.3,-0.152507
GSBT20_Prefilter,River & Seawater,Bacteria,NY11,SRR9053654,Region,East Coast U.S.,140,185.4,-0.145923
GSBT20_Prefilter,River & Seawater,Bacteria,NY12,SRR9053656,Region,East Coast U.S.,140.3,184.6,-0.144219
GSBT20_Prefilter,River & Seawater,Bacteria,NY13,SRR9053658,Region,East Coast U.S.,143.5,187.8,-0.144831
GSBT20_Prefilter,River & Seawater,Bacteria,NY14,SRR9053660,Region,East Coast U.S.,138.2,184.8,-0.146928
GSBT20_Prefilter,River & Seawater,Bacteria,NY17,SRR9053178,Region,East Coast U.S.,144.3,189.1,-0.146602
GSBT20_Prefilter,River & Seawater,Bacteria,EUN10,SRR9050003,Region,Europe,64,129.5,-0.155386
GSBT20_Prefilter,River & Seawater,Bacteria,EUN12,SRR9049908,Region,Europe,63.7,129.7,-0.157028
GSBT20_Prefilter,River & Seawater,Bacteria,EUN13,SRR9049902,Region,Europe,60.6,126.6,-0.155677
GSBT20_Prefilter,River & Seawater,Bacteria,EUN14,SRR9050018,Region,Europe,62.7,128.7,-0.156475
GSBT20_Prefilter,River & Seawater,Bacteria,EUN16,SRR9050266,Region,Europe,63.3,128.9,-0.159644
GSBT20_Prefilter,River & Seawater,Bacteria,EUN17,SRR9050264,Region,Europe,63.6,129.1,-0.158889
GSBT20_Prefilter,River & Seawater,Bacteria,EUR1,SRR9049813,Region,Europe,53,185.4,-0.156895
GSBT20_Prefilter,River & Seawater,Bacteria,EUR10,SRR9050314,Region,Europe,124.5,200.5,-0.159576
GSBT20_Prefilter,River & Seawater,Bacteria,EUR11,SRR9049814,Region,Europe,100.9,206.4,-0.158992
GSBT20_Prefilter,River & Seawater,Bacteria,EUR12,SRR9049980,Region,Europe,98.6,192.2,-0.158274
GSBT20_Prefilter,River & Seawater,Bacteria,EUR13-5,SRR9049977,Region,Europe,96.2,125.7,-0.159153
GSBT20_Prefilter,River & Seawater,Bacteria,EUR15,SRR9049982,Region,Europe,103.2,136.6,-0.163459
GSBT20_Prefilter,River & Seawater,Bacteria,EUW10,SRR9050146,Region,Europe,150.5,199.9,-0.160505
GSBT20_Prefilter,River & Seawater,Bacteria,EUW11,SRR9050148,Region,Europe,150.3,200.2,-0.161316
GSBT20_Prefilter,River & Seawater,Bacteria,EUW12,SRR9050150,Region,Europe,80.6,172.6,-0.159505
GSBT20_Prefilter,River & Seawater,Bacteria,EUW13,SRR9050152,Region,Europe,110.2,165.7,-0.137258
GSBT20_Prefilter,River & Seawater,Bacteria,EUW14,SRR9050287,Region,Europe,96.4,151.4,-0.160856
GSBT20_Prefilter,River & Seawater,Bacteria,EUW16,SRR9050284,Region,Europe,119.8,173.6,-0.159784
GSBT20_Prefilter,River & Seawater,Bacteria,NEW1,SRR9053475,Region,East Coast U.S.,141.5,172.1,-0.141266
GSBT20_Prefilter,River & Seawater,Bacteria,NEW10,SRR9053477,Region,East Coast U.S.,122.3,152.9,-0.142265
GSBT20_Prefilter,River & Seawater,Bacteria,NEW11,SRR9053752,Region,East Coast U.S.,124.3,154.9,-0.142299
GSBT20_Prefilter,River & Seawater,Bacteria,NEW12,SRR9053167,Region,East Coast U.S.,128.8,160.6,-0.141331
GSBT20_Prefilter,River & Seawater,Bacteria,NEW13,SRR9053173,Region,East Coast U.S.,138.8,173,-0.141375
GSBT20_Prefilter,River & Seawater,Bacteria,NEW14,SRR9053171,Region,East Coast U.S.,154.4,188.6,-0.141128
GSBT20_Prefilter,River & Seawater,Bacteria,NOF1,SRR9053883,Region,East Coast U.S.,148.2,109.5,-0.141869
GSBT20_Prefilter,River & Seawater,Bacteria,NOF10,SRR9053884,Region,East Coast U.S.,236.6,293.9,-0.141894
GSBT20_Prefilter,River & Seawater,Bacteria,NOF11,SRR9053886,Region,East Coast U.S.,225.7,283,-0.140928
GSBT20_Prefilter,River & Seawater,Bacteria,NOF12,SRR9053888,Region,East Coast U.S.,216.5,270.3,-0.143696
GSBT20_Prefilter,River & Seawater,Bacteria,NOF13,SRR9053318,Region,East Coast U.S.,244.7,299.3,-0.144665
GSBT20_Prefilter,River & Seawater,Bacteria,NOF14,SRR9053320,Region,East Coast U.S.,234.8,290.5,-0.148065
GSBT20_Prefilter,River & Seawater,Archaea,SEA1,SRR9053227,Region,West Coast U.S.,69.3,121.8,-0.128426
GSBT20_Prefilter,River & Seawater,Archaea,SEA11,SRR9053154,Region,West Coast U.S.,71.3,120.1,-0.126415
GSBT20_Prefilter,River & Seawater,Archaea,SEA12,SRR9053148,Region,West Coast U.S.,74,122.3,-0.125748
GSBT20_Prefilter,River & Seawater,Archaea,SEA13,SRR9053150,Region,West Coast U.S.,73.7,122.6,-0.128551
GSBT20_Prefilter,River & Seawater,Archaea,SEA14,SRR9053258,Region,West Coast U.S.,73.7,124.9,-0.132203
GSBT20_Prefilter,River & Seawater,Archaea,SEA15,SRR9053623,Region,West Coast U.S.,74.6,125.8,-0.129797
GSBT20_Prefilter,River & Seawater,Archaea,SING1,SRR9049879,Region,Asia,77.4,35.4,-0.156022
GSBT20_Prefilter,River & Seawater,Archaea,SING10,SRR9049880,Region,Asia,21.7,70.3,-0.170149
GSBT20_Prefilter,River & Seawater,Archaea,SING12,SRR9049873,Region,Asia,22.5,75.9,-0.144368
GSBT20_Prefilter,River & Seawater,Archaea,SING13,SRR9050243,Region,Asia,17.4,70.9,-0.128565
GSBT20_Prefilter,River & Seawater,Archaea,SING14,SRR9050245,Region,Asia,19.5,74.8,-0.172565
GSBT20_Prefilter,River & Seawater,Archaea,SING15,SRR9050239,Region,Asia,45.5,103.2,-0.162686
GSBT20_Prefilter,River & Seawater,Archaea,CHA13,SRR9053224,Region,East Coast U.S.,72.8,111.4,-0.124377
GSBT20_Prefilter,River & Seawater,Archaea,CHA16,SRR9053066,Region,East Coast U.S.,90.5,133.3,-0.125287
GSBT20_Prefilter,River & Seawater,Archaea,CHA17,SRR9053068,Region,East Coast U.S.,76.7,119.5,-0.12634
GSBT20_Prefilter,River & Seawater,Archaea,CHA18,SRR9053070,Region,East Coast U.S.,74.7,118.7,-0.124705
GSBT20_Prefilter,River & Seawater,Archaea,CHA19,SRR9053072,Region,East Coast U.S.,75.3,120.5,-0.124909
GSBT20_Postfilter,River & Seawater,Bacteria,BUS10post,SRR9049909,Region,Asia,10,86.3,-0.176262
GSBT20_Postfilter,River & Seawater,Bacteria,BUS11post,SRR9049915,Region,Asia,10.4,87.3,-0.177194
GSBT20_Postfilter,River & Seawater,Bacteria,BUS12post,SRR9050298,Region,Asia,10.7,87.6,-0.177979
GSBT20_Postfilter,River & Seawater,Bacteria,BUS15post,SRR9050299,Region,Asia,41,49.9,-0.181416
