Name,Run,BioSample,SampleName,Metaproteome
"Soda Lake Biomats",SRR5291562,SAMN06456843,"GEL-M Day 0",GEM
"Soda Lake Biomats",SRR5291553,SAMN06456852,"LCL-M Day 0",LCM
