type,study,n_dn,n_up,Zc_dn,Zc_up,Zc_pvalue,nO2_dn,nO2_up,nO2_pvalue,nH2O_dn,nH2O_up,nH2O_pvalue,D_Zc,D_nO2,D_nH2O
IBD,AAM+20,9,21,-0.163721,-0.163641,1,-0.710838,-0.708425,0.689198,-0.754119,-0.747032,0.104075,7.9417e-05,0.00241318,0.00708688
IBD,PYL+23,6,42,-0.160451,-0.162899,0.454716,-0.711603,-0.714633,0.512265,-0.772673,-0.769161,0.594207,-0.00244787,-0.00302922,0.00351196
IBD,MLL+16,13,30,-0.157471,-0.15972,0.352421,-0.70752,-0.70882,0.539046,-0.778304,-0.770601,0.024078,-0.00224867,-0.00129955,0.00770255
IBD,LZD+19,22,18,-0.155257,-0.166456,0.000107382,-0.694725,-0.718348,2.96018e-05,-0.758946,-0.761648,0.657233,-0.0111992,-0.0236238,-0.00270239
IBD,BKK+17,32,77,-0.156991,-0.15935,0.0234734,-0.7039,-0.707196,0.0891192,-0.768396,-0.765972,0.157378,-0.00235898,-0.00329591,0.00242362
IBD,MDV+22,19,186,-0.160502,-0.164669,0.00964688,-0.704631,-0.713419,0.000735821,-0.751055,-0.753702,0.63044,-0.00416746,-0.00878751,-0.00264709
IBD,LAA+19,43,112,-0.160551,-0.161606,0.210236,-0.710237,-0.712179,0.290472,-0.771362,-0.771531,0.781197,-0.00105507,-0.00194208,-0.000168879
IBD,REP+23,96,56,-0.158853,-0.159922,0.033537,-0.709522,-0.711119,0.0203196,-0.778579,-0.777996,0.919377,-0.00106906,-0.00159728,0.000583033
IBD,HBL+17,62,124,-0.154862,-0.160511,4.86775e-08,-0.702892,-0.709744,5.74505e-07,-0.777759,-0.769572,0.0006621,-0.0056495,-0.00685231,0.00818695
IBD,GKD+14,31,223,-0.16115,-0.163326,0.0635883,-0.708374,-0.711204,0.168329,-0.760101,-0.756862,0.47146,-0.00217544,-0.00283038,0.00323865
IBD,WGL+19,38,286,-0.164701,-0.168885,0.0353766,-0.718444,-0.725089,0.0336454,-0.772612,-0.770027,0.447062,-0.00418457,-0.00664488,0.00258521
IBD,RAF+20,63,283,-0.160832,-0.160707,0.0785776,-0.711875,-0.712891,0.566104,-0.773952,-0.778809,3.72623e-05,0.00012548,-0.00101627,-0.00485717
