type,study,n_dn,n_up,Zc_dn,Zc_up,Zc_pvalue,nO2_dn,nO2_up,nO2_pvalue,nH2O_dn,nH2O_up,nH2O_pvalue,control_anaerobe,disease_anaerobe,control_aerotolerant,disease_aerotolerant,control_unknown,disease_unknown,D_Zc,D_nO2,D_nH2O
oro,IZC+21,14,25,-0.160123,-0.158483,0.783622,-0.699836,-0.700145,0.696276,-0.744735,-0.752262,0.11818,10.697,51.9586,80.0298,39.3175,9.27315,8.72384,0.00164,-0.000308858,-0.00752653
oro,GBS+22,24,30,-0.163463,-0.167191,0.173194,-0.707061,-0.714687,0.10396,-0.747438,-0.748793,0.979346,25.2338,28.4081,73.3972,67.6228,1.36902,3.96912,-0.00372779,-0.0076262,-0.00135428
oro,WCJ+21_Oral,44,50,-0.165631,-0.163854,0.126802,-0.712828,-0.71055,0.330211,-0.749848,-0.753382,0.138507,38.9578,51.7331,59.2681,43.4785,1.77414,4.78842,0.00177715,0.00227807,-0.00353377
oro,XLZ+21,24,97,-0.158441,-0.160183,0.104852,-0.701776,-0.702842,0.287889,-0.756304,-0.749664,0.0916471,52.6656,40.5329,38.0357,51.8405,9.29876,7.62662,-0.00174176,-0.00106566,0.00663928
oro,MAC+21,54,46,-0.164258,-0.161416,0.0142176,-0.71275,-0.708413,0.00537453,-0.755969,-0.758514,0.249522,52.1602,53.2216,42.1853,41.3976,5.65455,5.3808,0.0028425,0.00433715,-0.00254578
oro,MLW+21_Oropharyngeal,33,220,-0.159253,-0.165807,0.0747732,-0.698623,-0.71443,0.0189956,-0.743591,-0.7521,0.0103937,16.1443,31.7748,78.1643,52.6188,5.69144,15.6064,-0.00655398,-0.0158076,-0.0085085
oro,GWL+21,140,166,-0.159731,-0.164362,1.6999e-06,-0.70647,-0.711931,0.000195069,-0.763658,-0.754984,1.896e-14,46.3032,38.0777,51.6313,59.7113,2.06549,2.21093,-0.00463112,-0.00546087,0.00867314
oro,RWC+21_Oral,150,242,-0.158398,-0.159935,0.0561374,-0.703035,-0.704736,0.150278,-0.759718,-0.757168,0.00302986,55.4775,48.8193,40.2136,47.833,4.30885,3.34775,-0.00153697,-0.00170097,0.00255019
gut,ZZZ+21,14,15,-0.160364,-0.161948,0.353554,-0.708255,-0.711763,0.234007,-0.763017,-0.765887,0.504539,91.5127,81.0682,2.41276,11.096,6.07456,7.83585,-0.00158428,-0.00350734,-0.00287028
gut,RFH+22_Gut,15,22,-0.151416,-0.15947,0.000165727,-0.69789,-0.705758,0.0151503,-0.78045,-0.761945,0.000686115,95.666,44.0918,3.28635,40.2446,1.04767,15.6637,-0.00805371,-0.00786806,0.0185045
gut,KMG+21,14,25,-0.155495,-0.157032,0.185232,-0.704982,-0.705536,0.496243,-0.781621,-0.775861,0.0237559,86.3095,64.0948,10.1907,31.1827,3.4998,4.72257,-0.00153706,-0.000553911,0.00576057
gut,WCJ+21_Gut,32,17,-0.160616,-0.164785,0.229724,-0.710789,-0.716467,0.191303,-0.769668,-0.765965,0.908992,88.7329,55.495,3.09007,35.4623,8.177,9.04264,-0.0041693,-0.00567802,0.00370292
gut,CGC+22,30,26,-0.162462,-0.164486,0.117209,-0.708405,-0.712231,0.0830496,-0.746522,-0.750186,0.11337,57.3286,36.6657,7.03636,39.4318,35.6351,23.9025,-0.00202449,-0.00382524,-0.00366457
gut,GCW+20,30,30,-0.162696,-0.164408,0.230075,-0.708131,-0.711471,0.138126,-0.744713,-0.74814,0.082343,54.2801,41.2065,9.37244,34.2749,36.3475,24.5186,-0.00171171,-0.00333955,-0.00342719
gut,MMP+21,18,57,-0.158829,-0.161021,0.355382,-0.710083,-0.712146,0.677717,-0.778471,-0.774949,0.886557,73.4024,72.6886,9.63999,18.0539,16.9576,9.25744,-0.00219186,-0.002063,0.00352179
gut,NGH+21,34,50,-0.165903,-0.16742,0.190975,-0.71685,-0.718434,0.136235,-0.757354,-0.753208,0.159148,62.6614,61.3616,19.8482,23.7869,17.4904,14.8515,-0.00151703,-0.00158467,0.00414627
gut,RDM+22,22,89,-0.161258,-0.161088,0.638547,-0.706776,-0.706182,0.536788,-0.755203,-0.753912,0.376706,63.2272,62.2102,23.3424,22.0867,13.4304,15.7031,0.000170365,0.000593525,0.00129104
gut,MIK+22,61,45,-0.159862,-0.158649,0.768738,-0.703272,-0.701854,0.80809,-0.752404,-0.754414,0.347421,58.4768,48.4119,28.803,34.7668,12.7201,16.8213,0.00121351,0.00141864,-0.00200944
gut,FBD+22,38,141,-0.16261,-0.160543,0.24656,-0.709288,-0.708785,0.32418,-0.752814,-0.764529,5.84902e-08,61.8086,72.9338,14.8835,5.9885,23.3079,21.0778,0.00206697,0.00050336,-0.0117146
gut,RWC+21_Gut,72,100,-0.15831,-0.164292,1.8031e-05,-0.710046,-0.715314,0.0206719,-0.782742,-0.765476,4.64644e-08,86.8371,59.4131,8.14841,29.0394,5.01445,11.5475,-0.00598194,-0.00526855,0.0172653
gut,SRK+22,145,104,-0.16249,-0.167339,2.28166e-07,-0.712142,-0.719884,1.99685e-06,-0.763661,-0.76133,0.148674,68.9725,56.0772,13.3124,26.3507,17.7152,17.5721,-0.00484843,-0.00774221,0.00233135
IBD,TWC+22,8,10,-0.167432,-0.167046,0.572604,-0.718378,-0.716077,0.359934,-0.746727,-0.746381,0.828557,43.0239,40.9559,7.79275,40.6119,49.1834,18.4322,0.000386034,0.00230062,0.000345304
IBD,ZTG+21,10,10,-0.161379,-0.165972,0.0185434,-0.710132,-0.715597,0.0185434,-0.764375,-0.755228,0.123005,88.2347,55.7836,3.7045,32.1359,8.06084,12.0805,-0.00459221,-0.00546476,0.00914675
IBD,ASM+23,10,11,-0.158352,-0.162165,0.00205831,-0.707027,-0.71286,0.00276143,-0.769831,-0.768261,0.972539,90.6127,89.4987,2.50675,5.81454,6.88052,4.68672,-0.00381286,-0.00583229,0.00157007
IBD,AAM+20,9,21,-0.162003,-0.162221,0.85903,-0.707255,-0.70622,0.624796,-0.750755,-0.746459,0.1144,69.5746,67.7273,2.52315,8.70873,27.9023,23.5639,-0.000218144,0.0010351,0.00429592
IBD,LZD+19,22,19,-0.158789,-0.171412,0.00095131,-0.701639,-0.725027,0.000102447,-0.752981,-0.753905,0.726968,76.2575,31.9267,1.20724,50.7421,22.5352,17.3312,-0.0126229,-0.0233886,-0.000923993
IBD,MDV+22,19,185,-0.160684,-0.162299,0.281326,-0.7057,-0.708808,0.186103,-0.750145,-0.752726,0.641776,66.9016,61.5115,1.10546,11.1265,31.9929,27.3619,-0.00161417,-0.00310866,-0.00258101
IBD,LAA+19,43,112,-0.16115,-0.162327,0.0968007,-0.710638,-0.711952,0.380355,-0.766777,-0.764719,0.332464,87.6546,84.7126,2.62761,4.09661,9.71775,11.1908,-0.00117643,-0.00131359,0.00205788
IBD,GKD+14,31,224,-0.161675,-0.164358,0.0417847,-0.709236,-0.71259,0.143888,-0.75692,-0.753841,0.0880655,70.5484,58.3209,3.94447,19.6915,25.5072,21.9876,-0.0026832,-0.00335431,0.00307832
IBD,WGL+19,38,286,-0.16257,-0.164443,0.306753,-0.712856,-0.713803,0.480794,-0.767037,-0.761251,0.0171168,82.2894,69.7858,11.5166,21.5773,6.19394,8.63694,-0.00187289,-0.000946461,0.00578599
IBD,RAF+20,63,282,-0.160832,-0.160881,0.0803615,-0.711209,-0.711959,0.766539,-0.770134,-0.773543,0.000408995,89.9399,84.9996,5.73655,9.3236,4.32358,5.67678,-4.8415e-05,-0.000749702,-0.00340917
