type,study,n_dn,n_up,Zc_dn,Zc_up,nO2_dn,nO2_up,nH2O_dn,nH2O_up,D_Zc,D_nO2,D_nH2O
naso,PMM+22,11,20,-0.189653,-0.186535,-0.75289,-0.74766,-0.733385,-0.735014,0.00311795,0.00522995,-0.00162852
naso,SGC+21,10,32,-0.165277,-0.17105,-0.711944,-0.722843,-0.749027,-0.749789,-0.00577309,-0.0108992,-0.000761329
naso,VCV+21,18,56,-0.175707,-0.179035,-0.728372,-0.734307,-0.743539,-0.74179,-0.0033281,-0.00593474,0.00174929
naso,CSC+22,38,38,-0.153474,-0.150751,-0.686956,-0.681095,-0.738787,-0.736743,0.00272357,0.00586041,0.00204334
naso,HMH+21,7,74,-0.180096,-0.180878,-0.736707,-0.738228,-0.7428,-0.742912,-0.000781685,-0.00152135,-0.000112012
naso,GKJ+22,26,63,-0.168721,-0.164948,-0.714624,-0.707891,-0.74093,-0.741338,0.00377339,0.0067333,-0.000407804
naso,SRS+22,20,75,-0.155797,-0.157981,-0.692169,-0.696038,-0.737856,-0.739049,-0.0021847,-0.00386938,-0.00119297
naso,MLW+21_Nasopharyngeal,34,216,-0.159522,-0.153273,-0.698587,-0.687075,-0.740136,-0.737411,0.00624867,0.0115128,0.00272512
naso,HMA+22,91,226,-0.160706,-0.157864,-0.702014,-0.696386,-0.740935,-0.739545,0.00284193,0.00562799,0.00138974
oro,RFH+22_Oral,15,22,-0.172754,-0.172203,-0.722781,-0.721035,-0.743664,-0.740957,0.000551645,0.00174548,0.0027075
oro,IZC+21,14,26,-0.160984,-0.167386,-0.701424,-0.711155,-0.745499,-0.739195,-0.00640194,-0.0097305,0.00630405
oro,GBS+22,24,30,-0.166003,-0.173404,-0.71002,-0.723737,-0.743612,-0.742464,-0.0074011,-0.0137167,0.00114839
oro,WCJ+21_Oral,44,50,-0.165733,-0.170338,-0.709113,-0.717214,-0.740219,-0.74059,-0.00460501,-0.00810041,-0.000371403
oro,MAC+21,54,46,-0.175492,-0.171921,-0.725838,-0.718784,-0.736525,-0.735547,0.00357147,0.00705423,0.000977355
oro,XLZ+21,24,97,-0.1649,-0.164602,-0.705112,-0.706181,-0.733878,-0.738394,0.000298143,-0.0010691,-0.00451629
oro,MLW+21_Oropharyngeal,33,221,-0.162253,-0.169856,-0.701996,-0.716953,-0.739362,-0.739883,-0.00760258,-0.0149566,-0.00052106
oro,GWL+21,140,166,-0.167146,-0.171269,-0.713258,-0.720601,-0.747879,-0.745621,-0.00412315,-0.00734307,0.00225885
oro,RWC+21_Oral,150,242,-0.166518,-0.167007,-0.710927,-0.71248,-0.743604,-0.744573,-0.000488973,-0.00155355,-0.000969059
gut,ZZZ+21,14,15,-0.16369,-0.161482,-0.70717,-0.703866,-0.750399,-0.751312,0.00220853,0.00330381,-0.0009127
gut,RFH+22_Gut,15,22,-0.166848,-0.167734,-0.713316,-0.71505,-0.749822,-0.748898,-0.000885397,-0.00173344,0.000923463
gut,KMG+21,13,25,-0.163655,-0.16464,-0.707353,-0.709706,-0.750262,-0.750204,-0.000985336,-0.00235284,5.82525e-05
gut,WCJ+21_Gut,32,17,-0.166024,-0.170734,-0.710686,-0.718807,-0.746657,-0.74254,-0.00470973,-0.00812144,0.00411736
gut,CGC+22,30,26,-0.174928,-0.175344,-0.726679,-0.727328,-0.743413,-0.742085,-0.000415929,-0.000649142,0.00132777
gut,GCW+20,30,30,-0.174946,-0.177023,-0.726598,-0.730298,-0.743247,-0.741293,-0.00207747,-0.00370021,0.0019535
gut,NGH+21,34,50,-0.178499,-0.173173,-0.732859,-0.720947,-0.741797,-0.737289,0.00532568,0.0119119,0.00450767
gut,MIK+22,61,45,-0.161019,-0.165341,-0.702792,-0.710414,-0.750525,-0.748357,-0.0043221,-0.00762171,0.00216844
gut,RDM+22,22,89,-0.169176,-0.167462,-0.717405,-0.714075,-0.748098,-0.748039,0.00171429,0.00333048,5.89205e-05
gut,WZL+23,52,59,-0.172275,-0.165332,-0.721939,-0.710213,-0.745231,-0.749056,0.00694279,0.0117261,-0.00382469
gut,AHM+21,50,78,-0.167444,-0.178106,-0.713259,-0.732534,-0.746516,-0.742734,-0.0106623,-0.0192753,0.00378251
gut,GCP+23,38,100,-0.167841,-0.171837,-0.712549,-0.720297,-0.743974,-0.745296,-0.0039954,-0.00774768,-0.00132152
gut,RWC+21_Gut,72,97,-0.168488,-0.168997,-0.715744,-0.71674,-0.747839,-0.74665,-0.000508754,-0.000996193,0.00118968
gut,FBD+22,38,139,-0.170389,-0.169629,-0.719234,-0.717662,-0.746403,-0.74682,0.000760606,0.00157165,-0.000416857
gut,SRK+22,145,104,-0.172424,-0.177074,-0.722997,-0.731501,-0.74647,-0.745748,-0.00464958,-0.00850419,0.000722238
IBD,ZTG+21,10,10,-0.168035,-0.175886,-0.716056,-0.729507,-0.750486,-0.74581,-0.00785169,-0.0134508,0.00467591
IBD,ASM+23,10,11,-0.167841,-0.168559,-0.714745,-0.716605,-0.747476,-0.749476,-0.000718623,-0.00185969,-0.00200014
IBD,DKK+23,10,11,-0.175749,-0.179714,-0.727707,-0.735183,-0.743559,-0.742072,-0.00396479,-0.00747593,0.00148722
IBD,AAM+20,9,20,-0.165345,-0.166928,-0.710919,-0.712643,-0.749416,-0.746476,-0.00158318,-0.00172355,0.00293958
IBD,LZD+19,13,14,-0.174181,-0.183991,-0.726174,-0.742934,-0.745166,-0.741303,-0.0098102,-0.0167597,0.00386291
IBD,MLL+16,13,30,-0.175477,-0.178603,-0.727651,-0.73305,-0.742448,-0.742347,-0.00312569,-0.00539928,0.00010131
IBD,PYL+23,6,42,-0.177,-0.174374,-0.73088,-0.72587,-0.74411,-0.744232,0.00262649,0.0050094,-0.000122307
IBD,BKK+17,32,77,-0.174878,-0.176582,-0.726705,-0.729941,-0.744238,-0.743621,-0.0017043,-0.00323635,0.00061709
IBD,REP+23,96,56,-0.167058,-0.169281,-0.713195,-0.717226,-0.748533,-0.747989,-0.00222307,-0.00403133,0.000543855
IBD,LAA+19,43,112,-0.170712,-0.16797,-0.719062,-0.714036,-0.745021,-0.745521,0.00274159,0.00502601,-0.000499781
IBD,HBL+17,57,109,-0.178297,-0.179088,-0.73271,-0.733546,-0.742617,-0.739874,-0.00079119,-0.000836379,0.0027434
IBD,MDV+22,19,186,-0.17046,-0.169998,-0.719117,-0.718437,-0.746104,-0.746555,0.000462315,0.000680358,-0.000451641
IBD,GKD+14,31,224,-0.174646,-0.175265,-0.725767,-0.72724,-0.742168,-0.743725,-0.000618896,-0.00147272,-0.00155608
IBD,WGL+19,38,286,-0.164505,-0.161019,-0.707964,-0.701646,-0.74826,-0.747462,0.00348549,0.0063178,0.00079756
IBD,RAF+20,58,262,-0.169307,-0.16795,-0.717222,-0.714816,-0.747362,-0.747357,0.00135761,0.00240595,5.51244e-06
