type,study,n_dn,n_up,Zc_dn,Zc_up,nO2_dn,nO2_up,nH2O_dn,nH2O_up,control_anaerobe,disease_anaerobe,control_aerotolerant,disease_aerotolerant,control_unknown,disease_unknown,D_Zc,D_nO2,D_nH2O
naso,PMM+22,12,21,-0.165865,-0.165966,-0.711624,-0.710809,-0.749903,-0.745778,11.0958,9.93271,22.0767,36.4627,66.8275,53.6046,-0.000100515,0.000814495,0.00412481
naso,SGC+21,10,32,-0.16442,-0.169109,-0.711012,-0.72047,-0.750724,-0.753166,3.28533,7.12493,95.7921,91.047,0.922584,1.8281,-0.00468893,-0.00945872,-0.002442
naso,VCV+21,18,56,-0.168374,-0.168181,-0.71791,-0.719393,-0.751041,-0.7551,35.7739,44.8186,62.0803,53.4585,2.14581,1.72284,0.000193334,-0.00148302,-0.00405921
naso,CSC+22,38,38,-0.156613,-0.157582,-0.693958,-0.697655,-0.742288,-0.748085,11.0774,20.5806,75.3149,53.9727,13.6077,25.4467,-0.000969193,-0.0036971,-0.00579711
naso,HMH+21,7,76,-0.166294,-0.168813,-0.718373,-0.721195,-0.761247,-0.75655,56.1084,44.2791,43.6011,54.9466,0.290529,0.774328,-0.00251969,-0.00282245,0.00469717
naso,GKJ+22,26,63,-0.165132,-0.162395,-0.711481,-0.704818,-0.749173,-0.745429,40.8195,24.418,52.9905,68.8271,6.18995,6.75493,0.00273741,0.0066626,0.00374413
naso,SRS+22,20,75,-0.15813,-0.160435,-0.696689,-0.70123,-0.738035,-0.741216,11.7691,15.9976,81.3709,79.0873,6.86003,4.91507,-0.00230456,-0.00454039,-0.00318098
naso,MLW+21_Nasopharyngeal,34,216,-0.159016,-0.150841,-0.699071,-0.683982,-0.743362,-0.740059,5.39932,6.43313,83.5748,70.582,11.0258,22.9849,0.00817461,0.0150892,0.00330275
naso,HMA+22,91,226,-0.16108,-0.160497,-0.702917,-0.701248,-0.741462,-0.739152,6.48815,9.33133,90.2188,87.9543,3.29305,2.71435,0.000583552,0.00166876,0.00231014
oro,RFH+22_Oral,15,22,-0.167437,-0.170105,-0.715203,-0.718229,-0.748342,-0.74351,22.4335,13.82,71.6144,84.7415,5.95205,1.43849,-0.00266758,-0.0030266,0.00483286
oro,IZC+21,14,26,-0.162534,-0.160625,-0.704819,-0.704459,-0.745996,-0.753527,11.8331,42.2427,83.2213,48.9043,4.94561,8.85294,0.00190859,0.000359575,-0.00753077
oro,GBS+22,24,30,-0.16515,-0.16829,-0.710429,-0.716991,-0.748444,-0.749606,19.8759,24.5167,72.827,67.2066,7.29711,8.2767,-0.0031399,-0.0065622,-0.00116206
oro,WCJ+21_Oral,44,50,-0.16544,-0.163469,-0.712619,-0.710103,-0.750286,-0.753735,35.9509,47.8056,59.6615,46.6201,4.38763,5.57436,0.00197064,0.00251539,-0.0034483
oro,MAC+21,54,46,-0.164486,-0.161286,-0.71304,-0.708034,-0.755456,-0.757863,52.9934,54.3597,40.8038,39.6664,6.20281,5.97381,0.00320069,0.00500564,-0.00240726
oro,XLZ+21,24,97,-0.158544,-0.16008,-0.702075,-0.703042,-0.75616,-0.750194,48.0401,37.6046,27.4562,53.3729,24.5036,9.02251,-0.00153531,-0.000966255,0.00596568
oro,MLW+21_Oropharyngeal,33,221,-0.159685,-0.165608,-0.699173,-0.714102,-0.743812,-0.752158,16.1729,30.1437,77.8614,50.9477,5.96579,18.9087,-0.00592295,-0.0149292,-0.00834631
oro,GWL+21,140,166,-0.159391,-0.164294,-0.705585,-0.71168,-0.763181,-0.754884,48.2219,36.7097,49.6185,59.8123,2.15958,3.47794,-0.00490254,-0.00609451,0.00829684
oro,RWC+21_Oral,150,242,-0.1586,-0.160006,-0.70344,-0.70485,-0.759822,-0.757223,51.9111,46.948,41.8046,49.6009,6.28429,3.45111,-0.00140608,-0.00140961,0.00259985
gut,ZZZ+21,14,15,-0.161342,-0.16349,-0.709584,-0.71409,-0.762421,-0.765194,90.2984,80.9922,2.52515,9.93066,7.1764,9.0771,-0.00214828,-0.00450551,-0.00277284
